date,hour,value
01/01/21,00:00,167
01/01/21,01:00,166
01/01/21,02:00,165
01/01/21,03:00,165
01/01/21,04:00,167
01/01/21,05:00,168
01/01/21,06:00,169
01/01/21,07:00,169
01/01/21,08:00,168
01/01/21,09:00,166
01/01/21,10:00,165
01/01/21,11:00,165
01/01/21,12:00,167
01/01/21,13:00,168
01/01/21,14:00,169
01/01/21,15:00,169
01/01/21,16:00,168
01/01/21,17:00,166
01/01/21,18:00,166
01/01/21,19:00,165
01/01/21,20:00,167
01/01/21,21:00,168
01/01/21,22:00,169
01/01/21,23:00,170
01/02/21,00:00,168
01/02/21,01:00,166
01/02/21,02:00,166
01/02/21,03:00,166
01/02/21,04:00,167
01/02/21,05:00,169
01/02/21,06:00,170
01/02/21,07:00,170
01/02/21,08:00,168
01/02/21,09:00,167
01/02/21,10:00,166
01/02/21,11:00,166
01/02/21,12:00,168
01/02/21,13:00,169
01/02/21,14:00,170
01/02/21,15:00,170
01/02/21,16:00,168
01/02/21,17:00,167
01/02/21,18:00,166
01/02/21,19:00,166
01/02/21,20:00,168
01/02/21,21:00,169
01/02/21,22:00,170
01/02/21,23:00,170
01/03/21,00:00,168
01/03/21,01:00,167
01/03/21,02:00,166
01/03/21,03:00,166
01/03/21,04:00,168
01/03/21,05:00,169
01/03/21,06:00,170
01/03/21,07:00,170
01/03/21,08:00,169
01/03/21,09:00,167
01/03/21,10:00,166
01/03/21,11:00,166
01/03/21,12:00,168
01/03/21,13:00,169
01/03/21,14:00,170
01/03/21,15:00,170
01/03/21,16:00,169
01/03/21,17:00,167
01/03/21,18:00,167
01/03/21,19:00,166
01/03/21,20:00,168
01/03/21,21:00,170
01/03/21,22:00,170
01/03/21,23:00,171
01/04/21,00:00,169
01/04/21,01:00,168
01/04/21,02:00,167
01/04/21,03:00,167
01/04/21,04:00,168
01/04/21,05:00,170
01/04/21,06:00,171
01/04/21,07:00,171
01/04/21,08:00,169
01/04/21,09:00,168
01/04/21,10:00,167
01/04/21,11:00,167
01/04/21,12:00,169
01/04/21,13:00,170
01/04/21,14:00,171
01/04/21,15:00,171
01/04/21,16:00,169
01/04/21,17:00,168
01/04/21,18:00,167
01/04/21,19:00,167
01/04/21,20:00,169
01/04/21,21:00,170
01/04/21,22:00,171
01/04/21,23:00,171
01/05/21,00:00,170
01/05/21,01:00,168
01/05/21,02:00,167
01/05/21,03:00,167
01/05/21,04:00,169
01/05/21,05:00,170
01/05/21,06:00,171
01/05/21,07:00,171
01/05/21,08:00,170
01/05/21,09:00,168
01/05/21,10:00,168
01/05/21,11:00,167
01/05/21,12:00,169
01/05/21,13:00,170
01/05/21,14:00,171
01/05/21,15:00,171
01/05/21,16:00,170
01/05/21,17:00,168
01/05/21,18:00,168
01/05/21,19:00,168
01/05/21,20:00,169
01/05/21,21:00,171
01/05/21,22:00,171
01/05/21,23:00,172
01/06/21,00:00,170
01/06/21,01:00,169
01/06/21,02:00,168
01/06/21,03:00,168
01/06/21,04:00,170
01/06/21,05:00,171
01/06/21,06:00,172
01/06/21,07:00,172
01/06/21,08:00,170
01/06/21,09:00,169
01/06/21,10:00,168
01/06/21,11:00,168
01/06/21,12:00,169
01/06/21,13:00,171
01/06/21,14:00,172
01/06/21,15:00,172
01/06/21,16:00,170
01/06/21,17:00,169
01/06/21,18:00,168
01/06/21,19:00,168
01/06/21,20:00,169
01/06/21,21:00,171
01/06/21,22:00,172
01/06/21,23:00,172
01/07/21,00:00,170
01/07/21,01:00,168
01/07/21,02:00,168
01/07/21,03:00,168
01/07/21,04:00,169
01/07/21,05:00,170
01/07/21,06:00,171
01/07/21,07:00,171
01/07/21,08:00,170
01/07/21,09:00,168
01/07/21,10:00,168
01/07/21,11:00,167
01/07/21,12:00,169
01/07/21,13:00,170
01/07/21,14:00,171
01/07/21,15:00,171
01/07/21,16:00,170
01/07/21,17:00,168
01/07/21,18:00,167
01/07/21,19:00,167
01/07/21,20:00,169
01/07/21,21:00,170
01/07/21,22:00,171
01/07/21,23:00,171
01/08/21,00:00,169
01/08/21,01:00,168
01/08/21,02:00,167
01/08/21,03:00,167
01/08/21,04:00,169
01/08/21,05:00,170
01/08/21,06:00,171
01/08/21,07:00,171
01/08/21,08:00,170
01/08/21,09:00,168
01/08/21,10:00,168
01/08/21,11:00,167
01/08/21,12:00,169
01/08/21,13:00,170
01/08/21,14:00,171
01/08/21,15:00,172
01/08/21,16:00,170
01/08/21,17:00,168
01/08/21,18:00,168
01/08/21,19:00,168
01/08/21,20:00,169
01/08/21,21:00,171
01/08/21,22:00,171
01/08/21,23:00,172
01/09/21,00:00,170
01/09/21,01:00,169
01/09/21,02:00,168
01/09/21,03:00,168
01/09/21,04:00,169
01/09/21,05:00,171
01/09/21,06:00,172
01/09/21,07:00,172
01/09/21,08:00,170
01/09/21,09:00,169
01/09/21,10:00,168
01/09/21,11:00,168
01/09/21,12:00,170
01/09/21,13:00,171
01/09/21,14:00,172
01/09/21,15:00,172
01/09/21,16:00,170
01/09/21,17:00,169
01/09/21,18:00,168
01/09/21,19:00,168
01/09/21,20:00,170
01/09/21,21:00,171
01/09/21,22:00,172
01/09/21,23:00,172
01/10/21,00:00,170
01/10/21,01:00,169
01/10/21,02:00,168
01/10/21,03:00,168
01/10/21,04:00,170
01/10/21,05:00,171
01/10/21,06:00,172
01/10/21,07:00,172
01/10/21,08:00,171
01/10/21,09:00,169
01/10/21,10:00,168
01/10/21,11:00,168
01/10/21,12:00,170
01/10/21,13:00,171
01/10/21,14:00,172
01/10/21,15:00,172
01/10/21,16:00,171
01/10/21,17:00,169
01/10/21,18:00,168
01/10/21,19:00,168
01/10/21,20:00,170
01/10/21,21:00,172
01/10/21,22:00,172
01/10/21,23:00,172
01/11/21,00:00,171
01/11/21,01:00,170
01/11/21,02:00,169
01/11/21,03:00,169
01/11/21,04:00,170
01/11/21,05:00,172
01/11/21,06:00,172
01/11/21,07:00,173
01/11/21,08:00,171
01/11/21,09:00,170
01/11/21,10:00,169
01/11/21,11:00,169
01/11/21,12:00,170
01/11/21,13:00,172
01/11/21,14:00,173
01/11/21,15:00,173
01/11/21,16:00,171
01/11/21,17:00,170
01/11/21,18:00,169
01/11/21,19:00,169
01/11/21,20:00,171
01/11/21,21:00,172
01/11/21,22:00,173
01/11/21,23:00,173
01/12/21,00:00,172
01/12/21,01:00,170
01/12/21,02:00,169
01/12/21,03:00,169
01/12/21,04:00,171
01/12/21,05:00,172
01/12/21,06:00,173
01/12/21,07:00,173
01/12/21,08:00,172
01/12/21,09:00,170
01/12/21,10:00,170
01/12/21,11:00,169
01/12/21,12:00,171
01/12/21,13:00,172
01/12/21,14:00,173
01/12/21,15:00,174
01/12/21,16:00,172
01/12/21,17:00,170
01/12/21,18:00,170
01/12/21,19:00,170
01/12/21,20:00,171
01/12/21,21:00,173
01/12/21,22:00,174
01/12/21,23:00,174
01/13/21,00:00,172
01/13/21,01:00,171
01/13/21,02:00,170
01/13/21,03:00,170
01/13/21,04:00,172
01/13/21,05:00,173
01/13/21,06:00,174
01/13/21,07:00,174
01/13/21,08:00,172
01/13/21,09:00,171
01/13/21,10:00,170
01/13/21,11:00,170
01/13/21,12:00,172
01/13/21,13:00,173
01/13/21,14:00,174
01/13/21,15:00,174
01/13/21,16:00,172
01/13/21,17:00,171
01/13/21,18:00,170
01/13/21,19:00,170
01/13/21,20:00,172
01/13/21,21:00,173
01/13/21,22:00,174
01/13/21,23:00,174
01/14/21,00:00,173
01/14/21,01:00,171
