date,hour,value
01/01/21,07:00,322
01/01/21,08:00,321
01/01/21,09:00,323
01/01/21,10:00,326
01/01/21,11:00,326
01/01/21,12:00,323
01/01/21,13:00,318
01/01/21,14:00,322
01/01/21,15:00,324
01/01/21,16:00,326
01/01/21,17:00,323
01/01/21,18:00,320
01/01/21,19:00,316
01/01/21,20:00,318
01/01/21,21:00,324
01/01/21,22:00,328
01/01/21,23:00,325
01/01/21,07:00,321
01/02/21,07:00,317
01/02/21,08:00,313
01/02/21,09:00,312
01/02/21,10:00,308
01/02/21,11:00,305
01/02/21,12:00,307
01/02/21,13:00,311
01/02/21,14:00,312
01/02/21,15:00,306
01/02/21,16:00,307
01/02/21,17:00,304
01/02/21,18:00,302
01/02/21,19:00,304
01/02/21,20:00,306
01/02/21,21:00,305
01/02/21,22:00,299
01/02/21,23:00,296
01/02/21,07:00,300
01/03/21,07:00,298
01/03/21,08:00,296
01/03/21,09:00,297
01/03/21,10:00,296
01/03/21,11:00,293
01/03/21,12:00,291
01/03/21,13:00,294
01/03/21,14:00,298
01/03/21,15:00,296
01/03/21,16:00,297
01/03/21,17:00,298
01/03/21,18:00,295
01/03/21,19:00,292
01/03/21,20:00,289
01/03/21,21:00,286
01/03/21,22:00,291
01/03/21,23:00,288
01/03/21,07:00,290
01/04/21,07:00,288
01/04/21,08:00,285
01/04/21,09:00,288
01/04/21,10:00,293
01/04/21,11:00,289
01/04/21,12:00,292
01/04/21,13:00,287
01/04/21,14:00,293
01/04/21,15:00,291
01/04/21,16:00,294
01/04/21,17:00,295
01/04/21,18:00,292
01/04/21,19:00,288
01/04/21,20:00,293
01/04/21,21:00,297
01/04/21,22:00,300
01/04/21,23:00,300
01/04/21,07:00,296
01/05/21,07:00,298
01/05/21,08:00,295
01/05/21,09:00,293
01/05/21,10:00,296
01/05/21,11:00,295
01/05/21,12:00,298
01/05/21,13:00,303
01/05/21,14:00,305
01/05/21,15:00,307
01/05/21,16:00,303
01/05/21,17:00,305
01/05/21,18:00,307
01/05/21,19:00,306
01/05/21,20:00,310
01/05/21,21:00,310
01/05/21,22:00,308
01/05/21,23:00,311
01/05/21,07:00,309
01/06/21,07:00,308
01/06/21,08:00,305
01/06/21,09:00,309
01/06/21,10:00,312
01/06/21,11:00,316
01/06/21,12:00,318
01/06/21,13:00,321
01/06/21,14:00,322
01/06/21,15:00,325
01/06/21,16:00,324
01/06/21,17:00,320
01/06/21,18:00,319
01/06/21,19:00,322
01/06/21,20:00,319
01/06/21,21:00,316
01/06/21,22:00,322
01/06/21,23:00,325
01/06/21,07:00,322
01/07/21,07:00,320
01/07/21,08:00,316
01/07/21,09:00,314
01/07/21,10:00,320
01/07/21,11:00,319
01/07/21,12:00,317
01/07/21,13:00,323
01/07/21,14:00,318
01/07/21,15:00,309
01/07/21,16:00,313
01/07/21,17:00,318
01/07/21,18:00,321
01/07/21,19:00,318
