date,hour,value
01/01/21,00:00,3.83
01/02/21,00:00,3.83
01/03/21,00:00,3.83
01/04/21,00:00,3.83
01/05/21,00:00,4.83
01/06/21,00:00,4.83
01/07/21,00:00,4.83
01/08/21,00:00,4.83
01/09/21,00:00,3.83
01/10/21,00:00,3.83
01/11/21,00:00,4.83
01/12/21,00:00,4.83
01/13/21,00:00,4.83
01/14/21,00:00,5.83
01/15/21,00:00,4.83
01/16/21,00:00,5.83
01/17/21,00:00,4.83
01/18/21,00:00,5.83
01/19/21,00:00,4.83
01/20/21,00:00,3.83
01/21/21,00:00,3.83
01/22/21,00:00,5.83
01/23/21,00:00,3.83
01/24/21,00:00,5.83
01/25/21,00:00,3.83
01/26/21,00:00,4.83
01/27/21,00:00,4.83
01/28/21,00:00,3.83
01/29/21,00:00,3.83
01/30/21,00:00,3.83
01/31/21,00:00,4.83
02/01/21,00:00,4.83
02/02/21,00:00,3.83
02/03/21,00:00,4.83
02/04/21,00:00,3.83
02/05/21,00:00,3.83
02/06/21,00:00,2.83
02/07/21,00:00,3.83
02/08/21,00:00,4.83
02/09/21,00:00,4.83
02/10/21,00:00,4.83
02/11/21,00:00,3.83
02/12/21,00:00,4.83
02/13/21,00:00,4.83
02/14/21,00:00,3.83
02/15/21,00:00,3.83
02/16/21,00:00,3.83
02/17/21,00:00,4.83
02/18/21,00:00,3.83
02/19/21,00:00,5.83
02/20/21,00:00,3.83
02/21/21,00:00,4.83
02/22/21,00:00,3.83
02/23/21,00:00,3.83
02/24/21,00:00,4.83
02/25/21,00:00,3.83
02/26/21,00:00,3.83
02/27/21,00:00,3.83
02/28/21,00:00,4.83
03/01/21,00:00,4.83
03/02/21,00:00,3.83
03/03/21,00:00,4.83
03/04/21,00:00,3.83
03/05/21,00:00,3.83
03/06/21,00:00,3.83
03/07/21,00:00,3.83
03/08/21,00:00,3.83
03/09/21,00:00,4.83
03/10/21,00:00,3.83
03/11/21,00:00,2.83
03/12/21,00:00,3.83
03/13/21,00:00,3.83
03/14/21,00:00,3.83
03/15/21,00:00,3.83
03/16/21,00:00,4.83
03/17/21,00:00,3.83
03/18/21,00:00,2.83
03/19/21,00:00,4.83
03/20/21,00:00,4.83
03/21/21,00:00,3.83
03/22/21,00:00,4.83
03/23/21,00:00,3.83
03/24/21,00:00,3.83
03/25/21,00:00,3.83
03/26/21,00:00,3.83
03/27/21,00:00,3.83
03/28/21,00:00,4.83
03/29/21,00:00,3.83
03/30/21,00:00,3.83
03/31/21,00:00,4.83
04/01/21,00:00,4.83
04/02/21,00:00,2.83
04/03/21,00:00,4.83
04/04/21,00:00,3.83
04/05/21,00:00,2.83
04/06/21,00:00,4.83
04/07/21,00:00,5.83
