date,hour,value
01/01/21,00:00,5.465
01/02/21,00:00,5.465
01/03/21,00:00,5.465
01/04/21,00:00,5.465
01/05/21,00:00,5.465
01/06/21,00:00,4.965
01/07/21,00:00,5.465
01/08/21,00:00,5.965
01/09/21,00:00,4.965
01/10/21,00:00,5.465
01/11/21,00:00,4.965
01/12/21,00:00,6.465
01/13/21,00:00,6.715
01/14/21,00:00,6.715
01/15/21,00:00,7.215
01/16/21,00:00,6.965
01/17/21,00:00,7.215
01/18/21,00:00,7.215
01/19/21,00:00,6.465
01/20/21,00:00,6.965
01/21/21,00:00,7.215
01/22/21,00:00,7.215
01/23/21,00:00,6.715
01/24/21,00:00,7.215
01/25/21,00:00,6.965
01/26/21,00:00,7.215
01/27/21,00:00,7.215
01/28/21,00:00,6.965
01/29/21,00:00,7.215
01/30/21,00:00,5.465
01/31/21,00:00,5.715
02/01/21,00:00,5.465
02/02/21,00:00,5.965
02/03/21,00:00,8.715
02/04/21,00:00,7.965
02/05/21,00:00,7.215
02/06/21,00:00,8.465
02/07/21,00:00,7.465
02/08/21,00:00,8.215
02/09/21,00:00,6.965
02/10/21,00:00,6.215
02/11/21,00:00,7.215
02/12/21,00:00,6.465
02/13/21,00:00,7.465
02/14/21,00:00,7.465
02/15/21,00:00,8.465
02/16/21,00:00,8.465
02/17/21,00:00,6.465
02/18/21,00:00,7.465
02/19/21,00:00,7.465
02/20/21,00:00,6.715
02/21/21,00:00,5.965
02/22/21,00:00,6.465
02/23/21,00:00,7.465
02/24/21,00:00,7.215
02/25/21,00:00,6.965
02/26/21,00:00,7.465
02/27/21,00:00,6.465
02/28/21,00:00,6.465
03/01/21,00:00,6.715
03/02/21,00:00,7.465
03/03/21,00:00,6.215
03/04/21,00:00,6.715
03/05/21,00:00,7.465
03/06/21,00:00,6.715
03/07/21,00:00,5.965
03/08/21,00:00,6.965
03/09/21,00:00,6.715
03/10/21,00:00,6.215
03/11/21,00:00,6.965
03/12/21,00:00,7.465
03/13/21,00:00,7.465
03/14/21,00:00,7.465
03/15/21,00:00,6.215
03/16/21,00:00,7.465
03/17/21,00:00,7.465
03/18/21,00:00,8.465
03/19/21,00:00,8.465
03/20/21,00:00,6.465
03/21/21,00:00,6.965
03/22/21,00:00,6.715
03/23/21,00:00,7.465
03/24/21,00:00,7.465
03/25/21,00:00,7.465
03/26/21,00:00,7.215
03/27/21,00:00,7.465
03/28/21,00:00,7.465
03/29/21,00:00,7.965
03/30/21,00:00,6.465
03/31/21,00:00,7.465
04/01/21,00:00,7.215
04/02/21,00:00,7.465
04/03/21,00:00,6.465
04/04/21,00:00,7.465
04/05/21,00:00,6.215
04/06/21,00:00,6.715
04/07/21,00:00,6.965
04/08/21,00:00,7.215
04/09/21,00:00,7.465
04/10/21,00:00,7.215
04/11/21,00:00,6.715
04/12/21,00:00,7.465
04/13/21,00:00,7.465
04/14/21,00:00,6.215
04/15/21,00:00,6.465
04/16/21,00:00,6.965
04/17/21,00:00,6.965
04/18/21,00:00,6.715
04/19/21,00:00,7.465
04/20/21,00:00,6.965
04/21/21,00:00,6.215
04/22/21,00:00,6.465
04/23/21,00:00,6.965
04/24/21,00:00,5.715
04/25/21,00:00,6.465
04/26/21,00:00,6.965
04/27/21,00:00,6.715
04/28/21,00:00,6.215
04/29/21,00:00,7.215
04/30/21,00:00,7.465
05/01/21,00:00,7.465
05/02/21,00:00,6.965
05/03/21,00:00,6.715
05/04/21,00:00,6.465
05/05/21,00:00,7.465
05/07/21,00:00,6.465
05/08/21,00:00,6.215
05/09/21,00:00,7.465
05/10/21,00:00,7.215
05/11/21,00:00,7.465
05/12/21,00:00,6.715
05/13/21,00:00,6.965
05/14/21,00:00,6.965
05/15/21,00:00,6.215
05/16/21,00:00,6.715
05/17/21,00:00,6.465
05/18/21,00:00,6.965
05/19/21,00:00,6.715
05/20/21,00:00,7.215
05/21/21,00:00,6.465
05/22/21,00:00,6.715
05/23/21,00:00,5.965
05/24/21,00:00,6.715
05/25/21,00:00,6.715
05/26/21,00:00,7.215
05/27/21,00:00,7.465
05/31/21,00:00,6.465
06/01/21,00:00,6.465
06/02/21,00:00,5.965
06/03/21,00:00,6.965
06/04/21,00:00,6.465
06/05/21,00:00,5.715
06/06/21,00:00,6.465
06/07/21,00:00,6.215
06/08/21,00:00,5.965
06/09/21,00:00,6.215
06/10/21,00:00,6.715
06/11/21,00:00,6.715
06/12/21,00:00,6.215
06/13/21,00:00,5.465
06/14/21,00:00,6.715
06/15/21,00:00,6.465
06/16/21,00:00,6.715
06/17/21,00:00,6.215
06/18/21,00:00,6.715
06/19/21,00:00,5.965
06/20/21,00:00,6.715
06/21/21,00:00,6.715
06/22/21,00:00,5.715
06/23/21,00:00,5.465
06/24/21,00:00,5.465
06/25/21,00:00,5.965
06/26/21,00:00,6.215
06/27/21,00:00,5.965
06/28/21,00:00,6.465
06/29/21,00:00,6.215
06/30/21,00:00,6.465
07/01/21,00:00,6.715
07/02/21,00:00,6.965
07/03/21,00:00,7.215
07/04/21,00:00,6.965
07/05/21,00:00,6.465
07/06/21,00:00,6.715
07/07/21,00:00,6.465
07/08/21,00:00,6.715
07/09/21,00:00,6.715
07/10/21,00:00,6.715
07/11/21,00:00,6.965
07/12/21,00:00,6.965
07/13/21,00:00,7.215
07/14/21,00:00,6.715
07/15/21,00:00,6.715
07/16/21,00:00,6.465
07/17/21,00:00,4.965
07/18/21,00:00,6.465
07/19/21,00:00,5.465
07/20/21,00:00,6.465
07/21/21,00:00,6.715
07/22/21,00:00,4.965
07/23/21,00:00,5.465
07/24/21,00:00,5.965
07/25/21,00:00,6.465
07/26/21,00:00,5.965
07/27/21,00:00,4.965
07/28/21,00:00,5.965
07/29/21,00:00,6.715
07/30/21,00:00,6.715
07/31/21,00:00,6.215
08/01/21,00:00,6.465
08/02/21,00:00,7.215
