date,hour,value
01/01/22,00:00,0.20
01/02/22,00:00,0.22
01/03/22,00:00,0.23
01/04/22,00:00,0.24
01/05/22,00:00,0.25
01/06/22,00:00,0.25
01/07/22,00:00,0.24
01/08/22,00:00,0.22
01/09/22,00:00,0.24
01/10/22,00:00,0.24
01/11/22,00:00,0.22
01/12/22,00:00,0.23
01/13/22,00:00,0.24
01/14/22,00:00,0.23
01/15/22,00:00,0.24
01/16/22,00:00,0.24
01/17/22,00:00,0.23
01/18/22,00:00,0.23
01/19/22,00:00,0.24
01/20/22,00:00,0.23
01/21/22,00:00,0.22
01/22/22,00:00,0.23
01/23/22,00:00,0.25
01/24/22,00:00,0.24
01/25/22,00:00,0.24
01/26/22,00:00,0.23
01/27/22,00:00,0.23
01/28/22,00:00,0.24
01/29/22,00:00,0.24
01/30/22,00:00,0.25
01/31/22,00:00,0.25
02/01/22,00:00,0.25
02/02/22,00:00,0.25
02/03/22,00:00,0.24
02/04/22,00:00,0.23
02/05/22,00:00,0.24
02/06/22,00:00,0.25
02/07/22,00:00,0.25
02/08/22,00:00,0.24
02/09/22,00:00,0.25
02/10/22,00:00,0.24
02/11/22,00:00,0.24
02/12/22,00:00,0.24
02/13/22,00:00,0.27
02/14/22,00:00,0.22
02/15/22,00:00,0.24
02/16/22,00:00,0.25
02/17/22,00:00,0.24
02/18/22,00:00,0.23
02/19/22,00:00,0.24
02/20/22,00:00,0.25
02/21/22,00:00,0.25
02/22/22,00:00,0.23
02/23/22,00:00,0.24
02/26/22,00:00,0.25
02/27/22,00:00,0.24
02/28/22,00:00,0.24
03/01/22,00:00,0.26
03/02/22,00:00,0.25
03/03/22,00:00,0.24
03/04/22,00:00,0.25
03/05/22,00:00,0.26
03/06/22,00:00,0.26
03/07/22,00:00,0.25
03/08/22,00:00,0.24
03/09/22,00:00,0.24
03/10/22,00:00,0.26
03/11/22,00:00,0.24
03/12/22,00:00,0.22
03/13/22,00:00,0.23
03/14/22,00:00,0.24
03/15/22,00:00,0.25
03/16/22,00:00,0.24
03/17/22,00:00,0.23
03/18/22,00:00,0.25
03/19/22,00:00,0.23
03/20/22,00:00,0.24
03/23/22,00:00,0.25
03/24/22,00:00,0.24
03/25/22,00:00,0.23
03/26/22,00:00,0.24
03/27/22,00:00,0.25
03/28/22,00:00,0.25
03/29/22,00:00,0.24
03/30/22,00:00,0.27
03/31/22,00:00,0.26
04/01/22,00:00,0.27
04/02/22,00:00,0.28
04/03/22,00:00,0.27
