date,hour,value
01/01/22,00:00,13
01/02/22,00:00,13
01/03/22,00:00,9
01/04/22,00:00,10.5
01/05/22,00:00,13.5
01/06/22,00:00,11.5
01/07/22,00:00,10
01/08/22,00:00,13
01/09/22,00:00,14
01/10/22,00:00,12.5
01/11/22,00:00,12
01/12/22,00:00,12
01/13/22,00:00,12
01/14/22,00:00,11.5
01/15/22,00:00,14
01/16/22,00:00,12.5
01/17/22,00:00,9.5
01/18/22,00:00,11
01/19/22,00:00,11.5
01/20/22,00:00,12.5
01/21/22,00:00,10.5
01/22/22,00:00,11
01/23/22,00:00,13
01/24/22,00:00,12.5
01/25/22,00:00,12.5
01/26/22,00:00,12
01/27/22,00:00,14.5
01/28/22,00:00,7.5
01/29/22,00:00,10
01/30/22,00:00,11.5
01/31/22,00:00,13
02/01/22,00:00,12
02/02/22,00:00,14.5
02/03/22,00:00,11
02/04/22,00:00,11.5
02/05/22,00:00,10.5
02/06/22,00:00,11.5
02/07/22,00:00,10
02/08/22,00:00,14.5
02/09/22,00:00,15
02/10/22,00:00,15
02/11/22,00:00,14.5
02/12/22,00:00,14
02/13/22,00:00,17
02/14/22,00:00,12.5
02/15/22,00:00,14
02/16/22,00:00,15.5
02/17/22,00:00,11.5
02/18/22,00:00,12
02/19/22,00:00,10.5
02/20/22,00:00,11
02/21/22,00:00,13
02/22/22,00:00,10.5
02/23/22,00:00,10.5
02/26/22,00:00,10
02/27/22,00:00,11
02/28/22,00:00,15
03/01/22,00:00,11.5
03/02/22,00:00,13
03/03/22,00:00,14
03/04/22,00:00,15
03/05/22,00:00,14
03/06/22,00:00,10
03/07/22,00:00,14
03/08/22,00:00,13
03/09/22,00:00,10
03/10/22,00:00,13.5
03/11/22,00:00,15
03/12/22,00:00,13
03/13/22,00:00,14
03/14/22,00:00,13
03/15/22,00:00,13.5
03/16/22,00:00,15.5
03/17/22,00:00,11
03/18/22,00:00,14
03/19/22,00:00,14
03/20/22,00:00,14
03/23/22,00:00,11
03/24/22,00:00,11.5
03/25/22,00:00,11.5
03/26/22,00:00,10
03/27/22,00:00,8
03/28/22,00:00,8.5
03/29/22,00:00,11
03/30/22,00:00,12.5
03/31/22,00:00,13
04/01/22,00:00,11
04/02/22,00:00,14
04/03/22,00:00,11.5
04/04/22,00:00,12.5
04/05/22,00:00,13
04/06/22,00:00,10.5
04/07/22,00:00,8.5
04/08/22,00:00,12
04/09/22,00:00,13
04/10/22,00:00,8
04/11/22,00:00,12
04/12/22,00:00,11
04/13/22,00:00,12.5
04/14/22,00:00,9.5
04/15/22,00:00,7
04/16/22,00:00,12
04/17/22,00:00,15
04/18/22,00:00,11.5
04/19/22,00:00,12
04/20/22,00:00,16
04/21/22,00:00,14
04/22/22,00:00,10.5
04/23/22,00:00,11.5
04/24/22,00:00,12
04/25/22,00:00,11
04/26/22,00:00,12.5
04/27/22,00:00,12
04/28/22,00:00,9.5
04/29/22,00:00,14.5
04/30/22,00:00,12
05/01/22,00:00,12.5
05/02/22,00:00,9.5
05/03/22,00:00,9.5
05/04/22,00:00,14
05/05/22,00:00,13
05/06/22,00:00,12.5
05/07/22,00:00,12
05/08/22,00:00,11
05/09/22,00:00,12.5
05/10/22,00:00,11
05/11/22,00:00,15
05/12/22,00:00,15.5
05/13/22,00:00,13.5
05/14/22,00:00,11.5
05/15/22,00:00,12.5
05/16/22,00:00,12.5
05/17/22,00:00,11
05/18/22,00:00,12
05/19/22,00:00,11
05/20/22,00:00,13.5
05/21/22,00:00,11
05/22/22,00:00,11
05/23/22,00:00,12
05/24/22,00:00,9.5
05/26/22,00:00,13.5
05/27/22,00:00,8.5
05/28/22,00:00,11.5
05/29/22,00:00,12
05/30/22,00:00,12
05/31/22,00:00,10.5
06/01/22,00:00,10
06/02/22,00:00,13
06/03/22,00:00,8.5
06/04/22,00:00,9
06/05/22,00:00,9
06/06/22,00:00,9.5
06/07/22,00:00,12
06/08/22,00:00,9
06/09/22,00:00,9.5
06/10/22,00:00,11
06/11/22,00:00,10
06/12/22,00:00,9
06/13/22,00:00,14
06/14/22,00:00,11
06/15/22,00:00,10.5
06/16/22,00:00,12
06/17/22,00:00,6
06/18/22,00:00,14.5
06/19/22,00:00,10
06/20/22,00:00,12.5
06/21/22,00:00,12.5
06/22/22,00:00,14.5
06/23/22,00:00,8.5
06/24/22,00:00,10
06/25/22,00:00,9.5
06/26/22,00:00,14
06/27/22,00:00,13.5
06/28/22,00:00,11
06/29/22,00:00,11.5
06/30/22,00:00,13.5
07/01/22,00:00,12
07/02/22,00:00,13
07/03/22,00:00,15
07/04/22,00:00,12
07/05/22,00:00,12
07/06/22,00:00,11
07/07/22,00:00,11.5
07/08/22,00:00,12
07/09/22,00:00,14
07/10/22,00:00,12
07/11/22,00:00,14
07/12/22,00:00,12.5
07/13/22,00:00,11
07/14/22,00:00,11.5
07/15/22,00:00,10
07/16/22,00:00,11.5
07/17/22,00:00,11.5
07/18/22,00:00,11.5
07/19/22,00:00,12.5
07/20/22,00:00,11.5
07/21/22,00:00,8
07/22/22,00:00,10
07/23/22,00:00,11
07/24/22,00:00,10.5
07/25/22,00:00,12
07/26/22,00:00,12.5
07/27/22,00:00,11.5
07/28/22,00:00,11.5
07/29/22,00:00,12
07/30/22,00:00,14
07/31/22,00:00,10
08/01/22,00:00,8
08/02/22,00:00,10
08/03/22,00:00,11.5
08/04/22,00:00,9
08/05/22,00:00,13
08/06/22,00:00,12
08/07/22,00:00,10.5
08/08/22,00:00,10.5
08/09/22,00:00,14.5
08/10/22,00:00,11.5
08/11/22,00:00,11.5
08/12/22,00:00,9
08/13/22,00:00,11
08/14/22,00:00,11.5
08/15/22,00:00,11
08/16/22,00:00,12.5
08/17/22,00:00,11.5
08/18/22,00:00,10.5
08/19/22,00:00,9
08/20/22,00:00,12.5
08/21/22,00:00,9
08/22/22,00:00,13.5
08/23/22,00:00,10.5
08/24/22,00:00,9
08/25/22,00:00,11
08/26/22,00:00,12
08/27/22,00:00,11
08/28/22,00:00,11
08/29/22,00:00,10
08/30/22,00:00,12
08/31/22,00:00,11.5
09/01/22,00:00,11.5
09/02/22,00:00,10.5
09/03/22,00:00,10.5
09/04/22,00:00,12.5
09/05/22,00:00,12.5
09/06/22,00:00,14
09/07/22,00:00,12.5
09/08/22,00:00,10.5
09/09/22,00:00,15.5
09/10/22,00:00,12
09/11/22,00:00,12
09/12/22,00:00,12.5
09/13/22,00:00,13.5
09/14/22,00:00,13
09/15/22,00:00,13
09/16/22,00:00,6.5
09/17/22,00:00,12.5
09/18/22,00:00,12
09/19/22,00:00,13.5
09/20/22,00:00,13.5
09/21/22,00:00,12
09/22/22,00:00,12.5
09/23/22,00:00,11
09/24/22,00:00,10.5
09/25/22,00:00,13.5
09/26/22,00:00,12
09/27/22,00:00,11.5
09/28/22,00:00,14
09/29/22,00:00,12.5
09/30/22,00:00,13.5
10/01/22,00:00,11
10/02/22,00:00,12
10/03/22,00:00,14.5
10/04/22,00:00,12.5
10/05/22,00:00,15
10/06/22,00:00,11.5
10/07/22,00:00,14
10/08/22,00:00,14
10/09/22,00:00,9
10/10/22,00:00,13
10/11/22,00:00,11
10/12/22,00:00,15.5
10/13/22,00:00,16
10/14/22,00:00,15
10/15/22,00:00,9.5
10/16/22,00:00,10
10/17/22,00:00,9
10/18/22,00:00,13.5
10/19/22,00:00,13.5
10/20/22,00:00,12.5
10/21/22,00:00,13
10/22/22,00:00,14.5
10/23/22,00:00,11.5
10/24/22,00:00,12.5
10/25/22,00:00,12.5
10/26/22,00:00,14
