date,hour,value
01/01/22,00:00,0.02
01/02/22,00:00,0.02
01/03/22,00:00,0.02
01/04/22,00:00,0.05
01/05/22,00:00,0.02
01/06/22,00:00,0.04
01/07/22,00:00,0.05
01/08/22,00:00,0.05
01/09/22,00:00,0.08
01/10/22,00:00,0.02
01/11/22,00:00,0.02
01/12/22,00:00,0.05
01/13/22,00:00,0.02
01/14/22,00:00,0.04
01/15/22,00:00,0.02
01/16/22,00:00,0.02
01/17/22,00:00,0.08
01/18/22,00:00,0.02
01/19/22,00:00,0.07
01/20/22,00:00,0.04
01/21/22,00:00,0.04
01/22/22,00:00,0.02
01/23/22,00:00,0.04
01/24/22,00:00,0.04
01/25/22,00:00,0.06
01/26/22,00:00,0.04
01/27/22,00:00,0.03
01/28/22,00:00,0.02
01/29/22,00:00,0.06
01/30/22,00:00,0.06
01/31/22,00:00,0.04
02/01/22,00:00,0.02
02/02/22,00:00,0.02
02/03/22,00:00,0.04
02/04/22,00:00,0.05
02/05/22,00:00,0.04
02/06/22,00:00,0.02
02/07/22,00:00,0.02
02/08/22,00:00,0.06
02/09/22,00:00,0.03
02/10/22,00:00,0.03
02/11/22,00:00,0.02
02/12/22,00:00,0.02
02/13/22,00:00,0.07
02/14/22,00:00,0.03
02/15/22,00:00,0.02
02/16/22,00:00,0.02
02/17/22,00:00,0.03
02/18/22,00:00,0.02
02/19/22,00:00,0.02
02/20/22,00:00,0.02
02/21/22,00:00,0.07
02/22/22,00:00,0.02
02/23/22,00:00,0.02
02/26/22,00:00,0.10
02/27/22,00:00,0.14
02/28/22,00:00,0.10
03/01/22,00:00,0.10
03/02/22,00:00,0.03
03/03/22,00:00,0.07
03/04/22,00:00,0.04
03/05/22,00:00,0.06
03/06/22,00:00,0.10
03/07/22,00:00,0.04
03/08/22,00:00,0.08
03/09/22,00:00,0.08
03/10/22,00:00,0.04
03/11/22,00:00,0.10
03/12/22,00:00,0.08
03/13/22,00:00,0.04
03/14/22,00:00,0.08
03/15/22,00:00,0.10
03/16/22,00:00,0.12
03/17/22,00:00,0.08
03/18/22,00:00,0.12
03/19/22,00:00,0.06
03/20/22,00:00,0.02
03/23/22,00:00,0.08
03/24/22,00:00,0.06
03/25/22,00:00,0.10
03/26/22,00:00,0.05
03/27/22,00:00,0.04
03/28/22,00:00,0.10
03/29/22,00:00,0.07
03/30/22,00:00,0.10
03/31/22,00:00,0.05
04/01/22,00:00,0.12
04/02/22,00:00,0.05
04/03/22,00:00,0.04
04/04/22,00:00,0.05
04/05/22,00:00,0.04
04/06/22,00:00,0.06
04/07/22,00:00,0.06
04/08/22,00:00,0.07
04/09/22,00:00,0.10
04/10/22,00:00,0.12
04/11/22,00:00,0.12
04/12/22,00:00,0.04
04/13/22,00:00,0.09
04/14/22,00:00,0.02
04/15/22,00:00,0.08
04/16/22,00:00,0.12
04/17/22,00:00,0.12
04/18/22,00:00,0.08
04/19/22,00:00,0.04
04/20/22,00:00,0.08
04/21/22,00:00,0.04
04/22/22,00:00,0.10
04/23/22,00:00,0.12
04/24/22,00:00,0.12
04/25/22,00:00,0.06
04/26/22,00:00,0.10
04/27/22,00:00,0.04
04/28/22,00:00,0.04
04/29/22,00:00,0.09
04/30/22,00:00,0.14
05/01/22,00:00,0.14
05/02/22,00:00,0.14
05/03/22,00:00,0.10
05/04/22,00:00,0.05
05/05/22,00:00,0.07
05/06/22,00:00,0.04
05/07/22,00:00,0.12
05/08/22,00:00,0.06
05/09/22,00:00,0.07
05/10/22,00:00,0.02
05/11/22,00:00,0.06
05/12/22,00:00,0.05
05/13/22,00:00,0.09
05/14/22,00:00,0.04
05/15/22,00:00,0.08
05/16/22,00:00,0.06
05/17/22,00:00,0.07
05/18/22,00:00,0.04
05/19/22,00:00,0.04
05/20/22,00:00,0.14
05/21/22,00:00,0.05
05/22/22,00:00,0.08
05/23/22,00:00,0.02
05/24/22,00:00,0.02
05/26/22,00:00,0.05
05/27/22,00:00,0.08
05/28/22,00:00,0.10
05/29/22,00:00,0.08
05/30/22,00:00,0.07
05/31/22,00:00,0.12
06/01/22,00:00,0.08
06/02/22,00:00,0.07
06/03/22,00:00,0.12
06/04/22,00:00,0.14
06/05/22,00:00,0.14
06/06/22,00:00,0.10
06/07/22,00:00,0.12
06/08/22,00:00,0.12
06/09/22,00:00,0.14
06/10/22,00:00,0.14
06/11/22,00:00,0.16
06/12/22,00:00,0.12
06/13/22,00:00,0.12
06/14/22,00:00,0.16
06/15/22,00:00,0.09
06/16/22,00:00,0.14
06/17/22,00:00,0.10
06/18/22,00:00,0.14
06/19/22,00:00,0.12
06/20/22,00:00,0.07
06/21/22,00:00,0.14
06/22/22,00:00,0.14
06/23/22,00:00,0.14
06/24/22,00:00,0.10
06/25/22,00:00,0.16
06/26/22,00:00,0.16
06/27/22,00:00,0.14
06/28/22,00:00,0.06
06/29/22,00:00,0.16
06/30/22,00:00,0.14
07/01/22,00:00,0.14
07/02/22,00:00,0.16
07/03/22,00:00,0.16
07/04/22,00:00,0.14
07/05/22,00:00,0.16
07/06/22,00:00,0.14
07/07/22,00:00,0.14
07/08/22,00:00,0.12
07/09/22,00:00,0.16
07/10/22,00:00,0.16
07/11/22,00:00,0.14
07/12/22,00:00,0.16
07/13/22,00:00,0.16
07/14/22,00:00,0.14
07/15/22,00:00,0.08
07/16/22,00:00,0.14
07/17/22,00:00,0.10
07/18/22,00:00,0.10
07/19/22,00:00,0.16
07/20/22,00:00,0.06
07/21/22,00:00,0.12
07/22/22,00:00,0.14
07/23/22,00:00,0.12
07/24/22,00:00,0.10
07/25/22,00:00,0.14
07/26/22,00:00,0.16
07/27/22,00:00,0.12
07/28/22,00:00,0.10
07/29/22,00:00,0.16
07/30/22,00:00,0.14
07/31/22,00:00,0.16
08/01/22,00:00,0.16
08/02/22,00:00,0.16
08/03/22,00:00,0.14
08/04/22,00:00,0.16
08/05/22,00:00,0.14
08/06/22,00:00,0.16
08/07/22,00:00,0.14
08/08/22,00:00,0.14
08/09/22,00:00,0.16
08/10/22,00:00,0.10
08/11/22,00:00,0.16
08/12/22,00:00,0.16
08/13/22,00:00,0.16
08/14/22,00:00,0.12
08/15/22,00:00,0.14
08/16/22,00:00,0.12
08/17/22,00:00,0.16
08/18/22,00:00,0.14
08/19/22,00:00,0.16
08/20/22,00:00,0.16
08/21/22,00:00,0.16
08/22/22,00:00,0.16
08/23/22,00:00,0.16
08/24/22,00:00,0.16
08/25/22,00:00,0.14
08/26/22,00:00,0.16
08/27/22,00:00,0.14
08/28/22,00:00,0.14
08/29/22,00:00,0.12
08/30/22,00:00,0.06
08/31/22,00:00,0.10
09/01/22,00:00,0.12
09/02/22,00:00,0.10
09/03/22,00:00,0.14
09/04/22,00:00,0.16
09/05/22,00:00,0.16
09/06/22,00:00,0.14
09/07/22,00:00,0.16
09/08/22,00:00,0.16
09/09/22,00:00,0.10
09/10/22,00:00,0.18
09/11/22,00:00,0.12
09/12/22,00:00,0.16
09/13/22,00:00,0.14
09/14/22,00:00,0.10
09/15/22,00:00,0.14
09/16/22,00:00,0.12
09/17/22,00:00,0.16
09/18/22,00:00,0.08
09/19/22,00:00,0.14
09/20/22,00:00,0.08
09/21/22,00:00,0.16
09/22/22,00:00,0.14
09/23/22,00:00,0.14
09/24/22,00:00,0.16
09/25/22,00:00,0.14
09/26/22,00:00,0.10
09/27/22,00:00,0.12
09/28/22,00:00,0.16
09/29/22,00:00,0.16
09/30/22,00:00,0.12
10/01/22,00:00,0.10
10/02/22,00:00,0.14
10/03/22,00:00,0.16
10/04/22,00:00,0.16
10/05/22,00:00,0.12
10/06/22,00:00,0.16
10/07/22,00:00,0.10
10/08/22,00:00,0.06
10/09/22,00:00,0.14
10/10/22,00:00,0.10
10/11/22,00:00,0.07
10/12/22,00:00,0.07
10/13/22,00:00,0.08
10/14/22,00:00,0.16
10/15/22,00:00,0.10
10/16/22,00:00,0.14
10/17/22,00:00,0.14
10/18/22,00:00,0.16
10/19/22,00:00,0.14
10/20/22,00:00,0.14
10/21/22,00:00,0.08
10/22/22,00:00,0.10
10/23/22,00:00,0.06
10/24/22,00:00,0.14
10/25/22,00:00,0.08
10/26/22,00:00,0.16
10/27/22,00:00,0.12
10/28/22,00:00,0.04
10/29/22,00:00,0.16
10/30/22,00:00,0.16
10/31/22,00:00,0.16
11/01/22,00:00,0.16
11/02/22,00:00,0.06
11/03/22,00:00,0.10
11/04/22,00:00,0.16
11/05/22,00:00,0.12
11/06/22,00:00,0.10
11/07/22,00:00,0.05
11/08/22,00:00,0.04
11/09/22,00:00,0.06
11/10/22,00:00,0.16
11/11/22,00:00,0.08
11/12/22,00:00,0.16
11/13/22,00:00,0.10
11/14/22,00:00,0.07
11/15/22,00:00,0.08
11/16/22,00:00,0.16
