date,hour,value
01/01/23,00:00,9.82
01/02/23,00:00,8.82
01/03/23,00:00,9.82
01/04/23,00:00,9.82
01/05/23,00:00,10.82
01/06/23,00:00,9.82
01/07/23,00:00,10.82
01/08/23,00:00,9.82
01/09/23,00:00,8.82
01/10/23,00:00,9.82
01/11/23,00:00,10.82
01/12/23,00:00,10.82
01/13/23,00:00,9.82
01/14/23,00:00,10.82
01/15/23,00:00,9.82
01/16/23,00:00,9.82
01/17/23,00:00,10.82
01/18/23,00:00,10.82
01/19/23,00:00,9.82
01/20/23,00:00,9.82
01/21/23,00:00,10.82
01/22/23,00:00,9.82
01/23/23,00:00,10.82
01/24/23,00:00,8.82
01/25/23,00:00,10.82
01/26/23,00:00,9.82
01/27/23,00:00,9.82
01/28/23,00:00,10.82
01/29/23,00:00,11.32
01/30/23,00:00,9.82
01/31/23,00:00,10.82
02/01/23,00:00,9.82
02/02/23,00:00,9.82
02/03/23,00:00,10.82
02/04/23,00:00,9.82
02/05/23,00:00,10.82
02/06/23,00:00,11.32
02/07/23,00:00,9.82
02/08/23,00:00,10.82
02/09/23,00:00,7.82
02/10/23,00:00,8.82
02/11/23,00:00,8.32
02/12/23,00:00,9.32
02/13/23,00:00,9.82
02/14/23,00:00,10.82
02/15/23,00:00,10.82
02/16/23,00:00,11.82
02/17/23,00:00,9.82
02/18/23,00:00,10.82
02/19/23,00:00,11.82
02/20/23,00:00,11.32
02/21/23,00:00,9.82
02/22/23,00:00,11.82
02/23/23,00:00,11.32
02/24/23,00:00,10.82
02/25/23,00:00,8.82
02/26/23,00:00,10.82
02/27/23,00:00,9.82
02/28/23,00:00,11.82
03/01/23,00:00,10.82
03/02/23,00:00,8.82
03/03/23,00:00,10.82
03/04/23,00:00,9.82
03/05/23,00:00,10.82
03/06/23,00:00,9.82
03/07/23,00:00,9.82
03/08/23,00:00,9.82
03/09/23,00:00,9.82
03/10/23,00:00,11.32
03/11/23,00:00,11.32
03/12/23,00:00,11.82
03/13/23,00:00,9.82
03/14/23,00:00,10.82
03/15/23,00:00,9.82
03/16/23,00:00,8.82
03/17/23,00:00,9.82
03/18/23,00:00,10.82
03/19/23,00:00,10.82
03/20/23,00:00,9.82
03/21/23,00:00,10.82
03/22/23,00:00,10.82
03/23/23,00:00,8.82
03/24/23,00:00,10.82
03/25/23,00:00,11.32
03/26/23,00:00,9.82
03/27/23,00:00,9.82
03/28/23,00:00,11.32
03/29/23,00:00,8.32
03/30/23,00:00,9.82
03/31/23,00:00,9.82
04/01/23,00:00,10.82
04/02/23,00:00,9.82
04/03/23,00:00,9.82
04/04/23,00:00,9.32
04/05/23,00:00,9.82
04/06/23,00:00,10.82
04/07/23,00:00,9.82
04/08/23,00:00,10.82
04/09/23,00:00,9.82
04/10/23,00:00,9.82
04/11/23,00:00,9.32
04/12/23,00:00,9.82
04/13/23,00:00,9.82
04/14/23,00:00,11.32
04/15/23,00:00,10.82
04/16/23,00:00,9.82
04/17/23,00:00,9.82
04/18/23,00:00,9.32
04/19/23,00:00,9.82
04/20/23,00:00,10.82
04/21/23,00:00,10.82
04/22/23,00:00,10.82
04/23/23,00:00,9.82
04/24/23,00:00,9.82
04/25/23,00:00,11.32
04/26/23,00:00,10.82
04/27/23,00:00,10.82
04/28/23,00:00,9.82
04/29/23,00:00,10.82
04/30/23,00:00,10.82
05/01/23,00:00,11.32
05/02/23,00:00,9.82
05/03/23,00:00,9.82
05/04/23,00:00,10.82
05/05/23,00:00,9.82
05/06/23,00:00,11.32
05/07/23,00:00,10.82
05/08/23,00:00,9.82
05/09/23,00:00,9.82
05/10/23,00:00,10.82
05/11/23,00:00,9.82
05/12/23,00:00,11.32
05/13/23,00:00,9.82
05/14/23,00:00,9.32
05/15/23,00:00,9.82
05/16/23,00:00,10.82
05/17/23,00:00,9.82
05/18/23,00:00,9.82
05/19/23,00:00,10.82
05/20/23,00:00,9.82
05/21/23,00:00,9.32
05/22/23,00:00,10.82
05/23/23,00:00,9.82
05/24/23,00:00,9.82
05/25/23,00:00,10.82
05/26/23,00:00,11.32
05/27/23,00:00,9.32
05/28/23,00:00,9.82
05/29/23,00:00,10.82
05/30/23,00:00,11.32
05/31/23,00:00,10.82
06/01/23,00:00,9.82
06/02/23,00:00,9.82
06/03/23,00:00,9.82
06/04/23,00:00,10.82
06/05/23,00:00,11.32
06/06/23,00:00,9.82
06/07/23,00:00,9.32
06/08/23,00:00,9.82
06/09/23,00:00,9.82
06/10/23,00:00,9.82
06/11/23,00:00,10.82
06/12/23,00:00,11.32
06/13/23,00:00,9.82
06/14/23,00:00,9.32
06/15/23,00:00,9.82
06/16/23,00:00,10.82
06/17/23,00:00,9.82
06/18/23,00:00,9.82
06/19/23,00:00,10.82
06/20/23,00:00,11.32
06/21/23,00:00,10.82
06/22/23,00:00,9.82
06/23/23,00:00,10.82
06/24/23,00:00,9.82
06/25/23,00:00,10.82
06/26/23,00:00,10.82
06/27/23,00:00,11.32
06/28/23,00:00,10.82
06/29/23,00:00,9.82
06/30/23,00:00,9.82
07/01/23,00:00,9.82
07/02/23,00:00,10.82
07/03/23,00:00,11.32
07/04/23,00:00,11.32
07/05/23,00:00,9.82
07/06/23,00:00,10.82
07/07/23,00:00,9.82
07/08/23,00:00,9.82
07/09/23,00:00,11.32
07/10/23,00:00,10.82
07/11/23,00:00,9.82
07/12/23,00:00,9.32
07/13/23,00:00,9.82
07/14/23,00:00,10.82
07/15/23,00:00,9.82
07/16/23,00:00,9.82
07/17/23,00:00,9.32
07/18/23,00:00,9.82
07/19/23,00:00,10.82
07/20/23,00:00,9.82
07/21/23,00:00,9.82
07/22/23,00:00,10.82
07/23/23,00:00,9.82
07/24/23,00:00,9.82
07/25/23,00:00,9.82
07/26/23,00:00,11.32
07/27/23,00:00,10.82
