date,hour,value
01/01/23,00:00,2.02
01/02/23,00:00,2.02
01/03/23,00:00,1.61
01/04/23,00:00,1.61
01/05/23,00:00,2.02
01/06/23,00:00,2.02
01/07/23,00:00,2.53
01/08/23,00:00,1.81
01/09/23,00:00,1.61
01/10/23,00:00,1.81
01/11/23,00:00,1.61
01/12/23,00:00,1.51
01/13/23,00:00,1.61
01/14/23,00:00,1.81
01/15/23,00:00,1.51
01/16/23,00:00,1.61
01/17/23,00:00,2.02
01/18/23,00:00,2.53
01/19/23,00:00,3.05
01/20/23,00:00,1.81
01/21/23,00:00,1.61
01/22/23,00:00,2.02
01/23/23,00:00,2.02
01/24/23,00:00,1.51
01/25/23,00:00,2.02
01/26/23,00:00,1.61
01/27/23,00:00,1.61
01/28/23,00:00,2.02
01/29/23,00:00,2.53
01/30/23,00:00,1.61
01/31/23,00:00,1.81
02/01/23,00:00,2.02
02/02/23,00:00,2.02
02/03/23,00:00,2.02
02/04/23,00:00,2.02
02/05/23,00:00,2.53
02/06/23,00:00,2.53
02/07/23,00:00,2.02
02/08/23,00:00,2.53
02/09/23,00:00,3.05
02/10/23,00:00,1.81
02/11/23,00:00,1.51
02/12/23,00:00,1.51
02/13/23,00:00,1.61
02/14/23,00:00,2.02
02/15/23,00:00,1.61
02/16/23,00:00,1.81
02/17/23,00:00,1.61
02/18/23,00:00,1.61
02/19/23,00:00,2.53
02/20/23,00:00,1.81
02/21/23,00:00,1.81
02/22/23,00:00,1.51
02/23/23,00:00,1.81
02/24/23,00:00,2.02
02/25/23,00:00,2.53
02/26/23,00:00,2.02
02/27/23,00:00,2.02
02/28/23,00:00,1.81
03/01/23,00:00,1.81
03/02/23,00:00,2.53
03/03/23,00:00,2.02
03/04/23,00:00,2.53
03/05/23,00:00,2.02
03/06/23,00:00,2.53
03/07/23,00:00,2.02
03/08/23,00:00,1.51
03/09/23,00:00,1.81
03/10/23,00:00,2.53
03/11/23,00:00,3.05
03/12/23,00:00,2.02
03/13/23,00:00,3.05
03/14/23,00:00,3.05
03/15/23,00:00,2.02
03/16/23,00:00,2.53
03/17/23,00:00,2.02
03/18/23,00:00,2.53
03/19/23,00:00,2.02
03/20/23,00:00,2.02
03/21/23,00:00,2.53
03/22/23,00:00,2.02
03/23/23,00:00,1.81
03/24/23,00:00,3.05
03/25/23,00:00,2.53
03/26/23,00:00,2.02
03/27/23,00:00,2.02
03/28/23,00:00,1.81
03/29/23,00:00,2.53
03/30/23,00:00,2.02
03/31/23,00:00,2.02
04/01/23,00:00,1.81
04/02/23,00:00,2.02
04/03/23,00:00,2.02
04/04/23,00:00,1.81
04/05/23,00:00,2.53
04/06/23,00:00,3.05
04/07/23,00:00,2.53
04/08/23,00:00,2.02
04/09/23,00:00,2.53
04/10/23,00:00,2.02
04/11/23,00:00,1.81
04/12/23,00:00,1.81
04/13/23,00:00,2.02
04/14/23,00:00,2.53
04/15/23,00:00,2.02
04/16/23,00:00,2.02
04/17/23,00:00,1.81
04/18/23,00:00,2.53
04/19/23,00:00,2.02
04/20/23,00:00,2.53
04/21/23,00:00,2.53
04/22/23,00:00,2.02
04/23/23,00:00,3.05
04/24/23,00:00,2.02
04/25/23,00:00,1.81
04/26/23,00:00,1.81
04/27/23,00:00,2.02
04/28/23,00:00,1.81
04/29/23,00:00,2.02
04/30/23,00:00,2.02
05/01/23,00:00,2.53
05/02/23,00:00,2.53
05/03/23,00:00,2.02
05/04/23,00:00,2.02
05/05/23,00:00,2.02
05/06/23,00:00,2.53
05/07/23,00:00,1.81
05/08/23,00:00,1.81
05/09/23,00:00,1.81
05/10/23,00:00,2.02
05/11/23,00:00,2.02
05/12/23,00:00,2.53
05/13/23,00:00,1.81
05/14/23,00:00,2.53
05/15/23,00:00,2.02
05/16/23,00:00,1.71
05/17/23,00:00,1.81
05/18/23,00:00,1.71
05/19/23,00:00,2.02
05/20/23,00:00,1.81
05/21/23,00:00,1.71
05/22/23,00:00,2.02
