date,hour,value
01/01/21,00:00,222
01/02/21,00:00,221
01/03/21,00:00,223
01/04/21,00:00,223
01/05/21,00:00,224
01/06/21,00:00,223
01/07/21,00:00,220
01/08/21,00:00,222
01/09/21,00:00,220
01/10/21,00:00,222
01/11/21,00:00,221
01/12/21,00:00,220
01/13/21,00:00,222
01/14/21,00:00,223
01/15/21,00:00,223
01/16/21,00:00,221
01/17/21,00:00,222
01/18/21,00:00,223
01/19/21,00:00,222
01/20/21,00:00,220
01/21/21,00:00,220
01/22/21,00:00,221
01/23/21,00:00,219
01/24/21,00:00,222
01/25/21,00:00,223
01/26/21,00:00,224
01/27/21,00:00,222
01/28/21,00:00,223
01/29/21,00:00,221
01/30/21,00:00,221
01/31/21,00:00,223
02/01/21,00:00,222
02/02/21,00:00,221
02/03/21,00:00,224
02/04/21,00:00,222
02/05/21,00:00,221
02/06/21,00:00,220
02/07/21,00:00,223
02/08/21,00:00,221
02/09/21,00:00,223
02/10/21,00:00,223
02/11/21,00:00,224
02/12/21,00:00,222
02/13/21,00:00,222
02/14/21,00:00,222
02/15/21,00:00,223
02/16/21,00:00,223
02/17/21,00:00,221
02/18/21,00:00,223
02/19/21,00:00,221
02/20/21,00:00,222
02/21/21,00:00,223
02/22/21,00:00,221
02/23/21,00:00,224
02/24/21,00:00,222
02/25/21,00:00,224
02/26/21,00:00,223
02/27/21,00:00,221
02/28/21,00:00,223
03/01/21,00:00,222
03/02/21,00:00,222
03/03/21,00:00,224
03/04/21,00:00,222
03/05/21,00:00,223
03/06/21,00:00,222
03/07/21,00:00,224
03/08/21,00:00,223
03/09/21,00:00,221
03/10/21,00:00,220
03/11/21,00:00,222
03/12/21,00:00,224
03/13/21,00:00,223
03/14/21,00:00,221
03/15/21,00:00,224
03/16/21,00:00,222
03/17/21,00:00,223
03/18/21,00:00,223
03/19/21,00:00,223
03/20/21,00:00,221
03/21/21,00:00,221
03/22/21,00:00,223
03/23/21,00:00,224
03/24/21,00:00,222
03/25/21,00:00,223
03/26/21,00:00,221
03/27/21,00:00,222
03/28/21,00:00,224
03/29/21,00:00,222
03/30/21,00:00,223
03/31/21,00:00,222
04/01/21,00:00,222
04/02/21,00:00,223
04/03/21,00:00,221
04/04/21,00:00,221
04/05/21,00:00,221
04/06/21,00:00,220
04/07/21,00:00,221
04/08/21,00:00,222
04/09/21,00:00,222
04/10/21,00:00,223
04/11/21,00:00,221
04/12/21,00:00,222
04/13/21,00:00,222
