date,hour,value
01/01/21,00:00,0.45
01/02/21,00:00,0.44
01/03/21,00:00,0.44
01/04/21,00:00,0.44
01/05/21,00:00,0.44
01/06/21,00:00,0.44
01/07/21,00:00,0.43
01/08/21,00:00,0.43
01/09/21,00:00,0.43
01/10/21,00:00,0.43
01/11/21,00:00,0.43
01/12/21,00:00,0.43
01/13/21,00:00,0.43
01/14/21,00:00,0.43
01/15/21,00:00,0.45
01/16/21,00:00,0.45
01/17/21,00:00,0.45
01/18/21,00:00,0.44
01/19/21,00:00,0.44
01/20/21,00:00,0.44
01/21/21,00:00,0.44
01/22/21,00:00,0.45
01/23/21,00:00,0.45
01/24/21,00:00,0.45
01/25/21,00:00,0.45
01/26/21,00:00,0.44
01/27/21,00:00,0.44
01/28/21,00:00,0.44
01/29/21,00:00,0.44
01/30/21,00:00,0.44
01/31/21,00:00,0.44
02/01/21,00:00,0.44
02/02/21,00:00,0.44
02/03/21,00:00,0.44
02/04/21,00:00,0.44
02/05/21,00:00,0.47
02/06/21,00:00,0.47
02/07/21,00:00,0.44
02/08/21,00:00,0.44
02/09/21,00:00,0.45
02/10/21,00:00,0.45
02/11/21,00:00,0.44
02/12/21,00:00,0.44
02/13/21,00:00,0.44
02/14/21,00:00,0.44
02/15/21,00:00,0.44
02/16/21,00:00,0.45
02/17/21,00:00,0.47
02/18/21,00:00,0.45
02/19/21,00:00,0.45
02/20/21,00:00,0.45
02/21/21,00:00,0.47
02/22/21,00:00,0.45
02/23/21,00:00,0.45
02/24/21,00:00,0.45
02/25/21,00:00,0.45
02/26/21,00:00,0.44
02/27/21,00:00,0.44
02/28/21,00:00,0.44
03/01/21,00:00,0.44
03/02/21,00:00,0.44
03/03/21,00:00,0.45
03/04/21,00:00,0.45
03/05/21,00:00,0.47
03/06/21,00:00,0.47
03/07/21,00:00,0.47
03/08/21,00:00,0.47
03/09/21,00:00,0.47
03/10/21,00:00,0.47
03/11/21,00:00,0.45
03/12/21,00:00,0.45
03/13/21,00:00,0.44
03/14/21,00:00,0.44
03/15/21,00:00,0.44
03/16/21,00:00,0.44
03/17/21,00:00,0.44
03/18/21,00:00,0.44
03/19/21,00:00,0.44
03/20/21,00:00,0.44
03/21/21,00:00,0.44
03/22/21,00:00,0.44
03/23/21,00:00,0.44
03/24/21,00:00,0.44
03/25/21,00:00,0.45
03/26/21,00:00,0.45
03/27/21,00:00,0.47
03/28/21,00:00,0.44
03/29/21,00:00,0.44
03/30/21,00:00,0.44
03/31/21,00:00,0.44
04/01/21,00:00,0.45
04/02/21,00:00,0.45
04/03/21,00:00,0.45
04/04/21,00:00,0.45
04/05/21,00:00,0.44
04/06/21,00:00,0.44
04/07/21,00:00,0.44
04/08/21,00:00,0.44
04/09/21,00:00,0.44
04/10/21,00:00,0.43
04/11/21,00:00,0.43
04/12/21,00:00,0.43
04/13/21,00:00,0.42
04/14/21,00:00,0.42
04/15/21,00:00,0.43
04/16/21,00:00,0.43
04/17/21,00:00,0.43
04/18/21,00:00,0.43
04/19/21,00:00,0.44
04/20/21,00:00,0.44
04/21/21,00:00,0.45
04/22/21,00:00,0.45
04/23/21,00:00,0.45
04/24/21,00:00,0.44
04/25/21,00:00,0.44
04/26/21,00:00,0.43
04/27/21,00:00,0.43
04/28/21,00:00,0.43
04/29/21,00:00,0.44
04/30/21,00:00,0.44
05/01/21,00:00,0.44
05/02/21,00:00,0.44
05/03/21,00:00,0.44
05/04/21,00:00,0.44
05/05/21,00:00,0.44
05/06/21,00:00,0.44
05/07/21,00:00,0.44
05/08/21,00:00,0.45
05/09/21,00:00,0.45
05/10/21,00:00,0.44
05/11/21,00:00,0.44
05/12/21,00:00,0.44
05/13/21,00:00,0.44
05/14/21,00:00,0.45
05/15/21,00:00,0.45
05/16/21,00:00,0.45
05/17/21,00:00,0.45
05/18/21,00:00,0.45
05/19/21,00:00,0.44
05/20/21,00:00,0.44
05/21/21,00:00,0.44
05/22/21,00:00,0.44
05/23/21,00:00,0.45
05/24/21,00:00,0.45
05/25/21,00:00,0.45
05/26/21,00:00,0.45
05/27/21,00:00,0.45
05/28/21,00:00,0.45
05/29/21,00:00,0.45
05/30/21,00:00,0.44
05/31/21,00:00,0.44
06/01/21,00:00,0.44
06/02/21,00:00,0.44
06/03/21,00:00,0.44
06/04/21,00:00,0.44
06/05/21,00:00,0.44
06/06/21,00:00,0.44
06/07/21,00:00,0.44
06/08/21,00:00,0.44
06/09/21,00:00,0.45
06/10/21,00:00,0.45
06/11/21,00:00,0.45
06/12/21,00:00,0.45
06/13/21,00:00,0.45
06/14/21,00:00,0.45
06/15/21,00:00,0.45
06/16/21,00:00,0.45
06/17/21,00:00,0.45
06/18/21,00:00,0.45
06/19/21,00:00,0.47
06/20/21,00:00,0.47
06/21/21,00:00,0.45
06/22/21,00:00,0.45
06/23/21,00:00,0.45
06/24/21,00:00,0.45
06/25/21,00:00,0.47
06/26/21,00:00,0.47
06/27/21,00:00,0.45
06/28/21,00:00,0.47
06/29/21,00:00,0.45
06/30/21,00:00,0.45
07/01/21,00:00,0.44
07/02/21,00:00,0.44
07/03/21,00:00,0.44
07/04/21,00:00,0.44
07/05/21,00:00,0.44
07/06/21,00:00,0.44
07/07/21,00:00,0.45
07/08/21,00:00,0.45
07/09/21,00:00,0.47
07/10/21,00:00,0.47
07/11/21,00:00,0.45
07/12/21,00:00,0.44
07/13/21,00:00,0.44
07/14/21,00:00,0.45
07/15/21,00:00,0.45
07/16/21,00:00,0.44
07/17/21,00:00,0.44
07/18/21,00:00,0.44
07/19/21,00:00,0.44
07/20/21,00:00,0.44
07/21/21,00:00,0.47
07/22/21,00:00,0.47
07/23/21,00:00,0.47
07/24/21,00:00,0.47
07/25/21,00:00,0.47
07/26/21,00:00,0.47
07/27/21,00:00,0.47
07/28/21,00:00,0.45
07/29/21,00:00,0.45
07/30/21,00:00,0.47
07/31/21,00:00,0.47
08/01/21,00:00,0.45
08/02/21,00:00,0.45
08/03/21,00:00,0.45
08/04/21,00:00,0.45
08/05/21,00:00,0.45
08/06/21,00:00,0.45
08/07/21,00:00,0.44
08/08/21,00:00,0.44
08/09/21,00:00,0.45
08/10/21,00:00,0.45
08/11/21,00:00,0.47
08/12/21,00:00,0.47
08/13/21,00:00,0.47
08/14/21,00:00,0.47
08/15/21,00:00,0.44
08/16/21,00:00,0.44
08/17/21,00:00,0.44
08/18/21,00:00,0.44
08/19/21,00:00,0.44
08/20/21,00:00,0.44
08/21/21,00:00,0.44
08/22/21,00:00,0.44
08/23/21,00:00,0.44
08/24/21,00:00,0.44
08/25/21,00:00,0.44
08/26/21,00:00,0.44
08/27/21,00:00,0.44
08/28/21,00:00,0.43
08/29/21,00:00,0.43
08/30/21,00:00,0.44
08/31/21,00:00,0.44
09/01/21,00:00,0.44
09/02/21,00:00,0.43
09/03/21,00:00,0.43
09/04/21,00:00,0.44
09/05/21,00:00,0.44
09/06/21,00:00,0.44
09/07/21,00:00,0.44
09/08/21,00:00,0.44
09/09/21,00:00,0.44
09/10/21,00:00,0.44
09/11/21,00:00,0.44
09/12/21,00:00,0.44
09/13/21,00:00,0.45
09/14/21,00:00,0.45
09/15/21,00:00,0.45
09/16/21,00:00,0.44
09/17/21,00:00,0.44
09/18/21,00:00,0.45
09/19/21,00:00,0.45
09/20/21,00:00,0.44
09/21/21,00:00,0.44
09/22/21,00:00,0.44
09/23/21,00:00,0.44
09/24/21,00:00,0.44
09/25/21,00:00,0.45
09/26/21,00:00,0.45
09/27/21,00:00,0.45
09/28/21,00:00,0.45
09/29/21,00:00,0.45
09/30/21,00:00,0.45
10/01/21,00:00,0.45
10/02/21,00:00,0.45
10/03/21,00:00,0.45
10/04/21,00:00,0.45
10/05/21,00:00,0.45
10/06/21,00:00,0.45
10/07/21,00:00,0.45
10/08/21,00:00,0.45
10/09/21,00:00,0.44
10/10/21,00:00,0.44
10/11/21,00:00,0.44
10/12/21,00:00,0.45
10/13/21,00:00,0.45
10/14/21,00:00,0.45
10/15/21,00:00,0.45
10/16/21,00:00,0.45
10/17/21,00:00,0.44
10/18/21,00:00,0.44
10/19/21,00:00,0.44
10/20/21,00:00,0.44
10/21/21,00:00,0.44
10/22/21,00:00,0.44
10/23/21,00:00,0.45
10/24/21,00:00,0.45
10/25/21,00:00,0.44
10/26/21,00:00,0.44
10/27/21,00:00,0.44
10/28/21,00:00,0.45
10/29/21,00:00,0.45
10/30/21,00:00,0.47
10/31/21,00:00,0.47
11/01/21,00:00,0.45
11/02/21,00:00,0.45
11/03/21,00:00,0.45
11/04/21,00:00,0.44
11/05/21,00:00,0.44
11/06/21,00:00,0.44
11/07/21,00:00,0.44
11/08/21,00:00,0.44
11/09/21,00:00,0.44
11/10/21,00:00,0.44
11/11/21,00:00,0.45
11/12/21,00:00,0.45
11/13/21,00:00,0.45
11/14/21,00:00,0.45
11/15/21,00:00,0.44
11/16/21,00:00,0.44
11/17/21,00:00,0.44
11/18/21,00:00,0.44
11/19/21,00:00,0.44
11/20/21,00:00,0.44
11/21/21,00:00,0.43
11/22/21,00:00,0.43
11/23/21,00:00,0.43
11/24/21,00:00,0.43
11/25/21,00:00,0.43
11/26/21,00:00,0.43
11/27/21,00:00,0.43
11/28/21,00:00,0.43
11/29/21,00:00,0.43
11/30/21,00:00,0.44
12/01/21,00:00,0.44
12/02/21,00:00,0.44
12/03/21,00:00,0.44
12/04/21,00:00,0.43
12/05/21,00:00,0.43
12/06/21,00:00,0.43
12/07/21,00:00,0.43
12/08/21,00:00,0.43
12/09/21,00:00,0.44
12/10/21,00:00,0.44
12/11/21,00:00,0.45
12/12/21,00:00,0.45
12/13/21,00:00,0.44
12/14/21,00:00,0.44
12/15/21,00:00,0.44
12/16/21,00:00,0.44
12/17/21,00:00,0.44
12/18/21,00:00,0.44
12/19/21,00:00,0.44
12/20/21,00:00,0.44
12/21/21,00:00,0.44
12/22/21,00:00,0.44
12/23/21,00:00,0.44
12/24/21,00:00,0.44
12/25/21,00:00,0.43
12/26/21,00:00,0.43
12/27/21,00:00,0.44
12/28/21,00:00,0.44
12/29/21,00:00,0.44
