date,hour,value
01/01/21,00:00,34.0
01/02/21,00:00,33.9
01/03/21,00:00,33.9
01/04/21,00:00,34.0
01/05/21,00:00,34.0
01/06/21,00:00,34.0
01/07/21,00:00,34.0
01/08/21,00:00,34.2
01/09/21,00:00,33.9
01/10/21,00:00,33.9
01/11/21,00:00,33.6
01/12/21,00:00,34.0
01/13/21,00:00,34.5
01/14/21,00:00,34.5
01/15/21,00:00,34.7
01/16/21,00:00,34.9
01/17/21,00:00,34.6
01/18/21,00:00,34.0
01/19/21,00:00,34.7
01/20/21,00:00,34.4
01/21/21,00:00,34.0
01/22/21,00:00,34.0
01/23/21,00:00,33.8
01/24/21,00:00,34.2
01/25/21,00:00,34.0
01/26/21,00:00,34.1
01/27/21,00:00,34.3
01/28/21,00:00,34.0
01/29/21,00:00,33.9
01/30/21,00:00,33.7
01/31/21,00:00,33.9
02/01/21,00:00,33.9
02/02/21,00:00,33.8
02/03/21,00:00,33.6
02/04/21,00:00,33.8
02/05/21,00:00,33.7
02/06/21,00:00,33.7
02/07/21,00:00,34.3
02/08/21,00:00,34.1
02/09/21,00:00,33.7
02/10/21,00:00,33.6
02/11/21,00:00,33.7
02/12/21,00:00,33.6
02/13/21,00:00,34.0
02/14/21,00:00,34.4
02/15/21,00:00,34.5
02/16/21,00:00,33.6
02/17/21,00:00,33.7
02/18/21,00:00,34.0
02/19/21,00:00,33.8
02/20/21,00:00,34.1
02/21/21,00:00,33.6
02/22/21,00:00,33.6
02/23/21,00:00,33.5
02/24/21,00:00,33.5
02/25/21,00:00,34.1
02/26/21,00:00,34.1
02/27/21,00:00,34.1
02/28/21,00:00,33.5
03/01/21,00:00,33.6
03/02/21,00:00,33.5
03/03/21,00:00,33.9
03/04/21,00:00,33.9
03/05/21,00:00,34.2
03/06/21,00:00,33.6
03/07/21,00:00,32.7
03/08/21,00:00,32.6
03/09/21,00:00,32.5
03/10/21,00:00,33.0
03/11/21,00:00,32.7
03/12/21,00:00,32.5
03/13/21,00:00,32.6
03/14/21,00:00,32.4
03/15/21,00:00,32.9
03/16/21,00:00,33.2
03/17/21,00:00,33.3
03/18/21,00:00,33.2
03/19/21,00:00,33.5
03/20/21,00:00,33.6
03/21/21,00:00,33.5
03/22/21,00:00,32.9
03/23/21,00:00,32.9
03/24/21,00:00,33.0
03/25/21,00:00,33.2
03/26/21,00:00,33.0
03/27/21,00:00,33.3
03/28/21,00:00,33.6
03/29/21,00:00,33.7
03/30/21,00:00,33.5
03/31/21,00:00,33.7
04/01/21,00:00,34.1
04/02/21,00:00,34.1
04/03/21,00:00,34.0
04/04/21,00:00,33.9
04/05/21,00:00,33.6
04/06/21,00:00,33.5
04/07/21,00:00,33.7
04/08/21,00:00,33.6
04/09/21,00:00,33.4
04/10/21,00:00,33.8
04/11/21,00:00,33.9
04/12/21,00:00,33.8
04/13/21,00:00,34.0
04/14/21,00:00,34.1
04/15/21,00:00,33.6
04/16/21,00:00,33.2
04/17/21,00:00,33.1
04/18/21,00:00,33.2
04/19/21,00:00,33.5
04/20/21,00:00,34.0
04/21/21,00:00,33.9
04/22/21,00:00,34.5
04/23/21,00:00,34.1
04/24/21,00:00,34.6
04/25/21,00:00,33.9
04/26/21,00:00,33.9
04/27/21,00:00,33.9
04/28/21,00:00,34.6
04/29/21,00:00,34.3
04/30/21,00:00,34.3
05/01/21,00:00,34.4
05/02/21,00:00,34.4
05/03/21,00:00,34.6
05/04/21,00:00,34.4
05/05/21,00:00,34.5
05/06/21,00:00,33.7
05/07/21,00:00,34.1
05/08/21,00:00,33.6
05/09/21,00:00,33.7
05/10/21,00:00,33.3
05/11/21,00:00,33.6
05/12/21,00:00,33.6
05/13/21,00:00,33.8
05/14/21,00:00,34.0
05/15/21,00:00,33.7
05/16/21,00:00,33.4
05/17/21,00:00,33.6
05/18/21,00:00,33.2
05/19/21,00:00,33.9
05/20/21,00:00,34.1
05/21/21,00:00,34.0
05/22/21,00:00,34.0
05/23/21,00:00,34.2
05/24/21,00:00,34.1
05/25/21,00:00,33.9
05/26/21,00:00,34.0
05/27/21,00:00,34.7
05/28/21,00:00,34.4
05/29/21,00:00,34.2
05/30/21,00:00,33.6
05/31/21,00:00,33.6
06/01/21,00:00,33.9
06/02/21,00:00,33.4
06/03/21,00:00,34.0
06/04/21,00:00,34.9
06/05/21,00:00,34.2
06/06/21,00:00,33.9
06/07/21,00:00,34.2
06/08/21,00:00,33.9
06/09/21,00:00,33.6
06/10/21,00:00,33.8
06/11/21,00:00,33.6
06/12/21,00:00,33.5
06/13/21,00:00,34.3
06/14/21,00:00,34.1
06/15/21,00:00,33.5
06/16/21,00:00,33.5
06/17/21,00:00,33.0
06/18/21,00:00,33.3
06/19/21,00:00,33.3
06/20/21,00:00,33.3
06/21/21,00:00,33.9
06/22/21,00:00,34.1
06/23/21,00:00,33.9
06/24/21,00:00,33.0
06/25/21,00:00,33.9
06/26/21,00:00,34.1
06/27/21,00:00,33.8
06/28/21,00:00,33.6
06/29/21,00:00,33.4
06/30/21,00:00,33.4
07/01/21,00:00,33.2
07/02/21,00:00,32.6
07/03/21,00:00,32.7
07/04/21,00:00,33.4
07/05/21,00:00,33.5
07/06/21,00:00,33.5
07/07/21,00:00,33.6
07/08/21,00:00,33.2
07/09/21,00:00,33.0
07/10/21,00:00,32.9
07/11/21,00:00,33.4
07/12/21,00:00,33.3
07/13/21,00:00,33.2
07/14/21,00:00,33.1
07/15/21,00:00,32.8
07/16/21,00:00,33.1
07/17/21,00:00,33.1
07/18/21,00:00,32.4
07/19/21,00:00,32.5
07/20/21,00:00,32.5
07/21/21,00:00,32.5
07/22/21,00:00,32.6
07/23/21,00:00,32.8
07/24/21,00:00,32.7
07/25/21,00:00,32.5
07/26/21,00:00,33.1
07/27/21,00:00,32.9
07/28/21,00:00,33.1
07/29/21,00:00,33.3
07/30/21,00:00,32.9
07/31/21,00:00,33.5
08/01/21,00:00,33.0
08/02/21,00:00,33.1
08/03/21,00:00,32.8
08/04/21,00:00,33.1
08/05/21,00:00,33.3
08/06/21,00:00,33.1
08/07/21,00:00,33.5
