date,hour,value
01/01/21,00:00,24.6
01/02/21,00:00,24.7
01/03/21,00:00,24.6
01/04/21,00:00,25.3
01/05/21,00:00,25.3
01/06/21,00:00,23.7
01/07/21,00:00,26.0
01/08/21,00:00,25.1
01/09/21,00:00,25.8
01/10/21,00:00,25.9
01/11/21,00:00,26.5
01/12/21,00:00,26.2
01/13/21,00:00,25.9
01/14/21,00:00,26.0
01/15/21,00:00,25.5
01/16/21,00:00,25.3
01/17/21,00:00,26.5
01/18/21,00:00,25.4
01/19/21,00:00,25.2
01/20/21,00:00,24.6
01/21/21,00:00,24.5
01/22/21,00:00,24.5
01/23/21,00:00,25.5
01/24/21,00:00,24.5
01/25/21,00:00,25.0
01/26/21,00:00,25.0
01/27/21,00:00,24.8
01/28/21,00:00,24.8
01/29/21,00:00,24.6
01/30/21,00:00,25.0
01/31/21,00:00,23.2
02/01/21,00:00,23.6
02/02/21,00:00,23.4
02/03/21,00:00,23.4
02/04/21,00:00,24.0
02/05/21,00:00,24.0
02/06/21,00:00,23.8
02/07/21,00:00,25.1
02/08/21,00:00,25.0
02/09/21,00:00,26.9
02/10/21,00:00,26.8
02/11/21,00:00,26.6
02/12/21,00:00,26.9
02/13/21,00:00,26.7
02/14/21,00:00,26.0
02/15/21,00:00,26.8
02/16/21,00:00,27.1
02/17/21,00:00,26.0
02/18/21,00:00,26.9
02/19/21,00:00,26.4
02/20/21,00:00,25.9
02/21/21,00:00,26.4
02/22/21,00:00,26.6
02/23/21,00:00,26.5
02/24/21,00:00,26.5
02/25/21,00:00,26.5
02/26/21,00:00,26.6
02/27/21,00:00,26.7
02/28/21,00:00,26.1
03/01/21,00:00,26.5
03/02/21,00:00,26.2
03/03/21,00:00,25.9
03/04/21,00:00,25.7
03/05/21,00:00,25.8
03/06/21,00:00,26.3
03/07/21,00:00,27.0
03/08/21,00:00,27.9
03/09/21,00:00,27.4
03/10/21,00:00,27.0
03/11/21,00:00,27.5
03/12/21,00:00,27.8
03/13/21,00:00,28.4
03/14/21,00:00,27.8
03/15/21,00:00,26.5
03/16/21,00:00,26.0
03/17/21,00:00,26.3
03/18/21,00:00,26.3
03/19/21,00:00,26.5
03/20/21,00:00,25.9
03/21/21,00:00,25.4
03/22/21,00:00,26.4
03/23/21,00:00,26.5
03/24/21,00:00,26.3
03/25/21,00:00,26.1
03/26/21,00:00,27.1
03/27/21,00:00,27.2
03/28/21,00:00,26.0
03/29/21,00:00,26.2
03/30/21,00:00,25.9
03/31/21,00:00,26.8
04/01/21,00:00,25.1
04/02/21,00:00,24.8
04/03/21,00:00,25.0
04/04/21,00:00,25.0
04/05/21,00:00,26.1
04/06/21,00:00,26.0
04/07/21,00:00,24.6
04/08/21,00:00,25.8
04/09/21,00:00,25.6
04/10/21,00:00,26.6
04/11/21,00:00,25.5
04/12/21,00:00,25.4
04/13/21,00:00,24.3
04/14/21,00:00,24.7
04/15/21,00:00,25.8
04/16/21,00:00,26.0
04/17/21,00:00,26.2
04/18/21,00:00,26.5
04/19/21,00:00,26.1
04/20/21,00:00,25.3
04/21/21,00:00,25.7
04/22/21,00:00,25.5
04/23/21,00:00,25.6
04/24/21,00:00,25.8
04/25/21,00:00,25.5
04/26/21,00:00,25.5
04/27/21,00:00,26.0
04/28/21,00:00,25.4
04/29/21,00:00,26.2
04/30/21,00:00,25.8
05/01/21,00:00,25.5
05/02/21,00:00,25.6
05/03/21,00:00,24.9
05/04/21,00:00,25.7
05/05/21,00:00,25.5
05/06/21,00:00,26.2
05/07/21,00:00,26.1
05/08/21,00:00,26.5
05/09/21,00:00,26.6
05/10/21,00:00,26.6
05/11/21,00:00,25.8
05/12/21,00:00,25.5
05/13/21,00:00,25.0
05/14/21,00:00,25.2
05/15/21,00:00,26.0
05/16/21,00:00,27.0
05/17/21,00:00,26.2
05/18/21,00:00,27.4
05/19/21,00:00,25.8
05/20/21,00:00,25.4
05/21/21,00:00,26.1
05/22/21,00:00,25.3
05/23/21,00:00,25.1
05/24/21,00:00,25.7
05/25/21,00:00,25.8
05/26/21,00:00,25.7
05/27/21,00:00,25.6
05/28/21,00:00,25.9
05/29/21,00:00,25.8
05/30/21,00:00,25.5
05/31/21,00:00,25.4
06/01/21,00:00,26.2
06/02/21,00:00,26.8
06/03/21,00:00,26.9
06/04/21,00:00,25.7
06/05/21,00:00,26.4
06/06/21,00:00,27.1
06/07/21,00:00,26.4
06/08/21,00:00,27.2
06/09/21,00:00,27.2
