date,hour,value
01/01/21,00:00,0.904
01/02/21,00:00,1.072
01/03/21,00:00,1.240
01/04/21,00:00,0.904
01/05/21,00:00,1.156
01/06/21,00:00,1.156
01/07/21,00:00,0.820
01/08/21,00:00,1.072
01/09/21,00:00,0.988
01/10/21,00:00,1.156
01/11/21,00:00,0.904
01/12/21,00:00,0.988
01/13/21,00:00,1.240
01/14/21,00:00,1.072
01/15/21,00:00,0.820
01/16/21,00:00,1.072
01/17/21,00:00,1.156
01/18/21,00:00,0.988
01/19/21,00:00,0.904
01/20/21,00:00,1.156
01/21/21,00:00,1.240
01/22/21,00:00,1.072
01/23/21,00:00,1.240
01/24/21,00:00,0.988
01/25/21,00:00,0.820
01/26/21,00:00,1.072
01/27/21,00:00,1.240
01/28/21,00:00,0.988
01/29/21,00:00,0.820
01/30/21,00:00,1.156
01/31/21,00:00,0.988
02/01/21,00:00,1.072
02/02/21,00:00,0.820
02/03/21,00:00,0.904
02/04/21,00:00,1.156
02/05/21,00:00,0.904
02/06/21,00:00,0.988
02/07/21,00:00,1.072
02/08/21,00:00,1.156
02/09/21,00:00,0.988
02/10/21,00:00,1.072
02/11/21,00:00,1.240
02/12/21,00:00,1.156
02/13/21,00:00,0.904
02/14/21,00:00,0.988
02/15/21,00:00,1.072
02/16/21,00:00,1.156
02/17/21,00:00,0.904
02/18/21,00:00,1.072
02/19/21,00:00,0.904
02/20/21,00:00,1.240
02/21/21,00:00,0.988
02/22/21,00:00,1.240
02/23/21,00:00,1.156
02/24/21,00:00,1.072
02/25/21,00:00,0.904
02/26/21,00:00,1.072
02/27/21,00:00,0.820
02/28/21,00:00,1.240
03/01/21,00:00,0.988
03/02/21,00:00,1.156
03/03/21,00:00,0.904
03/04/21,00:00,1.156
03/05/21,00:00,0.904
03/06/21,00:00,1.240
03/07/21,00:00,0.098
03/08/21,00:00,0.820
03/09/21,00:00,1.072
03/10/21,00:00,0.904
03/11/21,00:00,1.156
03/12/21,00:00,0.904
03/13/21,00:00,0.988
03/14/21,00:00,0.820
03/15/21,00:00,1.072
03/16/21,00:00,1.240
03/17/21,00:00,0.988
03/18/21,00:00,1.240
03/19/21,00:00,0.904
03/20/21,00:00,1.156
03/21/21,00:00,0.988
03/22/21,00:00,0.904
03/23/21,00:00,1.072
03/24/21,00:00,1.240
03/25/21,00:00,1.240
03/26/21,00:00,0.988
03/27/21,00:00,1.156
03/28/21,00:00,0.820
03/29/21,00:00,0.988
03/30/21,00:00,1.072
03/31/21,00:00,0.904
04/01/21,00:00,0.820
04/02/21,00:00,0.736
04/03/21,00:00,0.820
04/04/21,00:00,0.988
04/05/21,00:00,0.988
04/06/21,00:00,0.820
04/07/21,00:00,0.652
04/08/21,00:00,1.072
04/09/21,00:00,1.072
04/10/21,00:00,1.240
04/11/21,00:00,1.240
04/12/21,00:00,0.988
04/13/21,00:00,0.820
04/14/21,00:00,1.240
04/15/21,00:00,0.904
04/16/21,00:00,1.156
04/17/21,00:00,1.240
04/18/21,00:00,0.988
04/19/21,00:00,1.072
04/20/21,00:00,1.072
04/21/21,00:00,0.820
04/22/21,00:00,0.156
04/23/21,00:00,1.072
04/24/21,00:00,0.988
04/25/21,00:00,1.156
04/26/21,00:00,0.904
04/27/21,00:00,1.156
04/28/21,00:00,1.240
04/29/21,00:00,0.988
04/30/21,00:00,0.820
05/01/21,00:00,1.072
05/02/21,00:00,0.988
05/03/21,00:00,1.240
05/04/21,00:00,1.156
05/05/21,00:00,1.072
05/06/21,00:00,0.904
05/07/21,00:00,1.072
05/08/21,00:00,0.820
05/09/21,00:00,0.904
05/10/21,00:00,1.156
05/11/21,00:00,1.240
05/12/21,00:00,1.156
05/13/21,00:00,1.156
05/14/21,00:00,0.988
05/15/21,00:00,0.904
05/16/21,00:00,0.988
05/17/21,00:00,1.156
05/18/21,00:00,1.156
05/19/21,00:00,0.904
05/20/21,00:00,1.156
05/21/21,00:00,1.240
05/22/21,00:00,0.988
05/23/21,00:00,1.072
05/24/21,00:00,1.072
05/25/21,00:00,1.324
05/26/21,00:00,1.156
05/27/21,00:00,0.988
05/28/21,00:00,1.240
05/29/21,00:00,1.072
05/30/21,00:00,0.904
05/31/21,00:00,1.156
06/01/21,00:00,0.988
06/02/21,00:00,0.820
06/03/21,00:00,1.072
06/04/21,00:00,1.240
06/05/21,00:00,1.156
06/06/21,00:00,0.988
06/07/21,00:00,0.820
06/08/21,00:00,0.904
06/09/21,00:00,1.156
06/10/21,00:00,1.072
06/11/21,00:00,1.240
06/12/21,00:00,1.072
06/13/21,00:00,0.904
06/14/21,00:00,1.156
06/15/21,00:00,1.072
06/16/21,00:00,1.240
06/17/21,00:00,0.988
06/18/21,00:00,1.156
06/19/21,00:00,0.820
06/20/21,00:00,0.904
06/21/21,00:00,1.240
06/22/21,00:00,1.240
06/23/21,00:00,0.988
06/24/21,00:00,0.904
