date,hour,value
01/01/22,00:00,5.22
01/02/22,00:00,5.22
01/03/22,00:00,5.22
01/04/22,00:00,5.22
01/05/22,00:00,5.22
01/06/22,00:00,5.32
01/07/22,00:00,5.42
01/08/22,00:00,5.42
01/09/22,00:00,5.42
01/10/22,00:00,5.32
01/11/22,00:00,5.22
01/12/22,00:00,5.22
01/13/22,00:00,5.42
01/14/22,00:00,5.32
01/15/22,00:00,5.42
01/16/22,00:00,5.32
01/17/22,00:00,5.42
01/18/22,00:00,5.42
01/19/22,00:00,5.42
01/20/22,00:00,5.32
01/21/22,00:00,5.42
01/22/22,00:00,5.32
01/23/22,00:00,5.22
01/24/22,00:00,5.32
01/25/22,00:00,5.32
01/26/22,00:00,5.42
01/27/22,00:00,5.42
01/28/22,00:00,5.32
01/29/22,00:00,5.42
01/30/22,00:00,5.42
01/31/22,00:00,5.42
02/01/22,00:00,5.32
02/02/22,00:00,5.32
02/03/22,00:00,5.12
02/04/22,00:00,5.22
02/05/22,00:00,5.32
02/06/22,00:00,5.22
02/07/22,00:00,5.32
02/08/22,00:00,5.32
02/09/22,00:00,5.32
02/10/22,00:00,5.22
02/11/22,00:00,5.32
02/12/22,00:00,5.22
02/13/22,00:00,5.22
02/14/22,00:00,5.32
02/15/22,00:00,5.22
02/16/22,00:00,5.42
02/17/22,00:00,5.32
02/18/22,00:00,5.42
02/19/22,00:00,5.32
02/20/22,00:00,5.32
02/21/22,00:00,5.32
02/22/22,00:00,5.42
02/23/22,00:00,5.42
02/24/22,00:00,5.32
02/25/22,00:00,5.42
02/26/22,00:00,5.42
02/27/22,00:00,5.42
02/28/22,00:00,5.42
03/01/22,00:00,5.42
03/02/22,00:00,5.42
03/03/22,00:00,5.32
03/04/22,00:00,5.42
03/05/22,00:00,5.42
03/06/22,00:00,5.32
03/07/22,00:00,5.32
03/08/22,00:00,5.42
03/09/22,00:00,5.32
03/10/22,00:00,5.42
03/11/22,00:00,5.42
03/12/22,00:00,5.42
03/13/22,00:00,5.32
03/14/22,00:00,5.32
03/15/22,00:00,5.32
03/16/22,00:00,5.42
03/17/22,00:00,5.32
03/18/22,00:00,5.32
03/19/22,00:00,5.42
03/20/22,00:00,5.22
03/21/22,00:00,5.32
03/22/22,00:00,5.32
03/23/22,00:00,5.42
03/24/22,00:00,5.32
03/25/22,00:00,5.32
03/26/22,00:00,5.42
03/27/22,00:00,5.32
03/28/22,00:00,5.42
03/29/22,00:00,5.32
03/30/22,00:00,5.32
03/31/22,00:00,5.42
04/01/22,00:00,5.42
04/02/22,00:00,5.32
04/03/22,00:00,5.32
04/04/22,00:00,5.32
04/05/22,00:00,5.32
04/06/22,00:00,5.32
04/07/22,00:00,5.22
04/08/22,00:00,5.32
04/09/22,00:00,5.32
04/10/22,00:00,5.32
04/11/22,00:00,5.32
04/12/22,00:00,5.32
04/13/22,00:00,5.42
04/14/22,00:00,5.32
04/15/22,00:00,5.32
04/16/22,00:00,5.42
04/17/22,00:00,5.42
04/18/22,00:00,5.42
04/19/22,00:00,5.22
04/20/22,00:00,5.42
04/21/22,00:00,5.32
04/22/22,00:00,5.22
04/23/22,00:00,5.22
04/24/22,00:00,5.22
04/25/22,00:00,5.32
04/26/22,00:00,5.22
04/27/22,00:00,5.32
04/28/22,00:00,5.32
04/29/22,00:00,5.32
04/30/22,00:00,5.42
05/01/22,00:00,5.42
05/02/22,00:00,5.32
05/03/22,00:00,5.42
05/04/22,00:00,5.32
05/05/22,00:00,5.32
05/06/22,00:00,5.42
05/07/22,00:00,5.32
05/08/22,00:00,5.42
05/09/22,00:00,5.32
05/10/22,00:00,5.32
05/11/22,00:00,5.32
05/12/22,00:00,5.22
05/13/22,00:00,5.32
05/14/22,00:00,5.42
05/15/22,00:00,5.42
05/16/22,00:00,5.42
05/18/22,00:00,5.32
05/21/22,00:00,5.32
05/24/22,00:00,5.32
05/30/22,00:00,5.42
06/02/22,00:00,5.32
06/04/22,00:00,5.32
06/06/22,00:00,6.32
06/07/22,00:00,6.32
06/08/22,00:00,6.32
06/09/22,00:00,5.32
06/10/22,00:00,5.07
06/11/22,00:00,5.07
06/12/22,00:00,5.32
06/13/22,00:00,5.32
06/14/22,00:00,5.32
06/15/22,00:00,5.32
06/16/22,00:00,5.32
06/17/22,00:00,5.42
06/18/22,00:00,5.32
06/19/22,00:00,5.22
06/20/22,00:00,5.42
06/21/22,00:00,5.32
06/22/22,00:00,5.32
06/23/22,00:00,5.32
06/24/22,00:00,5.12
06/25/22,00:00,5.02
06/26/22,00:00,5.42
06/27/22,00:00,5.32
06/28/22,00:00,5.32
06/29/22,00:00,5.32
06/30/22,00:00,5.32
07/01/22,00:00,5.32
07/02/22,00:00,5.42
07/03/22,00:00,5.32
07/04/22,00:00,5.32
07/05/22,00:00,5.32
07/06/22,00:00,5.32
07/07/22,00:00,5.42
07/08/22,00:00,5.42
07/09/22,00:00,5.32
07/10/22,00:00,5.32
