date,hour,value
01/02/22,00:00,625
01/03/22,00:00,617
01/04/22,00:00,654
01/05/22,00:00,650
01/06/22,00:00,663
01/07/22,00:00,696
01/08/22,00:00,684
01/09/22,00:00,695
01/10/22,00:00,712
01/11/22,00:00,722
01/12/22,00:00,684
01/13/22,00:00,657
01/14/22,00:00,673
01/15/22,00:00,674
01/16/22,00:00,661
01/17/22,00:00,674
01/18/22,00:00,706
01/19/22,00:00,680
01/21/22,00:00,651
01/22/22,00:00,718
01/23/22,00:00,571
01/25/22,00:00,673
01/26/22,00:00,591
01/27/22,00:00,615
01/28/22,00:00,597
01/29/22,00:00,662
01/30/22,00:00,558
01/31/22,00:00,629
02/01/22,00:00,650
02/02/22,00:00,638
02/04/22,00:00,613
02/05/22,00:00,634
02/06/22,00:00,634
02/07/22,00:00,648
02/08/22,00:00,607
02/09/22,00:00,617
02/10/22,00:00,633
02/11/22,00:00,607
02/13/22,00:00,517
02/14/22,00:00,614
02/15/22,00:00,607
02/17/22,00:00,601
02/18/22,00:00,622
02/19/22,00:00,631
02/20/22,00:00,607
02/21/22,00:00,657
02/22/22,00:00,632
02/23/22,00:00,584
02/24/22,00:00,496
02/25/22,00:00,517
02/26/22,00:00,624
02/27/22,00:00,617
02/28/22,00:00,518
03/02/22,00:00,627
03/03/22,00:00,569
03/04/22,00:00,563
03/05/22,00:00,606
03/06/22,00:00,603
03/07/22,00:00,618
03/08/22,00:00,626
03/10/22,00:00,643
03/11/22,00:00,610
03/12/22,00:00,561
03/13/22,00:00,545
03/14/22,00:00,569
03/15/22,00:00,557
03/16/22,00:00,525
03/17/22,00:00,546
03/18/22,00:00,659
03/19/22,00:00,646
03/20/22,00:00,612
03/22/22,00:00,467
03/23/22,00:00,580
03/24/22,00:00,618
03/25/22,00:00,633
03/28/22,00:00,591
03/29/22,00:00,568
03/30/22,00:00,641
03/31/22,00:00,598
04/01/22,00:00,500
04/03/22,00:00,594
04/04/22,00:00,627
04/05/22,00:00,614
04/06/22,00:00,623
04/07/22,00:00,638
04/08/22,00:00,627
04/09/22,00:00,589
04/10/22,00:00,610
04/11/22,00:00,587
04/12/22,00:00,556
04/13/22,00:00,568
04/14/22,00:00,597
04/15/22,00:00,606
04/16/22,00:00,566
04/17/22,00:00,528
04/18/22,00:00,648
04/19/22,00:00,689
04/20/22,00:00,664
04/21/22,00:00,486
04/22/22,00:00,582
04/23/22,00:00,661
04/24/22,00:00,636
04/25/22,00:00,555
04/26/22,00:00,566
04/27/22,00:00,563
04/28/22,00:00,530
04/29/22,00:00,508
04/30/22,00:00,573
05/02/22,00:00,548
05/03/22,00:00,478
05/05/22,00:00,554
05/06/22,00:00,565
05/07/22,00:00,594
05/08/22,00:00,550
05/09/22,00:00,599
05/11/22,00:00,629
05/12/22,00:00,632
05/13/22,00:00,633
05/14/22,00:00,603
05/15/22,00:00,678
05/26/22,00:00,496
05/27/22,00:00,526
05/28/22,00:00,482
05/29/22,00:00,572
06/02/22,00:00,503
06/03/22,00:00,517
06/08/22,00:00,452
06/10/22,00:00,506
06/11/22,00:00,509
06/12/22,00:00,498
06/13/22,00:00,523
06/14/22,00:00,541
06/15/22,00:00,533
06/16/22,00:00,541
06/17/22,00:00,516
06/18/22,00:00,538
06/19/22,00:00,562
06/20/22,00:00,541
06/21/22,00:00,552
06/22/22,00:00,526
06/23/22,00:00,512
06/24/22,00:00,553
06/25/22,00:00,533
06/26/22,00:00,543
06/27/22,00:00,574
06/28/22,00:00,581
06/29/22,00:00,566
07/01/22,00:00,582
07/02/22,00:00,568
07/03/22,00:00,559
07/04/22,00:00,575
07/05/22,00:00,588
07/06/22,00:00,562
07/07/22,00:00,533
07/08/22,00:00,574
07/09/22,00:00,548
07/10/22,00:00,523
07/11/22,00:00,540
07/12/22,00:00,537
07/13/22,00:00,558
07/28/22,00:00,496
07/29/22,00:00,483
07/30/22,00:00,502
07/31/22,00:00,494
08/01/22,00:00,518
08/02/22,00:00,532
08/03/22,00:00,497
08/05/22,00:00,506
08/07/22,00:00,521
08/08/22,00:00,486
08/10/22,00:00,491
08/15/22,00:00,521
08/16/22,00:00,530
08/17/22,00:00,511
08/18/22,00:00,495
08/20/22,00:00,509
08/21/22,00:00,541
08/22/22,00:00,539
08/24/22,00:00,524
08/25/22,00:00,538
08/26/22,00:00,522
08/28/22,00:00,496
09/01/22,00:00,524
09/04/22,00:00,516
09/05/22,00:00,542
09/06/22,00:00,526
09/07/22,00:00,539
09/08/22,00:00,570
09/09/22,00:00,541
