date,hour,value
01/01/22,00:00,18.84
01/02/22,00:00,18.84
01/03/22,00:00,18.84
01/04/22,00:00,18.84
01/05/22,00:00,17.39
01/06/22,00:00,17.39
01/07/22,00:00,18.84
01/08/22,00:00,18.84
01/09/22,00:00,20.29
01/10/22,00:00,20.29
01/11/22,00:00,18.84
01/12/22,00:00,18.84
01/13/22,00:00,18.84
01/14/22,00:00,18.84
01/15/22,00:00,18.84
01/16/22,00:00,18.84
01/17/22,00:00,18.84
01/18/22,00:00,18.84
01/19/22,00:00,18.84
01/20/22,00:00,18.84
01/21/22,00:00,18.84
01/22/22,00:00,18.84
01/23/22,00:00,20.29
01/24/22,00:00,20.29
01/25/22,00:00,20.29
01/26/22,00:00,20.29
01/27/22,00:00,20.29
01/28/22,00:00,20.29
01/29/22,00:00,20.29
01/30/22,00:00,20.29
01/31/22,00:00,21.74
02/01/22,00:00,21.74
02/02/22,00:00,21.74
02/03/22,00:00,21.74
02/04/22,00:00,21.74
02/05/22,00:00,20.29
02/06/22,00:00,20.29
02/07/22,00:00,20.29
02/08/22,00:00,20.29
02/09/22,00:00,20.29
02/10/22,00:00,20.29
02/11/22,00:00,20.29
02/12/22,00:00,18.84
02/13/22,00:00,18.84
02/14/22,00:00,18.84
02/15/22,00:00,18.84
02/16/22,00:00,18.84
02/17/22,00:00,20.29
02/18/22,00:00,20.29
02/19/22,00:00,20.29
02/20/22,00:00,20.29
02/21/22,00:00,20.29
02/22/22,00:00,20.29
02/23/22,00:00,20.29
02/24/22,00:00,20.29
02/25/22,00:00,20.29
02/26/22,00:00,20.29
02/27/22,00:00,18.84
02/28/22,00:00,18.84
03/01/22,00:00,18.84
03/02/22,00:00,20.29
03/03/22,00:00,20.29
03/04/22,00:00,20.29
03/05/22,00:00,18.84
03/06/22,00:00,18.84
03/07/22,00:00,18.84
03/08/22,00:00,18.84
03/09/22,00:00,18.84
03/10/22,00:00,20.29
03/11/22,00:00,20.29
03/12/22,00:00,20.29
03/13/22,00:00,20.29
03/14/22,00:00,21.74
03/15/22,00:00,21.74
03/16/22,00:00,21.74
03/17/22,00:00,21.74
03/18/22,00:00,20.29
03/19/22,00:00,20.29
03/20/22,00:00,20.29
03/21/22,00:00,20.29
03/22/22,00:00,20.29
03/23/22,00:00,20.29
03/24/22,00:00,18.84
03/25/22,00:00,18.84
03/26/22,00:00,18.84
03/27/22,00:00,18.84
03/28/22,00:00,20.29
03/29/22,00:00,20.29
03/30/22,00:00,20.29
03/31/22,00:00,20.29
04/01/22,00:00,20.29
04/02/22,00:00,20.29
04/03/22,00:00,20.29
04/04/22,00:00,20.29
04/05/22,00:00,20.29
04/06/22,00:00,20.29
04/07/22,00:00,20.29
04/08/22,00:00,20.29
04/09/22,00:00,20.29
04/10/22,00:00,18.84
04/11/22,00:00,18.84
04/12/22,00:00,18.84
04/13/22,00:00,18.84
04/14/22,00:00,18.84
04/15/22,00:00,18.84
04/16/22,00:00,18.84
04/17/22,00:00,18.84
04/18/22,00:00,18.84
04/19/22,00:00,20.29
04/20/22,00:00,20.29
04/21/22,00:00,20.29
04/22/22,00:00,20.29
04/23/22,00:00,18.84
04/24/22,00:00,18.84
04/25/22,00:00,18.84
04/26/22,00:00,18.84
04/27/22,00:00,18.84
04/28/22,00:00,18.84
04/29/22,00:00,18.84
04/30/22,00:00,18.84
05/01/22,00:00,18.84
05/02/22,00:00,18.84
05/03/22,00:00,18.84
05/04/22,00:00,18.84
05/05/22,00:00,18.84
05/06/22,00:00,18.84
05/07/22,00:00,20.29
05/08/22,00:00,20.29
05/09/22,00:00,20.29
05/10/22,00:00,20.29
05/11/22,00:00,20.29
05/12/22,00:00,20.29
05/13/22,00:00,18.84
05/14/22,00:00,18.84
05/15/22,00:00,18.84
