date,hour,value
01/01/22,00:00,6.77
01/02/22,00:00,6.77
01/03/22,00:00,6.81
01/04/22,00:00,6.78
01/05/22,00:00,6.76
01/06/22,00:00,6.78
01/07/22,00:00,6.76
01/08/22,00:00,6.79
01/09/22,00:00,6.77
01/10/22,00:00,6.75
01/11/22,00:00,6.76
01/12/22,00:00,6.76
01/13/22,00:00,6.79
01/14/22,00:00,6.78
01/15/22,00:00,6.76
01/16/22,00:00,6.77
01/17/22,00:00,6.71
01/18/22,00:00,6.73
01/19/22,00:00,6.75
01/20/22,00:00,6.78
01/21/22,00:00,6.77
01/22/22,00:00,6.75
01/23/22,00:00,6.76
01/24/22,00:00,6.75
01/25/22,00:00,6.78
01/26/22,00:00,6.80
01/27/22,00:00,6.81
01/28/22,00:00,6.77
01/29/22,00:00,6.79
01/30/22,00:00,6.78
01/31/22,00:00,6.74
02/01/22,00:00,6.72
02/02/22,00:00,6.70
02/03/22,00:00,6.67
02/04/22,00:00,6.68
02/05/22,00:00,6.67
02/06/22,00:00,6.69
02/07/22,00:00,6.65
02/08/22,00:00,6.64
02/09/22,00:00,6.64
02/10/22,00:00,6.69
02/11/22,00:00,6.68
02/12/22,00:00,6.68
02/13/22,00:00,6.70
02/14/22,00:00,6.72
02/15/22,00:00,6.73
02/16/22,00:00,6.80
02/17/22,00:00,6.77
02/18/22,00:00,6.77
02/19/22,00:00,6.77
02/20/22,00:00,6.78
02/21/22,00:00,6.76
02/22/22,00:00,6.75
02/23/22,00:00,6.76
02/24/22,00:00,6.77
02/25/22,00:00,6.76
02/26/22,00:00,6.74
02/27/22,00:00,6.75
02/28/22,00:00,6.75
03/01/22,00:00,6.76
03/02/22,00:00,6.74
03/03/22,00:00,6.77
03/04/22,00:00,6.78
03/05/22,00:00,6.76
03/06/22,00:00,6.78
03/07/22,00:00,6.72
03/08/22,00:00,6.70
03/09/22,00:00,6.70
03/10/22,00:00,6.76
03/11/22,00:00,6.75
03/12/22,00:00,6.74
03/13/22,00:00,6.75
03/14/22,00:00,6.75
03/15/22,00:00,6.75
03/16/22,00:00,6.75
03/17/22,00:00,6.71
03/18/22,00:00,6.73
03/19/22,00:00,6.73
03/20/22,00:00,6.74
03/21/22,00:00,6.72
03/22/22,00:00,6.71
03/23/22,00:00,6.71
03/24/22,00:00,6.70
03/25/22,00:00,6.72
03/26/22,00:00,6.71
03/27/22,00:00,6.70
03/28/22,00:00,6.71
03/29/22,00:00,6.71
03/30/22,00:00,6.72
03/31/22,00:00,6.70
04/01/22,00:00,6.72
04/02/22,00:00,6.71
04/03/22,00:00,6.72
04/04/22,00:00,6.70
04/05/22,00:00,6.70
04/06/22,00:00,6.72
04/07/22,00:00,6.73
04/08/22,00:00,6.71
04/09/22,00:00,6.71
04/10/22,00:00,6.70
04/11/22,00:00,6.72
04/12/22,00:00,6.71
04/13/22,00:00,6.70
04/14/22,00:00,6.68
04/15/22,00:00,6.67
04/16/22,00:00,6.68
04/17/22,00:00,6.68
04/18/22,00:00,6.71
04/19/22,00:00,6.72
04/20/22,00:00,6.71
04/21/22,00:00,6.70
04/22/22,00:00,6.72
04/23/22,00:00,6.71
04/24/22,00:00,6.70
04/25/22,00:00,6.72
04/26/22,00:00,6.70
04/27/22,00:00,6.71
04/28/22,00:00,6.68
04/29/22,00:00,6.69
04/30/22,00:00,6.70
05/01/22,00:00,6.69
05/02/22,00:00,6.71
05/03/22,00:00,6.68
05/04/22,00:00,6.68
05/05/22,00:00,6.72
05/06/22,00:00,6.70
05/07/22,00:00,6.69
05/08/22,00:00,6.71
05/09/22,00:00,6.75
05/10/22,00:00,6.72
05/11/22,00:00,6.73
05/12/22,00:00,6.74
05/13/22,00:00,6.70
05/14/22,00:00,6.69
05/15/22,00:00,6.72
05/16/22,00:00,6.72
05/18/22,00:00,6.70
05/21/22,00:00,6.72
05/24/22,00:00,6.71
05/30/22,00:00,6.72
06/02/22,00:00,6.69
06/04/22,00:00,6.71
06/06/22,00:00,6.69
06/07/22,00:00,6.72
06/08/22,00:00,6.71
06/09/22,00:00,6.69
06/10/22,00:00,6.68
06/11/22,00:00,6.70
06/12/22,00:00,6.67
06/13/22,00:00,6.68
06/14/22,00:00,6.71
06/15/22,00:00,6.75
06/16/22,00:00,6.70
06/17/22,00:00,6.71
06/18/22,00:00,6.72
06/19/22,00:00,6.70
06/20/22,00:00,6.68
06/21/22,00:00,6.72
06/22/22,00:00,6.70
06/23/22,00:00,6.63
06/24/22,00:00,6.67
06/25/22,00:00,6.60
06/26/22,00:00,6.60
06/27/22,00:00,6.70
06/28/22,00:00,6.68
06/29/22,00:00,6.71
06/30/22,00:00,6.70
07/01/22,00:00,6.69
07/02/22,00:00,6.72
07/03/22,00:00,6.71
07/04/22,00:00,6.69
07/05/22,00:00,6.72
07/06/22,00:00,6.69
07/07/22,00:00,6.70
07/08/22,00:00,6.63
07/09/22,00:00,6.69
07/10/22,00:00,6.71
07/11/22,00:00,6.72
07/12/22,00:00,6.69
07/13/22,00:00,6.71
07/14/22,00:00,6.65
07/15/22,00:00,6.69
07/16/22,00:00,6.72
07/17/22,00:00,6.68
07/18/22,00:00,6.69
07/19/22,00:00,6.72
07/20/22,00:00,6.71
07/21/22,00:00,6.72
07/22/22,00:00,6.75
07/23/22,00:00,6.71
07/24/22,00:00,6.69
07/25/22,00:00,6.65
07/26/22,00:00,6.67
07/27/22,00:00,6.65
07/28/22,00:00,6.67
07/29/22,00:00,6.67
07/30/22,00:00,6.69
07/31/22,00:00,6.71
08/01/22,00:00,6.71
08/02/22,00:00,6.67
08/03/22,00:00,6.65
08/04/22,00:00,6.72
08/05/22,00:00,6.69
08/06/22,00:00,6.65
08/07/22,00:00,6.68
08/08/22,00:00,6.72
08/09/22,00:00,6.65
08/10/22,00:00,6.67
08/11/22,00:00,6.62
08/12/22,00:00,6.58
08/13/22,00:00,6.65
08/14/22,00:00,6.58
08/15/22,00:00,6.57
08/16/22,00:00,6.62
08/17/22,00:00,6.56
08/18/22,00:00,6.58
08/19/22,00:00,6.62
08/20/22,00:00,6.57
