date,hour,value
05/16/22,00:00,15.1
05/18/22,00:00,15.1
05/21/22,00:00,15.0
05/24/22,00:00,14.9
05/30/22,00:00,21.0
06/02/22,00:00,21.1
06/04/22,00:00,21.1
06/06/22,00:00,20.1
06/07/22,00:00,20.0
06/08/22,00:00,20.0
06/09/22,00:00,17.3
06/10/22,00:00,17.5
06/11/22,00:00,17.3
06/12/22,00:00,17.5
06/13/22,00:00,17.7
06/14/22,00:00,17.7
06/15/22,00:00,17.5
06/16/22,00:00,17.5
06/17/22,00:00,17.6
06/18/22,00:00,17.5
06/19/22,00:00,17.3
06/20/22,00:00,17.3
06/21/22,00:00,17.3
06/22/22,00:00,17.3
06/23/22,00:00,19.8
06/24/22,00:00,19.7
06/25/22,00:00,19.8
06/26/22,00:00,19.8
06/27/22,00:00,19.1
06/28/22,00:00,19.0
06/29/22,00:00,19.0
06/30/22,00:00,19.1
07/01/22,00:00,19.1
07/02/22,00:00,19.1
07/03/22,00:00,19.0
07/04/22,00:00,20.9
07/05/22,00:00,20.9
07/06/22,00:00,20.8
07/07/22,00:00,23.3
07/08/22,00:00,23.5
07/09/22,00:00,23.3
07/10/22,00:00,23.3
07/11/22,00:00,22.6
07/12/22,00:00,22.5
07/13/22,00:00,22.5
07/14/22,00:00,24.2
07/15/22,00:00,24.1
07/16/22,00:00,24.2
07/17/22,00:00,24.2
07/18/22,00:00,24.2
07/19/22,00:00,24.1
07/20/22,00:00,24.1
07/21/22,00:00,21.0
07/22/22,00:00,21.0
07/23/22,00:00,21.1
07/24/22,00:00,21.1
07/25/22,00:00,21.7
07/26/22,00:00,21.7
07/27/22,00:00,21.6
07/28/22,00:00,23.5
07/29/22,00:00,23.5
07/30/22,00:00,23.4
07/31/22,00:00,23.5
08/01/22,00:00,24.7
08/02/22,00:00,24.7
08/03/22,00:00,24.6
08/04/22,00:00,24.2
08/05/22,00:00,24.2
08/06/22,00:00,24.3
08/07/22,00:00,24.2
08/08/22,00:00,24.3
08/09/22,00:00,24.3
08/10/22,00:00,24.3
08/11/22,00:00,23.8
08/12/22,00:00,23.8
08/13/22,00:00,23.8
08/14/22,00:00,23.9
08/15/22,00:00,25.1
08/16/22,00:00,25.4
08/17/22,00:00,25.2
08/18/22,00:00,22.1
08/19/22,00:00,22.0
08/20/22,00:00,22.0
08/21/22,00:00,22.2
08/22/22,00:00,22.1
08/23/22,00:00,22.1
08/24/22,00:00,22.3
08/25/22,00:00,22.3
08/26/22,00:00,22.1
08/27/22,00:00,22.0
08/28/22,00:00,22.1
08/29/22,00:00,25.5
08/30/22,00:00,25.7
08/31/22,00:00,26.1
09/01/22,00:00,22.6
09/02/22,00:00,23.7
09/03/22,00:00,23.7
09/04/22,00:00,23.6
09/05/22,00:00,19.3
09/06/22,00:00,19.2
09/07/22,00:00,19.2
09/08/22,00:00,19.2
09/09/22,00:00,19.4
09/10/22,00:00,19.6
09/11/22,00:00,19.7
09/12/22,00:00,20.4
09/13/22,00:00,20.5
09/14/22,00:00,20.4
09/15/22,00:00,20.6
09/16/22,00:00,20.5
09/17/22,00:00,20.5
09/18/22,00:00,20.7
09/19/22,00:00,15.3
09/20/22,00:00,15.5
09/21/22,00:00,15.3
09/22/22,00:00,17.4
09/23/22,00:00,17.3
09/24/22,00:00,17.4
09/25/22,00:00,17.2
09/26/22,00:00,17.4
09/27/22,00:00,18.9
09/28/22,00:00,19.0
09/29/22,00:00,18.8
09/30/22,00:00,18.8
10/01/22,00:00,19.0
10/02/22,00:00,19.1
