date,hour,value
01/01/23,00:00,14.61
01/02/23,00:00,14.61
01/03/23,00:00,13.13
01/04/23,00:00,14.11
01/05/23,00:00,17.1
01/06/23,00:00,17.1
01/07/23,00:00,16.58
01/08/23,00:00,16.08
01/09/23,00:00,14.61
01/10/23,00:00,14.61
01/11/23,00:00,14.61
01/12/23,00:00,16.08
01/13/23,00:00,16.58
01/14/23,00:00,16.58
01/15/23,00:00,16.08
01/16/23,00:00,15.59
01/17/23,00:00,14.61
01/18/23,00:00,15.59
01/19/23,00:00,16.08
01/20/23,00:00,14.61
01/21/23,00:00,15.59
01/22/23,00:00,14.61
01/23/23,00:00,14.61
01/24/23,00:00,14.61
01/25/23,00:00,14.61
01/26/23,00:00,14.61
01/27/23,00:00,14.61
01/28/23,00:00,15.59
01/29/23,00:00,14.61
01/30/23,00:00,16.08
01/31/23,00:00,15.59
02/01/23,00:00,14.61
02/02/23,00:00,15.59
02/03/23,00:00,14.61
02/04/23,00:00,14.61
02/05/23,00:00,15.10
02/06/23,00:00,16.58
02/07/23,00:00,17.10
02/08/23,00:00,17.10
02/09/23,00:00,15.59
02/10/23,00:00,14.61
02/11/23,00:00,14.61
02/12/23,00:00,15.10
02/13/23,00:00,14.61
02/14/23,00:00,15.59
02/15/23,00:00,14.61
02/16/23,00:00,14.61
02/17/23,00:00,14.11
02/18/23,00:00,13.62
02/19/23,00:00,13.62
02/20/23,00:00,14.61
02/21/23,00:00,16.08
02/22/23,00:00,15.59
02/23/23,00:00,14.61
02/24/23,00:00,13.62
02/25/23,00:00,14.61
02/26/23,00:00,14.61
02/27/23,00:00,14.61
02/28/23,00:00,14.11
03/01/23,00:00,13.62
03/02/23,00:00,15.10
03/03/23,00:00,14.61
03/04/23,00:00,14.61
03/05/23,00:00,14.61
03/06/23,00:00,13.62
03/07/23,00:00,16.08
03/08/23,00:00,14.61
03/09/23,00:00,15.62
03/10/23,00:00,15.14
03/11/23,00:00,14.19
03/12/23,00:00,14.19
03/13/23,00:00,13.71
03/14/23,00:00,14.67
03/15/23,00:00,14.67
03/16/23,00:00,15.14
03/17/23,00:00,16.58
03/18/23,00:00,16.10
03/20/23,00:00,15.14
03/21/23,00:00,16.10
03/22/23,00:00,16.10
03/23/23,00:00,15.14
03/24/23,00:00,16.58
03/25/23,00:00,16.58
03/26/23,00:00,16.58
03/27/23,00:00,15.14
03/28/23,00:00,15.62
03/29/23,00:00,15.62
03/30/23,00:00,16.10
03/31/23,00:00,16.58
04/01/23,00:00,16.58
04/02/23,00:00,16.58
04/03/23,00:00,16.58
04/04/23,00:00,16.58
04/05/23,00:00,16.10
04/06/23,00:00,16.58
04/07/23,00:00,16.58
04/08/23,00:00,15.62
04/09/23,00:00,16.10
04/10/23,00:00,16.10
04/11/23,00:00,16.10
04/12/23,00:00,15.62
04/13/23,00:00,17.06
04/14/23,00:00,16.10
04/15/23,00:00,16.10
04/16/23,00:00,16.58
04/17/23,00:00,14.66
04/18/23,00:00,15.62
04/19/23,00:00,15.62
04/20/23,00:00,15.14
04/21/23,00:00,14.66
04/22/23,00:00,16.10
04/23/23,00:00,14.66
04/24/23,00:00,16.10
04/25/23,00:00,15.62
04/26/23,00:00,15.14
04/27/23,00:00,14.66
04/28/23,00:00,15.14
04/29/23,00:00,16.10
04/30/23,00:00,16.10
05/01/23,00:00,16.10
05/02/23,00:00,16.10
05/03/23,00:00,16.10
05/04/23,00:00,16.58
05/05/23,00:00,16.58
05/06/23,00:00,17.06
05/07/23,00:00,17.06
05/08/23,00:00,17.53
05/09/23,00:00,16.58
05/10/23,00:00,16.58
05/11/23,00:00,16.58
05/12/23,00:00,16.58
05/13/23,00:00,16.58
05/14/23,00:00,17.06
05/15/23,00:00,16.58
05/16/23,00:00,16.58
05/17/23,00:00,16.58
05/18/23,00:00,17.06
05/19/23,00:00,17.06
05/20/23,00:00,17.06
05/21/23,00:00,17.06
05/22/23,00:00,17.06
05/23/23,00:00,17.53
05/24/23,00:00,17.06
05/25/23,00:00,17.06
05/26/23,00:00,17.06
05/27/23,00:00,17.06
05/28/23,00:00,17.06
05/29/23,00:00,16.58
05/30/23,00:00,17.06
05/31/23,00:00,16.58
06/01/23,00:00,16.58
06/02/23,00:00,16.58
06/03/23,00:00,17.06
06/04/23,00:00,16.58
06/05/23,00:00,16.58
06/06/23,00:00,16.58
06/07/23,00:00,17.06
06/08/23,00:00,16.58
06/09/23,00:00,17.06
06/10/23,00:00,17.06
06/11/23,00:00,16.58
06/12/23,00:00,16.58
06/13/23,00:00,16.58
06/14/23,00:00,17.06
06/15/23,00:00,16.58
06/16/23,00:00,16.10
06/17/23,00:00,16.58
06/18/23,00:00,16.58
06/19/23,00:00,16.58
06/20/23,00:00,16.58
06/21/23,00:00,16.58
06/22/23,00:00,15.14
06/23/23,00:00,16.58
06/24/23,00:00,17.06
06/25/23,00:00,16.10
06/26/23,00:00,16.58
06/27/23,00:00,16.58
06/28/23,00:00,16.58
06/29/23,00:00,17.06
06/30/23,00:00,17.06
07/01/23,00:00,16.58
07/02/23,00:00,16.58
07/03/23,00:00,16.58
07/04/23,00:00,16.58
07/05/23,00:00,17.06
07/06/23,00:00,16.58
07/07/23,00:00,17.06
07/08/23,00:00,16.58
07/09/23,00:00,17.06
07/10/23,00:00,17.50
07/11/23,00:00,18.01
