date,hour,value
01/01/23,00:00,6.5
01/02/23,00:00,6.1
01/03/23,00:00,6.4
01/04/23,00:00,6.6
01/05/23,00:00,7.1
01/06/23,00:00,6.6
01/07/23,00:00,6.6
01/08/23,00:00,6.6
01/09/23,00:00,7.1
01/10/23,00:00,6.6
01/11/23,00:00,6.6
01/12/23,00:00,6.1
01/13/23,00:00,6.6
01/14/23,00:00,6.1
01/15/23,00:00,6.0
01/16/23,00:00,7.1
01/17/23,00:00,7.1
01/18/23,00:00,7.6
01/19/23,00:00,7.2
01/20/23,00:00,7.0
01/21/23,00:00,6.8
01/22/23,00:00,7.0
01/23/23,00:00,7.4
01/24/23,00:00,7.1
01/25/23,00:00,7.1
01/26/23,00:00,7.1
01/27/23,00:00,6.6
01/28/23,00:00,7.1
01/29/23,00:00,7.6
01/30/23,00:00,6.6
01/31/23,00:00,6.6
02/01/23,00:00,6.1
02/02/23,00:00,7.1
02/03/23,00:00,7.1
02/04/23,00:00,8.1
02/05/23,00:00,8.1
02/06/23,00:00,5.6
02/07/23,00:00,5.6
02/08/23,00:00,5.6
02/09/23,00:00,6.1
02/10/23,00:00,6.6
02/11/23,00:00,6.6
02/12/23,00:00,6.6
02/13/23,00:00,7.1
02/14/23,00:00,7.6
02/15/23,00:00,7.6
02/16/23,00:00,7.0
02/17/23,00:00,7.0
02/18/23,00:00,7.1
02/19/23,00:00,7.1
02/20/23,00:00,6.1
02/21/23,00:00,6.1
02/22/23,00:00,6.1
02/23/23,00:00,5.6
02/24/23,00:00,5.6
02/25/23,00:00,5.6
02/26/23,00:00,5.6
02/27/23,00:00,6.4
02/28/23,00:00,6.5
03/01/23,00:00,6.4
03/02/23,00:00,6.0
03/03/23,00:00,5.6
03/04/23,00:00,5.6
03/05/23,00:00,5.6
03/06/23,00:00,5.6
03/07/23,00:00,6.0
03/08/23,00:00,6.1
03/09/23,00:00,8.1
03/10/23,00:00,8.1
03/11/23,00:00,8.6
03/12/23,00:00,9.1
03/13/23,00:00,8.1
03/14/23,00:00,7.6
03/15/23,00:00,7.1
03/16/23,00:00,7.1
03/17/23,00:00,7.4
03/18/23,00:00,7.7
03/19/23,00:00,7.8
03/20/23,00:00,6.8
03/21/23,00:00,6.3
03/22/23,00:00,7.0
03/23/23,00:00,6.8
03/24/23,00:00,7.3
03/25/23,00:00,7.3
03/26/23,00:00,7.4
03/27/23,00:00,7.4
03/28/23,00:00,7.4
03/29/23,00:00,7.8
03/30/23,00:00,7.3
03/31/23,00:00,6.8
04/01/23,00:00,6.5
04/02/23,00:00,6.3
04/03/23,00:00,6.3
04/04/23,00:00,5.8
04/05/23,00:00,5.8
04/06/23,00:00,6.8
04/07/23,00:00,7.4
04/08/23,00:00,6.8
04/09/23,00:00,7.3
04/10/23,00:00,7.8
04/11/23,00:00,8.2
04/12/23,00:00,7.8
04/13/23,00:00,7.8
04/14/23,00:00,8.5
04/15/23,00:00,8.1
04/16/23,00:00,7.8
04/17/23,00:00,7.9
04/18/23,00:00,8.5
04/19/23,00:00,8.8
04/20/23,00:00,8.3
04/21/23,00:00,8.5
04/22/23,00:00,8.3
04/23/23,00:00,8.5
04/24/23,00:00,8.8
04/25/23,00:00,8.8
04/26/23,00:00,9.3
04/27/23,00:00,7.8
04/28/23,00:00,8.1
04/29/23,00:00,8.3
04/30/23,00:00,8.3
05/01/23,00:00,7.8
05/02/23,00:00,7.8
05/03/23,00:00,7.4
05/04/23,00:00,7.3
05/05/23,00:00,7.1
05/06/23,00:00,6.8
05/07/23,00:00,5.8
05/08/23,00:00,6.5
05/09/23,00:00,7.3
05/10/23,00:00,6.3
05/11/23,00:00,6.8
05/12/23,00:00,7.3
05/13/23,00:00,7.5
05/14/23,00:00,6.8
05/15/23,00:00,5.6
05/16/23,00:00,5.6
05/17/23,00:00,6.1
05/18/23,00:00,6.8
05/19/23,00:00,6.1
05/20/23,00:00,6.8
05/21/23,00:00,6.1
05/22/23,00:00,5.6
05/23/23,00:00,6.8
05/24/23,00:00,7.3
05/25/23,00:00,6.1
05/26/23,00:00,5.6
05/27/23,00:00,6.1
05/28/23,00:00,5.6
05/29/23,00:00,7.8
05/30/23,00:00,7.9
05/31/23,00:00,8.3
06/01/23,00:00,7.3
06/02/23,00:00,7.8
06/03/23,00:00,7.4
06/04/23,00:00,7.0
06/05/23,00:00,5.6
06/06/23,00:00,6.1
06/07/23,00:00,6.1
06/08/23,00:00,5.6
06/09/23,00:00,6.1
06/10/23,00:00,5.6
06/11/23,00:00,6.1
06/12/23,00:00,5.6
06/13/23,00:00,5.6
06/14/23,00:00,5.6
06/15/23,00:00,5.8
06/16/23,00:00,5.5
06/17/23,00:00,5.8
06/18/23,00:00,5.3
06/19/23,00:00,5.8
06/20/23,00:00,5.4
06/21/23,00:00,5.4
06/22/23,00:00,5.8
06/23/23,00:00,5.8
06/24/23,00:00,5.4
06/25/23,00:00,6.3
06/26/23,00:00,6.1
06/27/23,00:00,5.8
06/28/23,00:00,5.9
06/29/23,00:00,5.8
06/30/23,00:00,5.4
07/01/23,00:00,5.8
07/02/23,00:00,5.4
07/03/23,00:00,6.1
07/04/23,00:00,5.8
07/05/23,00:00,5.8
07/06/23,00:00,5.8
07/07/23,00:00,5.4
07/08/23,00:00,5.8
07/09/23,00:00,5.4
07/10/23,00:00,5.6
07/11/23,00:00,5.4
07/12/23,00:00,5.8
07/13/23,00:00,5.3
07/14/23,00:00,5.4
07/15/23,00:00,5.6
07/16/23,00:00,5.3
07/17/23,00:00,5.8
07/18/23,00:00,4.7
07/19/23,00:00,5.8
07/20/23,00:00,5.4
07/21/23,00:00,5.3
07/22/23,00:00,5.8
07/23/23,00:00,5.8
07/24/23,00:00,5.3
07/25/23,00:00,5.2
07/26/23,00:00,5.0
