date,hour,value
01/01/21,00:00,14.0
01/02/21,00:00,14.43
01/03/21,00:00,14.05
01/04/21,00:00,14.05
01/05/21,00:00,14.43
01/06/21,00:00,14.24
01/07/21,00:00,14.24
01/08/21,00:00,14.24
01/09/21,00:00,14.43
01/10/21,00:00,14.43
01/11/21,00:00,14.43
01/12/21,00:00,14.51
01/13/21,00:00,14.71
01/14/21,00:00,14.62
01/15/21,00:00,14.62
01/16/21,00:00,14.62
01/17/21,00:00,14.62
01/18/21,00:00,14.43
01/19/21,00:00,14.24
01/20/21,00:00,14.24
01/21/21,00:00,14.71
01/22/21,00:00,14.51
01/23/21,00:00,14.71
01/24/21,00:00,14.81
01/25/21,00:00,14.81
01/26/21,00:00,14.81
01/27/21,00:00,15.00
01/28/21,00:00,14.81
01/29/21,00:00,14.51
01/30/21,00:00,14.05
01/31/21,00:00,14.43
02/01/21,00:00,14.05
02/02/21,00:00,14.43
02/03/21,00:00,14.43
02/04/21,00:00,14.24
02/05/21,00:00,14.43
02/06/21,00:00,14.81
02/07/21,00:00,15.00
02/08/21,00:00,15.00
02/09/21,00:00,15.00
02/10/21,00:00,15.00
02/11/21,00:00,15.00
02/12/21,00:00,14.62
02/13/21,00:00,14.05
02/14/21,00:00,15.00
02/15/21,00:00,15.00
02/16/21,00:00,14.62
02/17/21,00:00,14.81
02/20/21,00:00,14.24
02/21/21,00:00,14.62
02/22/21,00:00,14.62
02/23/21,00:00,14.81
02/24/21,00:00,14.43
02/25/21,00:00,14.43
02/26/21,00:00,14.62
02/27/21,00:00,14.43
02/28/21,00:00,14.62
03/01/21,00:00,14.05
03/02/21,00:00,14.05
03/03/21,00:00,14.05
03/04/21,00:00,14.05
03/05/21,00:00,14.24
03/06/21,00:00,14.43
03/07/21,00:00,14.43
03/08/21,00:00,14.05
03/09/21,00:00,14.24
03/10/21,00:00,14.43
03/11/21,00:00,14.43
03/12/21,00:00,14.24
03/13/21,00:00,14.05
03/14/21,00:00,14.24
03/15/21,00:00,14.05
03/16/21,00:00,14.43
03/17/21,00:00,14.62
03/18/21,00:00,14.62
03/19/21,00:00,14.43
03/20/21,00:00,14.62
03/21/21,00:00,14.62
03/22/21,00:00,14.24
03/23/21,00:00,14.05
03/24/21,00:00,14.24
03/25/21,00:00,14.24
03/26/21,00:00,14.24
03/27/21,00:00,14.62
03/28/21,00:00,14.05
03/29/21,00:00,14.62
03/30/21,00:00,14.43
03/31/21,00:00,14.24
04/01/21,00:00,14.05
04/02/21,00:00,14.24
04/03/21,00:00,14.24
04/04/21,00:00,14.43
04/05/21,00:00,14.43
04/06/21,00:00,14.24
04/07/21,00:00,14.62
04/08/21,00:00,14.24
04/09/21,00:00,14.05
04/10/21,00:00,14.05
04/11/21,00:00,14.05
04/12/21,00:00,14.05
04/13/21,00:00,14.05
04/14/21,00:00,14.43
04/15/21,00:00,14.24
04/16/21,00:00,14.05
04/17/21,00:00,14.43
04/18/21,00:00,14.62
04/19/21,00:00,14.43
04/20/21,00:00,14.62
04/21/21,00:00,14.43
04/22/21,00:00,14.24
04/23/21,00:00,14.24
04/24/21,00:00,14.62
04/25/21,00:00,15.00
04/26/21,00:00,15.00
04/27/21,00:00,15.00
04/28/21,00:00,14.62
04/29/21,00:00,14.62
04/30/21,00:00,14.24
05/01/21,00:00,15.00
05/02/21,00:00,14.62
05/03/21,00:00,14.62
05/04/21,00:00,14.24
05/05/21,00:00,14.43
05/06/21,00:00,14.24
05/07/21,00:00,14.62
05/08/21,00:00,14.05
05/09/21,00:00,14.62
05/10/21,00:00,14.43
05/11/21,00:00,14.62
05/12/21,00:00,15.00
05/13/21,00:00,14.43
05/14/21,00:00,14.24
05/15/21,00:00,14.05
05/16/21,00:00,14.24
05/17/21,00:00,14.05
05/18/21,00:00,14.05
05/19/21,00:00,14.24
05/20/21,00:00,14.05
05/21/21,00:00,14.24
05/22/21,00:00,14.05
05/23/21,00:00,14.24
05/24/21,00:00,14.05
05/25/21,00:00,14.43
05/26/21,00:00,14.62
05/27/21,00:00,14.43
05/28/21,00:00,14.24
05/29/21,00:00,14.05
05/30/21,00:00,14.05
05/31/21,00:00,14.05
06/01/21,00:00,15.83
06/02/21,00:00,15.83
06/03/21,00:00,15.83
06/04/21,00:00,15.63
06/05/21,00:00,15.43
06/06/21,00:00,15.43
06/07/21,00:00,15.23
06/08/21,00:00,15.23
06/09/21,00:00,15.23
06/10/21,00:00,15.43
06/11/21,00:00,15.43
06/12/21,00:00,15.03
06/13/21,00:00,15.03
06/14/21,00:00,15.03
06/15/21,00:00,15.43
06/16/21,00:00,15.23
06/17/21,00:00,15.23
06/18/21,00:00,15.03
06/19/21,00:00,14.83
06/20/21,00:00,15.03
06/21/21,00:00,15.23
06/22/21,00:00,15.23
06/23/21,00:00,15.23
06/24/21,00:00,15.43
06/25/21,00:00,15.43
06/26/21,00:00,15.43
06/27/21,00:00,15.43
06/28/21,00:00,15.43
06/29/21,00:00,15.03
06/30/21,00:00,15.03
07/01/21,00:00,14.83
07/02/21,00:00,14.83
07/03/21,00:00,15.43
07/04/21,00:00,15.63
07/05/21,00:00,15.63
07/06/21,00:00,15.23
07/07/21,00:00,15.23
07/08/21,00:00,15.43
07/09/21,00:00,15.43
07/10/21,00:00,15.43
07/11/21,00:00,15.43
07/12/21,00:00,15.43
07/13/21,00:00,15.63
07/14/21,00:00,15.63
07/15/21,00:00,15.63
07/16/21,00:00,15.43
07/17/21,00:00,15.63
07/18/21,00:00,15.63
07/19/21,00:00,15.43
07/20/21,00:00,14.83
07/21/21,00:00,14.63
07/22/21,00:00,14.63
07/23/21,00:00,14.63
07/25/21,00:00,14.83
07/26/21,00:00,14.83
07/27/21,00:00,15.03
07/28/21,00:00,16.52
07/29/21,00:00,14.63
07/30/21,00:00,14.83
07/31/21,00:00,14.63
08/01/21,00:00,14.63
08/02/21,00:00,14.63
08/03/21,00:00,14.63
08/04/21,00:00,14.63
08/05/21,00:00,15.03
08/06/21,00:00,15.03
08/07/21,00:00,14.63
08/08/21,00:00,14.63
08/09/21,00:00,14.63
08/10/21,00:00,14.63
08/11/21,00:00,15.43
08/12/21,00:00,14.63
08/13/21,00:00,15.43
08/14/21,00:00,15.43
08/15/21,00:00,14.83
08/16/21,00:00,14.83
08/17/21,00:00,14.63
08/18/21,00:00,14.83
08/19/21,00:00,15.63
08/20/21,00:00,15.83
08/21/21,00:00,15.43
08/22/21,00:00,15.83
08/23/21,00:00,15.83
08/24/21,00:00,15.63
08/25/21,00:00,15.43
08/26/21,00:00,15.23
08/27/21,00:00,15.03
08/28/21,00:00,14.83
08/29/21,00:00,14.83
08/30/21,00:00,15.83
08/31/21,00:00,14.83
09/01/21,00:00,14.83
09/02/21,00:00,14.83
09/03/21,00:00,14.83
09/04/21,00:00,15.43
09/05/21,00:00,15.43
09/06/21,00:00,15.43
09/07/21,00:00,15.63
09/08/21,00:00,15.53
09/09/21,00:00,14.63
09/10/21,00:00,14.63
09/11/21,00:00,14.63
09/12/21,00:00,14.63
09/13/21,00:00,15.83
09/14/21,00:00,15.83
09/15/21,00:00,14.83
09/16/21,00:00,15.23
09/17/21,00:00,15.03
09/18/21,00:00,15.03
09/19/21,00:00,15.03
09/20/21,00:00,15.23
09/21/21,00:00,15.03
09/22/21,00:00,15.03
09/23/21,00:00,15.23
09/24/21,00:00,15.03
09/25/21,00:00,15.23
09/26/21,00:00,14.63
09/27/21,00:00,15.03
09/28/21,00:00,15.03
09/29/21,00:00,15.23
09/30/21,00:00,15.83
10/01/21,00:00,15.83
10/02/21,00:00,15.43
10/03/21,00:00,15.43
10/04/21,00:00,15.23
10/05/21,00:00,15.43
10/06/21,00:00,15.03
10/07/21,00:00,15.23
10/08/21,00:00,15.23
10/09/21,00:00,15.03
10/10/21,00:00,15.03
10/11/21,00:00,15.03
10/12/21,00:00,15.03
10/13/21,00:00,15.03
10/14/21,00:00,14.63
10/15/21,00:00,14.83
10/16/21,00:00,15.03
10/17/21,00:00,14.83
10/18/21,00:00,15.20
10/19/21,00:00,15.20
10/20/21,00:00,15.41
10/21/21,00:00,15.84
10/22/21,00:00,15.63
10/23/21,00:00,15.63
10/24/21,00:00,15.63
10/25/21,00:00,15.63
10/26/21,00:00,15.63
10/27/21,00:00,15.63
10/28/21,00:00,15.20
10/29/21,00:00,15.41
10/30/21,00:00,15.41
10/31/21,00:00,15.41
11/01/21,00:00,15.20
11/02/21,00:00,14.99
11/03/21,00:00,14.99
11/04/21,00:00,14.99
11/05/21,00:00,14.78
11/06/21,00:00,14.78
11/07/21,00:00,14.78
11/08/21,00:00,14.99
11/09/21,00:00,14.78
11/10/21,00:00,14.99
11/11/21,00:00,14.99
11/12/21,00:00,14.99
11/13/21,00:00,14.99
11/14/21,00:00,14.99
11/15/21,00:00,15.79
11/16/21,00:00,15.59
11/17/21,00:00,15.98
11/18/21,00:00,15.20
11/19/21,00:00,15.20
11/20/21,00:00,15.39
11/21/21,00:00,15.39
11/22/21,00:00,15.20
11/23/21,00:00,15.20
11/24/21,00:00,15.20
11/25/21,00:00,15.59
11/26/21,00:00,15.39
11/27/21,00:00,15.00
11/28/21,00:00,15.00
11/29/21,00:00,15.59
11/30/21,00:00,15.59
12/01/21,00:00,15.20
12/02/21,00:00,15.59
12/03/21,00:00,15.59
12/04/21,00:00,15.59
12/05/21,00:00,15.59
12/06/21,00:00,15.59
12/07/21,00:00,15.39
12/08/21,00:00,15.39
12/09/21,00:00,15.39
12/10/21,00:00,15.39
12/11/21,00:00,15.59
12/12/21,00:00,15.59
12/13/21,00:00,15.20
12/14/21,00:00,15.20
12/15/21,00:00,15.39
12/16/21,00:00,15.59
12/17/21,00:00,15.39
12/18/21,00:00,15.59
12/19/21,00:00,15.59
12/20/21,00:00,15.59
12/21/21,00:00,15.59
12/22/21,00:00,15.59
12/23/21,00:00,15.39
12/24/21,00:00,15.59
12/25/21,00:00,15.59
12/26/21,00:00,15.59
12/27/21,00:00,15.39
12/28/21,00:00,15.39
12/29/21,00:00,15.59
