date,hour,value
01/01/21,00:00,0.26
01/02/21,00:00,0.27
01/03/21,00:00,0.27
01/04/21,00:00,0.26
01/05/21,00:00,0.26
01/06/21,00:00,0.27
01/07/21,00:00,0.27
01/08/21,00:00,0.26
01/09/21,00:00,0.26
01/10/21,00:00,0.24
01/11/21,00:00,0.24
01/12/21,00:00,0.24
01/13/21,00:00,0.27
01/14/21,00:00,0.27
01/15/21,00:00,0.26
01/16/21,00:00,0.26
01/17/21,00:00,0.27
01/18/21,00:00,0.27
01/19/21,00:00,0.27
01/20/21,00:00,0.27
01/21/21,00:00,0.27
01/22/21,00:00,0.26
01/23/21,00:00,0.26
01/24/21,00:00,0.27
01/25/21,00:00,0.27
01/26/21,00:00,0.27
01/27/21,00:00,0.26
01/28/21,00:00,0.26
01/29/21,00:00,0.26
01/30/21,00:00,0.26
01/31/21,00:00,0.26
02/01/21,00:00,0.26
02/02/21,00:00,0.26
02/03/21,00:00,0.27
02/04/21,00:00,0.27
02/05/21,00:00,0.27
02/06/21,00:00,0.27
02/07/21,00:00,0.27
02/08/21,00:00,0.27
02/09/21,00:00,0.26
02/10/21,00:00,0.26
02/11/21,00:00,0.27
02/12/21,00:00,0.24
02/13/21,00:00,0.24
02/14/21,00:00,0.24
02/15/21,00:00,0.24
02/16/21,00:00,0.29
02/17/21,00:00,0.29
02/20/21,00:00,0.27
02/21/21,00:00,0.27
02/22/21,00:00,0.27
02/23/21,00:00,0.26
02/24/21,00:00,0.27
02/25/21,00:00,0.26
02/26/21,00:00,0.26
02/27/21,00:00,0.27
02/28/21,00:00,0.26
03/01/21,00:00,0.26
03/02/21,00:00,0.27
03/03/21,00:00,0.27
03/04/21,00:00,0.29
03/05/21,00:00,0.29
03/06/21,00:00,0.27
03/07/21,00:00,0.27
03/08/21,00:00,0.25
03/09/21,00:00,0.25
03/10/21,00:00,0.25
03/11/21,00:00,0.25
03/12/21,00:00,0.26
03/13/21,00:00,0.26
03/14/21,00:00,0.26
03/15/21,00:00,0.26
03/16/21,00:00,0.24
03/17/21,00:00,0.24
03/18/21,00:00,0.24
03/19/21,00:00,0.24
03/20/21,00:00,0.24
03/21/21,00:00,0.24
03/22/21,00:00,0.24
03/23/21,00:00,0.24
03/24/21,00:00,0.24
03/25/21,00:00,0.24
03/26/21,00:00,0.24
03/27/21,00:00,0.24
03/28/21,00:00,0.24
03/29/21,00:00,0.26
03/30/21,00:00,0.26
03/31/21,00:00,0.24
04/01/21,00:00,0.24
04/02/21,00:00,0.24
04/03/21,00:00,0.24
04/04/21,00:00,0.24
04/05/21,00:00,0.24
04/06/21,00:00,0.26
04/07/21,00:00,0.26
04/08/21,00:00,0.26
04/09/21,00:00,0.24
04/10/21,00:00,0.24
04/11/21,00:00,0.26
04/12/21,00:00,0.26
04/13/21,00:00,0.24
04/14/21,00:00,0.24
04/15/21,00:00,0.26
04/16/21,00:00,0.26
04/17/21,00:00,0.27
04/18/21,00:00,0.26
04/19/21,00:00,0.29
04/20/21,00:00,0.26
04/21/21,00:00,0.26
04/22/21,00:00,0.27
04/23/21,00:00,0.27
04/24/21,00:00,0.29
04/25/21,00:00,0.29
04/26/21,00:00,0.29
04/27/21,00:00,0.26
04/28/21,00:00,0.26
04/29/21,00:00,0.29
04/30/21,00:00,0.29
05/01/21,00:00,0.26
05/02/21,00:00,0.26
05/03/21,00:00,0.26
05/04/21,00:00,0.26
05/05/21,00:00,0.26
05/06/21,00:00,0.27
05/07/21,00:00,0.26
05/08/21,00:00,0.26
05/09/21,00:00,0.27
05/10/21,00:00,0.27
05/11/21,00:00,0.26
05/12/21,00:00,0.27
05/13/21,00:00,0.27
05/14/21,00:00,0.27
05/15/21,00:00,0.27
05/16/21,00:00,0.27
05/17/21,00:00,0.27
05/18/21,00:00,0.25
05/19/21,00:00,0.25
05/20/21,00:00,0.25
05/21/21,00:00,0.25
05/22/21,00:00,0.26
05/23/21,00:00,0.26
05/24/21,00:00,0.25
05/25/21,00:00,0.25
05/26/21,00:00,0.26
05/27/21,00:00,0.26
05/28/21,00:00,0.26
05/29/21,00:00,0.26
05/30/21,00:00,0.26
05/31/21,00:00,0.26
06/01/21,00:00,0.26
06/02/21,00:00,0.26
06/03/21,00:00,0.27
06/04/21,00:00,0.27
06/05/21,00:00,0.27
06/06/21,00:00,0.27
06/07/21,00:00,0.27
06/08/21,00:00,0.27
06/09/21,00:00,0.27
06/10/21,00:00,0.27
06/11/21,00:00,0.27
06/12/21,00:00,0.27
06/13/21,00:00,0.26
06/14/21,00:00,0.26
06/15/21,00:00,0.26
06/16/21,00:00,0.29
06/17/21,00:00,0.27
06/18/21,00:00,0.27
06/19/21,00:00,0.27
06/20/21,00:00,0.27
06/21/21,00:00,0.27
06/22/21,00:00,0.27
06/23/21,00:00,0.27
06/24/21,00:00,0.27
06/25/21,00:00,0.27
06/26/21,00:00,0.27
06/27/21,00:00,0.27
06/28/21,00:00,0.27
06/29/21,00:00,0.27
06/30/21,00:00,0.27
07/01/21,00:00,0.27
