date,hour,value
01/01/21,00:00,22.28
01/02/21,00:00,23.11
01/03/21,00:00,22.93
01/04/21,00:00,23.43
01/05/21,00:00,24.21
01/06/21,00:00,24.02
01/07/21,00:00,23.82
01/08/21,00:00,24.52
01/09/21,00:00,24.31
01/10/21,00:00,24.71
01/11/21,00:00,24.71
01/12/21,00:00,24.89
01/13/21,00:00,25.09
01/14/21,00:00,25
01/15/21,00:00,24.8
01/16/21,00:00,24.9
01/17/21,00:00,24.3
01/18/21,00:00,24.61
01/19/21,00:00,24.72
01/20/21,00:00,26.02
01/21/21,00:00,26.09
01/22/21,00:00,25.29
01/23/21,00:00,26.09
01/24/21,00:00,24.79
01/25/21,00:00,24.69
01/26/21,00:00,25.39
01/27/21,00:00,26.68
01/28/21,00:00,26.29
01/29/21,00:00,26.29
01/30/21,00:00,25.53
01/31/21,00:00,25.71
02/01/21,00:00,25.23
02/02/21,00:00,25.71
02/03/21,00:00,25.31
02/04/21,00:00,24.92
02/05/21,00:00,25.11
02/06/21,00:00,25.39
02/07/21,00:00,25.78
02/08/21,00:00,26.18
02/09/21,00:00,25.58
02/10/21,00:00,25.78
02/11/21,00:00,25.98
02/12/21,00:00,25.8
02/13/21,00:00,25.73
02/14/21,00:00,26.28
02/15/21,00:00,26.18
02/16/21,00:00,25.3
02/17/21,00:00,25.09
02/20/21,00:00,26.02
02/21/21,00:00,26
02/22/21,00:00,26
02/23/21,00:00,26.29
02/24/21,00:00,25.81
02/25/21,00:00,25.51
02/26/21,00:00,25.8
02/27/21,00:00,25.51
02/28/21,00:00,26.4
03/01/21,00:00,25.93
03/02/21,00:00,25.63
03/03/21,00:00,26.53
03/04/21,00:00,25.53
03/05/21,00:00,25.92
03/06/21,00:00,25.61
03/07/21,00:00,25.41
03/08/21,00:00,25.53
03/09/21,00:00,25.12
03/10/21,00:00,25.41
03/11/21,00:00,25.51
03/12/21,00:00,25.62
03/13/21,00:00,24.63
03/14/21,00:00,25.32
03/15/21,00:00,25.13
03/16/21,00:00,25.21
03/17/21,00:00,24.9
03/18/21,00:00,25.2
03/19/21,00:00,24.31
03/20/21,00:00,24.9
03/21/21,00:00,25.5
03/22/21,00:00,24.92
03/23/21,00:00,24.53
03/24/21,00:00,24.92
03/25/21,00:00,24.82
03/26/21,00:00,24.72
03/27/21,00:00,25.1
03/28/21,00:00,24.73
03/29/21,00:00,25.4
03/30/21,00:00,25.21
03/31/21,00:00,25.02
04/01/21,00:00,24.43
04/02/21,00:00,24.92
04/03/21,00:00,24.92
04/04/21,00:00,24.51
04/05/21,00:00,24.91
04/06/21,00:00,25.42
04/07/21,00:00,25.6
04/08/21,00:00,25.02
04/09/21,00:00,24.43
04/10/21,00:00,24.83
04/11/21,00:00,25.23
04/12/21,00:00,24.83
04/13/21,00:00,24.83
04/14/21,00:00,24.61
04/15/21,00:00,24.72
04/16/21,00:00,23.93
04/17/21,00:00,24.21
04/18/21,00:00,24.2
04/19/21,00:00,24.51
04/20/21,00:00,24.4
04/21/21,00:00,23.71
04/22/21,00:00,24.32
04/23/21,00:00,24.02
04/24/21,00:00,24.3
04/25/21,00:00,25.48
04/26/21,00:00,25.18
04/27/21,00:00,24.88
04/28/21,00:00,24.3
04/29/21,00:00,24.3
04/30/21,00:00,23.92
05/01/21,00:00,24.68
05/02/21,00:00,24
05/03/21,00:00,23.9
05/04/21,00:00,25.32
05/05/21,00:00,25.71
05/06/21,00:00,24.12
05/07/21,00:00,25.1
05/08/21,00:00,24.43
05/09/21,00:00,25.1
05/10/21,00:00,24.91
05/11/21,00:00,25.1
05/12/21,00:00,25.18
05/13/21,00:00,24.91
05/14/21,00:00,24.82
05/15/21,00:00,24.93
05/16/21,00:00,25.12
05/17/21,00:00,25.13
05/18/21,00:00,24.73
05/19/21,00:00,25.12
05/20/21,00:00,24.73
05/21/21,00:00,25.42
05/22/21,00:00,25.13
05/23/21,00:00,25.42
05/24/21,00:00,24.73
05/25/21,00:00,25.81
05/26/21,00:00,25.6
05/27/21,00:00,26.01
05/28/21,00:00,25.52
05/29/21,00:00,25.03
05/30/21,00:00,25.33
05/31/21,00:00,25.13
06/01/21,00:00,27.41
06/02/21,00:00,27.71
06/03/21,00:00,27.41
06/04/21,00:00,27.11
06/05/21,00:00,27.31
06/06/21,00:00,27.41
06/07/21,00:00,27.11
06/08/21,00:00,26.91
06/09/21,00:00,26.31
06/10/21,00:00,27.01
06/11/21,00:00,27.31
06/12/21,00:00,25.51
06/13/21,00:00,26.21
06/14/21,00:00,26.21
06/15/21,00:00,27.01
06/16/21,00:00,26.51
06/17/21,00:00,26.31
06/18/21,00:00,26.11
06/19/21,00:00,26.21
06/20/21,00:00,26.71
06/21/21,00:00,26.51
06/22/21,00:00,25.81
06/23/21,00:00,26.01
06/24/21,00:00,25.81
06/25/21,00:00,26.21
06/26/21,00:00,26.01
06/27/21,00:00,25.91
06/28/21,00:00,25.61
06/29/21,00:00,25.51
06/30/21,00:00,26.11
07/01/21,00:00,26.21
07/02/21,00:00,26.71
07/03/21,00:00,25.91
07/04/21,00:00,25.81
07/05/21,00:00,26.11
07/06/21,00:00,26.21
07/07/21,00:00,25.91
07/08/21,00:00,26.11
07/09/21,00:00,25.81
07/10/21,00:00,26.31
07/11/21,00:00,26.31
07/12/21,00:00,25.71
07/13/21,00:00,25.71
07/14/21,00:00,26.81
07/15/21,00:00,26.81
07/16/21,00:00,26.11
07/17/21,00:00,26.41
07/18/21,00:00,26.91
07/19/21,00:00,26.91
07/20/21,00:00,25.91
07/21/21,00:00,25.91
07/22/21,00:00,26.41
07/23/21,00:00,26.21
07/25/21,00:00,26.21
07/26/21,00:00,26.11
07/27/21,00:00,26.21
07/28/21,00:00,27.4
07/29/21,00:00,25.51
07/30/21,00:00,25.51
07/31/21,00:00,25.51
08/01/21,00:00,24.71
08/02/21,00:00,25.41
08/03/21,00:00,25.01
08/04/21,00:00,25.61
08/05/21,00:00,26.51
08/06/21,00:00,26.61
08/07/21,00:00,25.11
08/08/21,00:00,25.41
08/09/21,00:00,25.41
08/10/21,00:00,25.51
08/11/21,00:00,26.41
08/12/21,00:00,25.61
08/13/21,00:00,26.81
