date,hour,value
01/01/21,00:00,20.29
01/02/21,00:00,20.29
01/03/21,00:00,20.29
01/04/21,00:00,18.84
01/05/21,00:00,18.84
01/06/21,00:00,21.74
01/07/21,00:00,21.74
01/08/21,00:00,21.74
01/09/21,00:00,21.74
01/10/21,00:00,20.29
01/11/21,00:00,20.29
01/12/21,00:00,20.29
01/13/21,00:00,18.84
01/14/21,00:00,18.84
01/15/21,00:00,21.74
01/16/21,00:00,21.74
01/17/21,00:00,20.29
01/18/21,00:00,20.29
01/19/21,00:00,20.29
01/20/21,00:00,20.29
01/21/21,00:00,20.29
01/22/21,00:00,17.39
01/23/21,00:00,17.39
01/24/21,00:00,20.29
01/25/21,00:00,20.29
01/26/21,00:00,21.74
01/27/21,00:00,20.29
01/28/21,00:00,20.29
01/29/21,00:00,21.74
01/30/21,00:00,21.74
01/31/21,00:00,20.29
02/01/21,00:00,20.29
02/02/21,00:00,20.29
02/03/21,00:00,20.29
02/04/21,00:00,18.84
02/05/21,00:00,18.84
02/06/21,00:00,20.29
02/07/21,00:00,21.74
02/08/21,00:00,23.19
02/09/21,00:00,20.29
02/10/21,00:00,21.74
02/11/21,00:00,21.74
02/12/21,00:00,24.64
02/13/21,00:00,24.64
02/14/21,00:00,24.64
02/15/21,00:00,24.64
02/16/21,00:00,20.29
02/17/21,00:00,21.74
02/20/21,00:00,20.29
02/21/21,00:00,20.29
02/22/21,00:00,20.29
02/23/21,00:00,20.29
02/24/21,00:00,20.29
02/25/21,00:00,20.29
02/26/21,00:00,21.74
02/27/21,00:00,21.74
02/28/21,00:00,20.29
03/01/21,00:00,21.74
03/02/21,00:00,20.29
03/03/21,00:00,20.29
03/04/21,00:00,21.74
03/05/21,00:00,21.74
03/06/21,00:00,20.29
03/07/21,00:00,20.29
03/08/21,00:00,21.74
03/09/21,00:00,21.74
03/10/21,00:00,21.74
03/11/21,00:00,21.74
03/12/21,00:00,21.74
03/13/21,00:00,21.74
03/14/21,00:00,21.74
03/15/21,00:00,21.74
03/16/21,00:00,21.74
03/17/21,00:00,21.74
03/18/21,00:00,23.19
03/19/21,00:00,23.19
03/20/21,00:00,23.19
03/21/21,00:00,23.19
03/22/21,00:00,23.19
03/23/21,00:00,23.19
03/24/21,00:00,23.19
03/25/21,00:00,23.19
03/26/21,00:00,23.19
03/27/21,00:00,23.19
03/28/21,00:00,23.19
03/29/21,00:00,20.29
03/30/21,00:00,20.29
03/31/21,00:00,20.29
04/01/21,00:00,20.29
04/02/21,00:00,20.29
04/03/21,00:00,21.74
04/04/21,00:00,21.74
04/05/21,00:00,21.74
04/06/21,00:00,21.74
04/07/21,00:00,21.74
04/08/21,00:00,21.74
04/09/21,00:00,21.74
04/10/21,00:00,21.74
04/11/21,00:00,20.29
04/12/21,00:00,20.29
04/13/21,00:00,20.29
04/14/21,00:00,20.29
04/15/21,00:00,18.84
04/16/21,00:00,18.84
04/17/21,00:00,20.29
04/18/21,00:00,20.29
04/19/21,00:00,20.29
04/20/21,00:00,21.74
04/21/21,00:00,21.74
04/22/21,00:00,21.74
04/23/21,00:00,21.74
04/24/21,00:00,20.29
04/25/21,00:00,20.29
04/26/21,00:00,18.84
04/27/21,00:00,20.29
04/28/21,00:00,20.29
04/29/21,00:00,18.84
04/30/21,00:00,18.84
05/01/21,00:00,18.84
05/02/21,00:00,18.84
05/03/21,00:00,20.29
05/04/21,00:00,20.29
05/05/21,00:00,21.74
05/06/21,00:00,21.74
05/07/21,00:00,21.74
05/08/21,00:00,20.29
05/09/21,00:00,20.29
05/10/21,00:00,20.29
05/11/21,00:00,20.29
05/12/21,00:00,21.74
05/13/21,00:00,21.74
05/14/21,00:00,20.29
05/15/21,00:00,20.29
05/16/21,00:00,21.74
05/17/21,00:00,21.74
05/18/21,00:00,23.19
05/19/21,00:00,23.19
05/20/21,00:00,21.74
05/21/21,00:00,21.74
05/22/21,00:00,21.74
05/23/21,00:00,21.74
05/24/21,00:00,21.74
05/25/21,00:00,21.74
05/26/21,00:00,21.74
05/27/21,00:00,21.74
05/28/21,00:00,21.74
05/29/21,00:00,20.29
05/30/21,00:00,21.74
05/31/21,00:00,21.74
06/01/21,00:00,21.74
06/02/21,00:00,21.74
06/03/21,00:00,21.74
06/04/21,00:00,21.74
06/05/21,00:00,21.74
06/06/21,00:00,21.74
06/07/21,00:00,21.74
06/08/21,00:00,21.74
06/09/21,00:00,21.74
06/10/21,00:00,21.74
06/11/21,00:00,21.74
06/12/21,00:00,21.74
06/13/21,00:00,21.74
06/14/21,00:00,21.74
06/15/21,00:00,21.74
06/16/21,00:00,21.74
06/17/21,00:00,21.74
06/18/21,00:00,21.74
06/19/21,00:00,21.74
06/20/21,00:00,20.29
06/21/21,00:00,20.29
06/22/21,00:00,21.74
06/23/21,00:00,21.74
06/24/21,00:00,21.74
06/25/21,00:00,21.74
06/26/21,00:00,21.74
06/27/21,00:00,21.74
06/28/21,00:00,20.29
06/29/21,00:00,20.29
06/30/21,00:00,20.29
07/01/21,00:00,20.29
07/02/21,00:00,20.29
07/03/21,00:00,20.29
07/04/21,00:00,20.29
07/05/21,00:00,20.29
07/06/21,00:00,20.29
07/07/21,00:00,23.19
07/08/21,00:00,23.19
07/09/21,00:00,23.19
07/10/21,00:00,21.74
07/11/21,00:00,21.74
07/12/21,00:00,21.74
07/13/21,00:00,21.74
07/14/21,00:00,21.74
07/15/21,00:00,21.74
07/16/21,00:00,23.19
07/17/21,00:00,23.19
07/18/21,00:00,23.19
07/19/21,00:00,23.19
07/20/21,00:00,21.74
07/21/21,00:00,21.74
07/22/21,00:00,21.74
07/23/21,00:00,21.74
07/25/21,00:00,21.74
07/26/21,00:00,20.29
07/27/21,00:00,20.29
07/28/21,00:00,21.74
07/29/21,00:00,21.74
07/30/21,00:00,20.29
07/31/21,00:00,20.29
08/01/21,00:00,21.74
08/02/21,00:00,21.74
08/03/21,00:00,21.74
08/04/21,00:00,21.74
08/05/21,00:00,20.29
08/06/21,00:00,20.29
08/07/21,00:00,20.29
08/08/21,00:00,23.19
08/09/21,00:00,23.19
08/10/21,00:00,21.74
08/11/21,00:00,21.74
08/12/21,00:00,23.19
08/13/21,00:00,23.19
08/14/21,00:00,23.19
08/15/21,00:00,21.74
08/16/21,00:00,21.74
08/17/21,00:00,21.74
08/18/21,00:00,21.74
08/19/21,00:00,18.84
08/20/21,00:00,18.84
08/21/21,00:00,20.29
08/22/21,00:00,20.29
08/23/21,00:00,20.29
08/24/21,00:00,20.29
08/25/21,00:00,20.29
08/26/21,00:00,20.29
08/27/21,00:00,21.74
08/28/21,00:00,21.74
08/29/21,00:00,21.74
08/30/21,00:00,20.29
08/31/21,00:00,20.29
09/01/21,00:00,20.29
09/02/21,00:00,20.29
09/03/21,00:00,20.29
09/04/21,00:00,20.29
09/05/21,00:00,20.29
09/06/21,00:00,18.84
09/07/21,00:00,18.84
09/08/21,00:00,18.84
09/09/21,00:00,18.84
09/10/21,00:00,18.84
09/11/21,00:00,20.29
09/12/21,00:00,20.29
09/13/21,00:00,20.29
09/14/21,00:00,20.29
09/15/21,00:00,20.29
09/16/21,00:00,20.29
09/17/21,00:00,20.29
09/18/21,00:00,20.29
09/19/21,00:00,18.84
09/20/21,00:00,18.84
09/21/21,00:00,18.84
09/22/21,00:00,18.84
09/23/21,00:00,20.29
09/24/21,00:00,20.29
09/25/21,00:00,20.29
09/26/21,00:00,20.29
09/27/21,00:00,18.84
09/28/21,00:00,18.84
09/29/21,00:00,18.84
09/30/21,00:00,20.29
10/01/21,00:00,20.29
10/02/21,00:00,20.29
10/03/21,00:00,20.29
10/04/21,00:00,20.29
10/05/21,00:00,20.29
10/06/21,00:00,20.29
10/07/21,00:00,20.29
10/08/21,00:00,20.29
10/09/21,00:00,18.84
10/10/21,00:00,18.84
10/11/21,00:00,18.84
10/12/21,00:00,20.29
10/13/21,00:00,20.29
10/14/21,00:00,20.29
10/15/21,00:00,20.29
10/16/21,00:00,20.29
10/17/21,00:00,20.29
10/18/21,00:00,20.29
10/19/21,00:00,20.29
10/20/21,00:00,20.29
10/21/21,00:00,23.19
10/22/21,00:00,23.19
10/23/21,00:00,23.19
