date,hour,value
01/01/22,00:00,221
01/02/22,00:00,221
01/03/22,00:00,221
01/04/22,00:00,219
01/05/22,00:00,220
01/06/22,00:00,222
01/07/22,00:00,222
01/08/22,00:00,222
01/09/22,00:00,223
01/10/22,00:00,219
01/11/22,00:00,220
01/12/22,00:00,219
01/13/22,00:00,222
01/14/22,00:00,221
01/15/22,00:00,220
01/16/22,00:00,219
01/17/22,00:00,220
01/18/22,00:00,218
01/19/22,00:00,218
01/20/22,00:00,219
01/21/22,00:00,221
01/22/22,00:00,220
01/23/22,00:00,221
01/24/22,00:00,221
01/25/22,00:00,222
01/26/22,00:00,220
01/27/22,00:00,222
01/28/22,00:00,220
01/29/22,00:00,221
01/30/22,00:00,219
01/31/22,00:00,219
02/01/22,00:00,221
02/02/22,00:00,220
02/03/22,00:00,221
02/04/22,00:00,219
02/05/22,00:00,220
02/06/22,00:00,219
02/07/22,00:00,220
02/08/22,00:00,219
02/09/22,00:00,218
02/10/22,00:00,218
02/11/22,00:00,219
02/12/22,00:00,219
02/13/22,00:00,220
02/14/22,00:00,220
02/15/22,00:00,220
02/16/22,00:00,220
02/17/22,00:00,221
02/18/22,00:00,220
02/19/22,00:00,219
02/20/22,00:00,219
02/21/22,00:00,220
02/22/22,00:00,221
02/23/22,00:00,219
02/24/22,00:00,218
02/25/22,00:00,217
02/26/22,00:00,219
02/27/22,00:00,220
02/28/22,00:00,219
03/01/22,00:00,219
03/02/22,00:00,218
03/03/22,00:00,219
03/04/22,00:00,219
03/05/22,00:00,218
03/06/22,00:00,220
03/07/22,00:00,219
03/08/22,00:00,218
03/09/22,00:00,218
03/10/22,00:00,218
03/11/22,00:00,219
03/12/22,00:00,220
03/13/22,00:00,219
03/14/22,00:00,220
03/15/22,00:00,219
03/16/22,00:00,220
03/17/22,00:00,218
03/18/22,00:00,217
03/19/22,00:00,217
03/20/22,00:00,222
03/21/22,00:00,220
03/22/22,00:00,219
03/23/22,00:00,221
03/24/22,00:00,222
03/25/22,00:00,220
03/26/22,00:00,222
03/27/22,00:00,220
03/28/22,00:00,219
03/29/22,00:00,220
03/30/22,00:00,220
03/31/22,00:00,219
04/01/22,00:00,219
04/02/22,00:00,221
04/03/22,00:00,219
04/04/22,00:00,220
04/05/22,00:00,219
04/06/22,00:00,220
04/07/22,00:00,219
04/08/22,00:00,220
04/09/22,00:00,221
04/10/22,00:00,222
04/11/22,00:00,221
04/12/22,00:00,222
04/13/22,00:00,221
04/14/22,00:00,219
04/15/22,00:00,220
04/16/22,00:00,220
04/17/22,00:00,220
04/18/22,00:00,219
04/19/22,00:00,220
04/20/22,00:00,220
04/21/22,00:00,219
04/22/22,00:00,219
04/23/22,00:00,221
04/24/22,00:00,221
04/25/22,00:00,222
04/26/22,00:00,220
04/27/22,00:00,222
04/28/22,00:00,220
04/29/22,00:00,220
04/30/22,00:00,221
05/01/22,00:00,222
05/02/22,00:00,222
05/03/22,00:00,221
05/04/22,00:00,221
05/05/22,00:00,222
05/06/22,00:00,221
05/07/22,00:00,220
05/08/22,00:00,220
05/09/22,00:00,221
05/10/22,00:00,222
05/11/22,00:00,221
05/12/22,00:00,221
05/13/22,00:00,222
05/14/22,00:00,221
05/25/22,00:00,221
05/26/22,00:00,221
05/27/22,00:00,223
05/28/22,00:00,222
05/29/22,00:00,221
05/30/22,00:00,221
05/31/22,00:00,220
06/01/22,00:00,222
06/02/22,00:00,221
06/03/22,00:00,222
06/04/22,00:00,220
06/05/22,00:00,222
06/06/22,00:00,221
06/07/22,00:00,221
06/08/22,00:00,220
06/09/22,00:00,222
06/10/22,00:00,222
06/11/22,00:00,220
06/12/22,00:00,221
06/13/22,00:00,220
06/14/22,00:00,221
06/15/22,00:00,223
06/16/22,00:00,222
06/17/22,00:00,222
06/18/22,00:00,221
06/19/22,00:00,221
06/20/22,00:00,220
06/21/22,00:00,222
06/22/22,00:00,223
06/23/22,00:00,221
06/24/22,00:00,220
06/25/22,00:00,222
06/26/22,00:00,221
06/27/22,00:00,222
06/28/22,00:00,221
06/29/22,00:00,220
06/30/22,00:00,222
07/01/22,00:00,221
07/02/22,00:00,221
07/27/22,00:00,221
07/28/22,00:00,222
07/29/22,00:00,221
07/30/22,00:00,220
07/31/22,00:00,221
08/01/22,00:00,221
08/02/22,00:00,219
08/03/22,00:00,218
08/04/22,00:00,220
08/05/22,00:00,221
08/06/22,00:00,220
08/07/22,00:00,218
08/08/22,00:00,220
08/09/22,00:00,219
08/14/22,00:00,220
08/15/22,00:00,222
08/16/22,00:00,222
08/17/22,00:00,221
08/18/22,00:00,219
08/19/22,00:00,220
08/20/22,00:00,218
08/21/22,00:00,219
08/22/22,00:00,221
08/23/22,00:00,221
08/24/22,00:00,222
08/25/22,00:00,220
08/26/22,00:00,223
08/27/22,00:00,221
08/28/22,00:00,220
08/29/22,00:00,222
08/30/22,00:00,222
09/03/22,00:00,222
09/04/22,00:00,221
09/05/22,00:00,222
09/06/22,00:00,223
09/07/22,00:00,221
09/08/22,00:00,220
09/09/22,00:00,221
09/10/22,00:00,221
09/11/22,00:00,220
09/12/22,00:00,222
09/13/22,00:00,221
09/14/22,00:00,221
09/15/22,00:00,220
09/16/22,00:00,221
09/17/22,00:00,220
09/21/22,00:00,222
09/22/22,00:00,222
09/23/22,00:00,220
09/24/22,00:00,220
09/25/22,00:00,221
09/26/22,00:00,219
09/27/22,00:00,219
09/28/22,00:00,221
09/29/22,00:00,219
09/30/22,00:00,221
10/01/22,00:00,222
10/02/22,00:00,221
10/03/22,00:00,223
10/04/22,00:00,221
10/05/22,00:00,223
10/06/22,00:00,224
10/07/22,00:00,222
10/08/22,00:00,223
10/09/22,00:00,223
10/10/22,00:00,222
10/11/22,00:00,222
10/12/22,00:00,222
10/13/22,00:00,221
10/14/22,00:00,223
10/15/22,00:00,221
10/16/22,00:00,222
10/17/22,00:00,223
10/18/22,00:00,223
10/19/22,00:00,224
10/20/22,00:00,225
10/21/22,00:00,223
10/22/22,00:00,222
10/23/22,00:00,223
10/24/22,00:00,224
10/25/22,00:00,222
10/26/22,00:00,222
10/27/22,00:00,223
10/28/22,00:00,224
10/29/22,00:00,223
10/30/22,00:00,222
10/31/22,00:00,224
11/01/22,00:00,223
11/02/22,00:00,224
11/03/22,00:00,222
11/04/22,00:00,221
11/05/22,00:00,223
11/06/22,00:00,221
11/07/22,00:00,222
11/08/22,00:00,223
11/09/22,00:00,223
11/10/22,00:00,223
11/11/22,00:00,221
11/12/22,00:00,221
11/13/22,00:00,223
11/14/22,00:00,224
11/15/22,00:00,223
11/16/22,00:00,222
11/17/22,00:00,221
11/18/22,00:00,222
11/19/22,00:00,223
11/20/22,00:00,223
11/21/22,00:00,224
11/22/22,00:00,222
11/23/22,00:00,221
11/24/22,00:00,222
11/25/22,00:00,224
11/26/22,00:00,224
11/27/22,00:00,221
11/28/22,00:00,222
11/29/22,00:00,224
11/30/22,00:00,223
12/01/22,00:00,220
12/02/22,00:00,222
12/03/22,00:00,221
12/04/22,00:00,222
12/05/22,00:00,223
12/06/22,00:00,220
12/08/22,00:00,221
12/09/22,00:00,223
12/10/22,00:00,222
12/11/22,00:00,222
12/12/22,00:00,223
12/13/22,00:00,223
12/14/22,00:00,222
