date,hour,value
01/01/22,00:00,22.8
01/02/22,00:00,22.6
01/03/22,00:00,23.0
01/04/22,00:00,22.6
01/05/22,00:00,22.8
01/06/22,00:00,23.0
01/07/22,00:00,23.0
01/08/22,00:00,22.6
01/09/22,00:00,22.4
01/10/22,00:00,23.0
01/11/22,00:00,23.4
01/12/22,00:00,23.0
01/13/22,00:00,23.2
01/14/22,00:00,23.2
01/15/22,00:00,23.4
01/16/22,00:00,23.2
01/17/22,00:00,23.0
01/18/22,00:00,23.0
01/19/22,00:00,23.4
01/20/22,00:00,23.6
01/21/22,00:00,23.0
01/22/22,00:00,23.4
01/23/22,00:00,23.4
01/24/22,00:00,23.2
01/25/22,00:00,23.4
01/26/22,00:00,23.2
01/27/22,00:00,23.6
01/28/22,00:00,23.6
01/29/22,00:00,23.4
01/30/22,00:00,23.6
01/31/22,00:00,23.4
02/01/22,00:00,23.4
02/02/22,00:00,23.2
02/03/22,00:00,23.0
02/04/22,00:00,23.4
02/05/22,00:00,23.0
02/06/22,00:00,23.6
02/07/22,00:00,23.6
02/08/22,00:00,23.4
02/09/22,00:00,23.4
02/10/22,00:00,23.2
02/11/22,00:00,23.0
02/12/22,00:00,23.0
02/13/22,00:00,23.0
02/14/22,00:00,23.2
02/15/22,00:00,23.4
02/16/22,00:00,23.0
02/17/22,00:00,23.2
02/18/22,00:00,23.4
02/19/22,00:00,23.4
02/20/22,00:00,23.2
02/21/22,00:00,23.4
02/22/22,00:00,23.2
02/23/22,00:00,23.6
02/24/22,00:00,23.2
02/25/22,00:00,23.2
02/26/22,00:00,23.2
02/27/22,00:00,23.4
02/28/22,00:00,23.6
03/01/22,00:00,23.6
03/02/22,00:00,23.4
03/03/22,00:00,23.4
03/04/22,00:00,23.0
03/05/22,00:00,23.2
03/06/22,00:00,23.4
03/07/22,00:00,23.2
03/08/22,00:00,23.2
03/09/22,00:00,23.2
03/10/22,00:00,23.2
03/11/22,00:00,23.4
03/12/22,00:00,23.6
03/13/22,00:00,23.4
03/14/22,00:00,23.6
03/15/22,00:00,23.6
03/16/22,00:00,23.6
03/17/22,00:00,23.4
03/18/22,00:00,23.2
03/19/22,00:00,23.4
03/20/22,00:00,23.3
03/21/22,00:00,23.3
03/22/22,00:00,23.4
03/23/22,00:00,23.4
03/24/22,00:00,23.4
03/25/22,00:00,23.2
03/26/22,00:00,23.0
03/27/22,00:00,23.6
03/28/22,00:00,23.4
03/29/22,00:00,23.2
03/30/22,00:00,23.4
03/31/22,00:00,23.6
04/01/22,00:00,23.4
04/02/22,00:00,23.4
04/03/22,00:00,23.6
04/04/22,00:00,23.4
04/05/22,00:00,23.4
04/06/22,00:00,23.0
04/07/22,00:00,23.2
04/08/22,00:00,23.2
04/09/22,00:00,23.2
04/10/22,00:00,23.2
04/11/22,00:00,23.0
04/12/22,00:00,23.0
04/13/22,00:00,23.4
04/14/22,00:00,23.4
04/15/22,00:00,23.4
04/16/22,00:00,23.6
04/17/22,00:00,23.4
04/18/22,00:00,23.4
04/19/22,00:00,23.4
04/20/22,00:00,23.4
04/21/22,00:00,23.4
04/22/22,00:00,23.2
04/23/22,00:00,23.0
04/24/22,00:00,23.2
04/25/22,00:00,23.0
04/26/22,00:00,23.2
04/27/22,00:00,23.4
04/28/22,00:00,23.4
04/29/22,00:00,23.6
04/30/22,00:00,23.6
05/01/22,00:00,23.2
05/02/22,00:00,23.4
05/03/22,00:00,23.8
05/04/22,00:00,23.0
05/05/22,00:00,23.0
05/06/22,00:00,23.0
05/07/22,00:00,23.2
05/08/22,00:00,23.2
05/09/22,00:00,23.2
05/10/22,00:00,23.0
05/11/22,00:00,23.0
05/12/22,00:00,23.0
05/13/22,00:00,23.2
05/14/22,00:00,23.2
05/15/22,00:00,23.4
05/29/22,00:00,23.0
06/01/22,00:00,23.6
06/04/22,00:00,23.4
06/05/22,00:00,24.8
06/06/22,00:00,24.3
06/07/22,00:00,24.5
06/08/22,00:00,23.2
06/09/22,00:00,23.2
06/10/22,00:00,23.0
06/11/22,00:00,23.0
06/12/22,00:00,23.0
06/13/22,00:00,23.4
06/14/22,00:00,23.2
06/15/22,00:00,23.6
06/16/22,00:00,23.4
06/17/22,00:00,23.4
06/18/22,00:00,23.0
06/19/22,00:00,23.4
06/20/22,00:00,23.0
06/21/22,00:00,23.2
06/22/22,00:00,23.4
06/23/22,00:00,23.4
06/24/22,00:00,23.6
06/25/22,00:00,23.6
06/26/22,00:00,23.2
06/27/22,00:00,23.2
06/28/22,00:00,23.4
06/29/22,00:00,23.4
06/30/22,00:00,23.2
07/01/22,00:00,23.0
07/02/22,00:00,23.6
07/03/22,00:00,23.2
07/04/22,00:00,23.2
07/05/22,00:00,23.2
07/06/22,00:00,23.6
