date,hour,value
01/01/22,00:00,8640
01/02/22,00:00,8925
01/03/22,00:00,8726
01/05/22,00:00,8171
01/06/22,00:00,11092
01/07/22,00:00,10882
01/08/22,00:00,11030
01/09/22,00:00,10575
01/10/22,00:00,9737
01/11/22,00:00,11082
01/12/22,00:00,10618
01/13/22,00:00,8429
01/14/22,00:00,9138
01/15/22,00:00,10900
01/16/22,00:00,8267
01/17/22,00:00,10543
01/18/22,00:00,10806
01/19/22,00:00,8954
01/20/22,00:00,8671
01/21/22,00:00,8872
01/23/22,00:00,10232
01/24/22,00:00,11299
01/25/22,00:00,11551
01/26/22,00:00,8482
01/27/22,00:00,11024
01/28/22,00:00,10970
01/29/22,00:00,11117
01/30/22,00:00,10417
01/31/22,00:00,10956
02/01/22,00:00,10484
02/02/22,00:00,10845
02/03/22,00:00,10929
02/04/22,00:00,9153
02/05/22,00:00,10389
02/06/22,00:00,9205
02/07/22,00:00,10897
02/08/22,00:00,10567
02/09/22,00:00,11117
02/10/22,00:00,10125
02/12/22,00:00,11111
02/13/22,00:00,10099
02/14/22,00:00,10932
02/15/22,00:00,10902
02/16/22,00:00,10842
02/17/22,00:00,11026
02/18/22,00:00,10885
02/19/22,00:00,10848
02/20/22,00:00,11140
02/21/22,00:00,11041
02/22/22,00:00,11336
02/23/22,00:00,11114
02/24/22,00:00,11378
02/25/22,00:00,11401
02/26/22,00:00,11027
02/27/22,00:00,9151
02/28/22,00:00,10381
03/01/22,00:00,9586
03/02/22,00:00,10562
03/03/22,00:00,11008
03/04/22,00:00,10981
03/05/22,00:00,9285
03/06/22,00:00,10608
03/07/22,00:00,10773
03/08/22,00:00,10442
03/09/22,00:00,11089
03/11/22,00:00,10832
03/12/22,00:00,10230
03/13/22,00:00,11208
03/14/22,00:00,10842
03/15/22,00:00,10661
03/16/22,00:00,11400
03/18/22,00:00,10486
03/19/22,00:00,9581
03/20/22,00:00,10733
03/21/22,00:00,10923
03/22/22,00:00,10483
03/23/22,00:00,11259
03/24/22,00:00,11448
03/25/22,00:00,11315
03/27/22,00:00,11627
03/28/22,00:00,11382
03/29/22,00:00,10907
03/30/22,00:00,10313
03/31/22,00:00,10385
04/02/22,00:00,9628
04/03/22,00:00,11419
04/04/22,00:00,10722
04/05/22,00:00,11347
04/06/22,00:00,10998
04/07/22,00:00,9956
04/08/22,00:00,10072
04/09/22,00:00,10936
04/11/22,00:00,11641
04/13/22,00:00,11635
04/14/22,00:00,11147
04/15/22,00:00,10065
04/16/22,00:00,10622
04/17/22,00:00,10962
04/18/22,00:00,9649
04/19/22,00:00,11404
04/20/22,00:00,11004
04/21/22,00:00,10788
04/23/22,00:00,11054
04/24/22,00:00,11212
04/25/22,00:00,11317
04/26/22,00:00,10757
04/27/22,00:00,11623
04/28/22,00:00,11498
04/29/22,00:00,11516
04/30/22,00:00,10829
05/01/22,00:00,11222
05/02/22,00:00,11252
05/03/22,00:00,11974
05/04/22,00:00,11451
05/05/22,00:00,11457
05/07/22,00:00,11272
05/09/22,00:00,11347
05/11/22,00:00,11228
05/12/22,00:00,11761
05/13/22,00:00,11990
05/14/22,00:00,11262
05/27/22,00:00,9119
05/28/22,00:00,9119
05/29/22,00:00,10463
05/30/22,00:00,10745
05/31/22,00:00,10450
06/07/22,00:00,10523
06/08/22,00:00,10761
06/09/22,00:00,9214
06/11/22,00:00,10598
06/12/22,00:00,9624
06/13/22,00:00,10421
06/14/22,00:00,9885
06/15/22,00:00,10532
06/16/22,00:00,10322
06/17/22,00:00,9953
06/18/22,00:00,10467
06/19/22,00:00,10322
06/20/22,00:00,9878
06/21/22,00:00,9793
06/22/22,00:00,10135
06/23/22,00:00,10241
06/24/22,00:00,9854
06/25/22,00:00,9784
06/27/22,00:00,10364
06/29/22,00:00,9967
06/30/22,00:00,10241
07/01/22,00:00,10298
07/02/22,00:00,9886
07/04/22,00:00,10235
07/05/22,00:00,9952
07/06/22,00:00,9789
07/07/22,00:00,10471
07/08/22,00:00,10522
07/09/22,00:00,10586
07/10/22,00:00,10748
07/11/22,00:00,10265
07/12/22,00:00,10323
07/27/22,00:00,8891
07/28/22,00:00,9652
07/29/22,00:00,9765
07/31/22,00:00,10154
08/01/22,00:00,10032
08/02/22,00:00,9857
08/04/22,00:00,10241
08/06/22,00:00,10128
08/07/22,00:00,9957
08/08/22,00:00,10254
08/14/22,00:00,10584
08/15/22,00:00,11326
08/17/22,00:00,10867
08/18/22,00:00,9947
08/19/22,00:00,10586
08/21/22,00:00,9952
08/22/22,00:00,9984
08/24/22,00:00,9753
08/26/22,00:00,9751
08/27/22,00:00,9843
09/03/22,00:00,9953
09/04/22,00:00,10473
09/05/22,00:00,11025
09/06/22,00:00,9846
09/08/22,00:00,11186
09/10/22,00:00,9301
09/11/22,00:00,8606
09/14/22,00:00,8356
09/15/22,00:00,8824
09/16/22,00:00,8034
09/21/22,00:00,8004
09/22/22,00:00,9174
09/23/22,00:00,8610
09/24/22,00:00,8398
09/25/22,00:00,8517
09/26/22,00:00,8086
09/27/22,00:00,8460
09/28/22,00:00,8868
09/29/22,00:00,9371
09/30/22,00:00,10339
10/01/22,00:00,9890
10/03/22,00:00,9167
10/04/22,00:00,9125
10/05/22,00:00,11052
10/06/22,00:00,9414
10/07/22,00:00,9382
10/08/22,00:00,9925
10/09/22,00:00,10657
10/10/22,00:00,11183
10/11/22,00:00,10210
10/12/22,00:00,9537
10/13/22,00:00,10827
10/14/22,00:00,9058
10/15/22,00:00,11284
10/17/22,00:00,9574
10/18/22,00:00,9860
10/19/22,00:00,8732
10/20/22,00:00,9684
10/21/22,00:00,10287
10/22/22,00:00,10089
10/23/22,00:00,10935
10/24/22,00:00,10747
10/25/22,00:00,9825
10/26/22,00:00,10318
10/27/22,00:00,9823
10/28/22,00:00,9906
10/29/22,00:00,9559
10/31/22,00:00,10206
11/01/22,00:00,10526
11/02/22,00:00,10108
11/03/22,00:00,10228
11/04/22,00:00,9754
11/05/22,00:00,10130
11/06/22,00:00,9198
11/08/22,00:00,7376
11/10/22,00:00,10778
11/11/22,00:00,10592
11/12/22,00:00,10698
11/13/22,00:00,9831
11/14/22,00:00,9412
11/15/22,00:00,10300
11/17/22,00:00,8744
11/18/22,00:00,9178
11/19/22,00:00,10220
11/20/22,00:00,10137
11/21/22,00:00,10248
11/22/22,00:00,9992
11/23/22,00:00,10851
11/24/22,00:00,8795
11/25/22,00:00,9263
11/26/22,00:00,11209
11/27/22,00:00,11045
11/28/22,00:00,10932
11/30/22,00:00,9537
12/01/22,00:00,10107
12/02/22,00:00,8252
12/04/22,00:00,10029
12/05/22,00:00,10131
12/08/22,00:00,10098
12/09/22,00:00,10001
12/10/22,00:00,9389
12/12/22,00:00,10517
12/13/22,00:00,9486
12/14/22,00:00,9907
12/15/22,00:00,10459
12/16/22,00:00,10410
12/17/22,00:00,9058
12/18/22,00:00,8492
12/20/22,00:00,9561
12/21/22,00:00,7550
12/22/22,00:00,10006
12/23/22,00:00,9564
12/24/22,00:00,10490
12/25/22,00:00,9717
12/27/22,00:00,10228
