date,hour,value
01/01/22,00:00,1.072
01/02/22,00:00,0.810
01/03/22,00:00,1.072
01/04/22,00:00,0.988
01/05/22,00:00,1.240
01/06/22,00:00,0.988
01/07/22,00:00,1.240
01/08/22,00:00,1.156
01/09/22,00:00,0.904
01/10/22,00:00,1.240
01/11/22,00:00,1.072
01/12/22,00:00,1.324
01/13/22,00:00,0.988
01/14/22,00:00,1.072
01/15/22,00:00,1.156
01/16/22,00:00,0.904
01/17/22,00:00,0.988
01/18/22,00:00,1.240
01/19/22,00:00,1.072
01/20/22,00:00,1.072
01/21/22,00:00,0.904
01/22/22,00:00,1.240
01/23/22,00:00,1.156
01/24/22,00:00,0.820
01/25/22,00:00,0.988
01/26/22,00:00,0.988
01/27/22,00:00,0.988
01/28/22,00:00,1.156
01/29/22,00:00,0.988
01/30/22,00:00,0.904
01/31/22,00:00,0.820
02/01/22,00:00,1.072
02/02/22,00:00,1.240
02/03/22,00:00,1.072
02/04/22,00:00,0.988
02/05/22,00:00,1.156
02/06/22,00:00,1.240
02/07/22,00:00,0.904
02/08/22,00:00,0.820
02/09/22,00:00,0.820
02/10/22,00:00,1.072
02/11/22,00:00,0.988
02/12/22,00:00,1.072
02/13/22,00:00,0.578
02/14/22,00:00,1.240
02/15/22,00:00,1.072
02/16/22,00:00,1.072
02/17/22,00:00,1.240
02/18/22,00:00,1.072
02/19/22,00:00,1.156
02/20/22,00:00,1.240
02/21/22,00:00,1.156
02/22/22,00:00,0.988
02/23/22,00:00,1.072
02/24/22,00:00,1.156
02/25/22,00:00,1.072
02/26/22,00:00,0.904
02/27/22,00:00,0.904
02/28/22,00:00,0.988
03/01/22,00:00,0.820
03/02/22,00:00,1.072
03/03/22,00:00,1.120
03/04/22,00:00,1.072
03/05/22,00:00,0.904
03/06/22,00:00,1.156
03/07/22,00:00,0.820
03/08/22,00:00,0.988
03/09/22,00:00,0.988
03/10/22,00:00,0.820
03/11/22,00:00,0.988
03/12/22,00:00,0.820
03/13/22,00:00,1.156
03/14/22,00:00,1.072
03/15/22,00:00,0.904
03/16/22,00:00,0.988
03/17/22,00:00,0.904
03/18/22,00:00,1.072
03/19/22,00:00,1.072
03/20/22,00:00,0.988
03/21/22,00:00,0.820
03/22/22,00:00,0.988
03/23/22,00:00,1.072
03/24/22,00:00,0.904
03/25/22,00:00,1.156
03/26/22,00:00,1.156
03/27/22,00:00,1.240
03/28/22,00:00,1.072
03/29/22,00:00,0.988
03/30/22,00:00,1.240
03/31/22,00:00,0.988
04/01/22,00:00,0.988
04/02/22,00:00,1.156
04/03/22,00:00,0.904
04/04/22,00:00,1.072
04/05/22,00:00,0.820
04/06/22,00:00,1.072
04/07/22,00:00,0.904
04/08/22,00:00,0.820
04/09/22,00:00,0.988
04/10/22,00:00,0.904
04/11/22,00:00,0.988
04/12/22,00:00,1.156
04/13/22,00:00,1.126
04/14/22,00:00,1.072
04/15/22,00:00,0.904
04/16/22,00:00,1.240
04/17/22,00:00,1.072
04/18/22,00:00,0.988
04/19/22,00:00,1.156
04/20/22,00:00,0.904
04/21/22,00:00,0.820
04/22/22,00:00,1.156
04/23/22,00:00,0.988
04/24/22,00:00,0.988
04/25/22,00:00,1.156
04/26/22,00:00,0.988
04/27/22,00:00,1.072
04/28/22,00:00,0.820
04/29/22,00:00,1.072
04/30/22,00:00,0.904
05/01/22,00:00,0.904
05/02/22,00:00,1.072
05/03/22,00:00,0.988
05/04/22,00:00,0.988
05/05/22,00:00,1.240
05/06/22,00:00,1.072
05/07/22,00:00,0.904
05/08/22,00:00,0.988
05/09/22,00:00,0.820
05/10/22,00:00,1.156
05/11/22,00:00,1.240
05/12/22,00:00,1.156
05/13/22,00:00,0.904
05/14/22,00:00,1.072
05/25/22,00:00,0.988
05/26/22,00:00,1.240
05/27/22,00:00,1.156
05/28/22,00:00,1.156
05/29/22,00:00,0.904
05/30/22,00:00,0.988
05/31/22,00:00,1.156
06/01/22,00:00,1.240
06/02/22,00:00,1.072
06/03/22,00:00,0.988
06/04/22,00:00,0.988
06/05/22,00:00,0.904
06/06/22,00:00,1.072
06/07/22,00:00,0.820
06/08/22,00:00,0.988
06/09/22,00:00,1.156
06/10/22,00:00,1.240
06/11/22,00:00,1.156
06/12/22,00:00,0.904
06/13/22,00:00,1.072
06/14/22,00:00,0.988
06/15/22,00:00,0.904
06/16/22,00:00,1.156
06/17/22,00:00,0.988
06/18/22,00:00,1.072
06/19/22,00:00,0.988
06/20/22,00:00,1.072
06/21/22,00:00,0.904
06/22/22,00:00,0.988
06/23/22,00:00,1.156
06/24/22,00:00,1.240
06/25/22,00:00,1.072
06/26/22,00:00,1.240
06/27/22,00:00,0.988
06/28/22,00:00,1.072
06/29/22,00:00,1.156
06/30/22,00:00,0.988
07/01/22,00:00,0.904
07/02/22,00:00,0.988
07/03/22,00:00,0.904
07/04/22,00:00,1.156
07/05/22,00:00,1.072
07/06/22,00:00,1.240
07/07/22,00:00,1.072
07/08/22,00:00,0.988
07/09/22,00:00,0.904
07/10/22,00:00,1.156
07/11/22,00:00,0.820
07/27/22,00:00,1.072
07/28/22,00:00,1.156
07/29/22,00:00,1.072
07/30/22,00:00,0.904
07/31/22,00:00,0.072
08/01/22,00:00,0.988
08/02/22,00:00,1.156
08/03/22,00:00,0.988
08/04/22,00:00,1.240
08/05/22,00:00,1.072
08/06/22,00:00,1.156
08/07/22,00:00,1.072
08/08/22,00:00,1.240
08/09/22,00:00,1.072
08/14/22,00:00,1.240
08/15/22,00:00,1.072
08/16/22,00:00,0.988
08/17/22,00:00,1.156
08/18/22,00:00,0.988
08/19/22,00:00,0.988
08/20/22,00:00,0.904
08/21/22,00:00,1.072
08/22/22,00:00,1.072
08/23/22,00:00,1.240
08/24/22,00:00,0.988
08/25/22,00:00,1.072
08/26/22,00:00,0.904
08/27/22,00:00,0.988
08/28/22,00:00,0.820
08/29/22,00:00,1.072
08/30/22,00:00,1.072
09/03/22,00:00,1.240
09/04/22,00:00,1.072
09/05/22,00:00,0.988
09/06/22,00:00,1.156
09/07/22,00:00,0.820
09/08/22,00:00,0.988
09/09/22,00:00,1.072
09/10/22,00:00,1.240
09/11/22,00:00,0.904
09/12/22,00:00,1.072
09/13/22,00:00,1.156
09/14/22,00:00,0.904
09/15/22,00:00,0.988
09/16/22,00:00,1.240
09/17/22,00:00,1.240
09/18/22,00:00,0.904
09/19/22,00:00,1.072
09/20/22,00:00,0.904
09/21/22,00:00,0.820
09/22/22,00:00,0.988
09/23/22,00:00,1.156
09/24/22,00:00,1.156
09/25/22,00:00,1.240
09/26/22,00:00,1.072
09/27/22,00:00,0.988
09/28/22,00:00,1.156
09/29/22,00:00,1.072
09/30/22,00:00,1.240
10/01/22,00:00,0.988
10/02/22,00:00,1.072
10/03/22,00:00,0.904
10/04/22,00:00,1.156
10/05/22,00:00,1.072
10/06/22,00:00,1.072
10/07/22,00:00,1.156
10/08/22,00:00,0.988
10/09/22,00:00,0.904
10/10/22,00:00,1.156
10/11/22,00:00,0.820
10/12/22,00:00,1.072
10/13/22,00:00,0.988
10/14/22,00:00,1.156
10/15/22,00:00,0.904
10/16/22,00:00,0.904
10/17/22,00:00,0.904
10/18/22,00:00,1.156
10/19/22,00:00,1.156
10/20/22,00:00,1.072
10/21/22,00:00,1.240
10/22/22,00:00,1.156
10/23/22,00:00,0.820
10/24/22,00:00,0.820
10/25/22,00:00,0.988
10/26/22,00:00,1.156
10/27/22,00:00,1.156
10/28/22,00:00,1.072
10/29/22,00:00,1.072
10/30/22,00:00,1.156
10/31/22,00:00,1.156
11/01/22,00:00,0.988
11/02/22,00:00,1.156
11/03/22,00:00,1.156
11/04/22,00:00,0.904
11/05/22,00:00,0.904
11/06/22,00:00,1.156
11/07/22,00:00,1.072
11/08/22,00:00,1.240
11/09/22,00:00,0.988
11/10/22,00:00,0.904
11/11/22,00:00,1.072
11/12/22,00:00,0.904
11/13/22,00:00,1.156
11/14/22,00:00,0.904
11/15/22,00:00,1.240
11/16/22,00:00,1.156
11/17/22,00:00,1.324
11/18/22,00:00,1.072
11/19/22,00:00,1.072
11/20/22,00:00,0.904
11/21/22,00:00,0.904
11/22/22,00:00,0.988
11/23/22,00:00,0.820
11/24/22,00:00,0.988
11/25/22,00:00,1.324
11/26/22,00:00,1.324
11/27/22,00:00,1.408
11/28/22,00:00,1.240
11/29/22,00:00,1.324
11/30/22,00:00,1.492
12/01/22,00:00,1.492
12/02/22,00:00,1.408
12/03/22,00:00,1.324
12/04/22,00:00,1.408
12/05/22,00:00,1.072
12/06/22,00:00,1.240
12/08/22,00:00,1.240
12/09/22,00:00,1.240
12/10/22,00:00,1.072
12/11/22,00:00,1.240
12/12/22,00:00,1.072
12/13/22,00:00,1.156
12/14/22,00:00,1.324
12/15/22,00:00,1.156
12/16/22,00:00,1.156
12/17/22,00:00,1.240
12/18/22,00:00,1.072
12/19/22,00:00,1.156
12/20/22,00:00,0.988
12/21/22,00:00,1.156
12/22/22,00:00,1.324
12/23/22,00:00,1.072
12/24/22,00:00,1.324
12/25/22,00:00,0.904
12/26/22,00:00,1.072
12/27/22,00:00,0.988
12/28/22,00:00,1.156
12/29/22,00:00,0.904
12/30/22,00:00,1.072
12/31/22,00:00,0.904
