date,hour,value
01/01/22,00:00,7.12
01/02/22,00:00,7.09
01/03/22,00:00,7.11
01/04/22,00:00,7.10
01/05/22,00:00,7.12
01/06/22,00:00,7.13
01/07/22,00:00,7.12
01/08/22,00:00,7.09
01/09/22,00:00,7.14
01/10/22,00:00,7.13
01/11/22,00:00,7.09
01/12/22,00:00,7.09
01/13/22,00:00,7.12
01/14/22,00:00,7.11
01/15/22,00:00,7.09
01/16/22,00:00,7.10
01/17/22,00:00,7.12
01/18/22,00:00,7.14
01/19/22,00:00,7.09
01/20/22,00:00,7.13
01/21/22,00:00,7.11
01/22/22,00:00,7.12
01/23/22,00:00,7.14
01/24/22,00:00,7.10
01/25/22,00:00,7.09
01/26/22,00:00,7.12
01/27/22,00:00,7.09
01/28/22,00:00,7.10
01/29/22,00:00,7.11
01/30/22,00:00,7.10
01/31/22,00:00,7.08
02/01/22,00:00,7.09
02/02/22,00:00,7.07
02/03/22,00:00,7.06
02/04/22,00:00,7.06
02/05/22,00:00,7.07
02/06/22,00:00,7.05
02/07/22,00:00,7.06
02/08/22,00:00,7.05
02/09/22,00:00,7.06
02/10/22,00:00,7.03
02/11/22,00:00,7.01
02/12/22,00:00,7.00
02/13/22,00:00,7.01
02/14/22,00:00,7.02
02/15/22,00:00,7.03
02/16/22,00:00,7.08
02/17/22,00:00,7.05
02/18/22,00:00,7.06
02/19/22,00:00,7.05
02/20/22,00:00,7.03
02/21/22,00:00,7.03
02/22/22,00:00,7.04
02/23/22,00:00,7.05
02/24/22,00:00,7.06
02/25/22,00:00,7.06
02/26/22,00:00,7.04
02/27/22,00:00,7.04
02/28/22,00:00,7.03
03/01/22,00:00,7.04
03/02/22,00:00,7.07
03/03/22,00:00,7.07
03/04/22,00:00,7.06
03/05/22,00:00,7.05
03/06/22,00:00,7.03
03/07/22,00:00,7.02
03/08/22,00:00,7.04
03/09/22,00:00,7.07
03/10/22,00:00,7.06
03/11/22,00:00,7.05
03/12/22,00:00,7.07
03/13/22,00:00,7.06
03/14/22,00:00,7.05
03/15/22,00:00,7.03
03/16/22,00:00,7.03
03/17/22,00:00,7.05
03/18/22,00:00,7.05
03/19/22,00:00,7.04
03/20/22,00:00,7.03
03/21/22,00:00,7.05
03/22/22,00:00,7.04
03/23/22,00:00,7.03
03/24/22,00:00,7.05
03/25/22,00:00,7.04
03/26/22,00:00,7.05
03/27/22,00:00,7.03
03/28/22,00:00,7.05
03/29/22,00:00,7.04
03/30/22,00:00,7.03
03/31/22,00:00,7.03
04/01/22,00:00,7.05
04/02/22,00:00,7.03
04/03/22,00:00,7.05
04/04/22,00:00,7.04
04/05/22,00:00,7.05
04/06/22,00:00,7.06
04/07/22,00:00,7.04
04/08/22,00:00,7.05
04/09/22,00:00,7.03
04/10/22,00:00,7.05
04/11/22,00:00,7.03
04/12/22,00:00,7.04
04/13/22,00:00,7.03
04/14/22,00:00,7.03
04/15/22,00:00,7.04
04/16/22,00:00,7.05
04/17/22,00:00,7.03
04/18/22,00:00,7.03
04/19/22,00:00,7.04
04/20/22,00:00,7.05
04/21/22,00:00,7.03
04/22/22,00:00,7.04
04/23/22,00:00,7.03
04/24/22,00:00,7.03
04/25/22,00:00,7.05
04/26/22,00:00,7.03
04/27/22,00:00,7.04
04/28/22,00:00,7.06
04/29/22,00:00,7.03
04/30/22,00:00,7.04
05/01/22,00:00,7.05
05/02/22,00:00,7.03
05/03/22,00:00,7.05
05/04/22,00:00,7.03
05/05/22,00:00,7.03
05/06/22,00:00,7.05
05/07/22,00:00,7.04
05/08/22,00:00,7.04
05/09/22,00:00,7.06
05/10/22,00:00,7.05
05/11/22,00:00,7.03
05/12/22,00:00,7.05
05/13/22,00:00,7.05
05/14/22,00:00,7.04
05/16/22,00:00,7.12
05/18/22,00:00,7.15
05/21/22,00:00,7.11
05/24/22,00:00,7.12
05/29/22,00:00,7.12
06/01/22,00:00,7.10
06/04/22,00:00,7.15
