date,hour,value
01/01/23,00:00,3.32
01/02/23,00:00,3.32
01/03/23,00:00,3.52
01/04/23,00:00,3.32
01/05/23,00:00,3.32
01/06/23,00:00,3.32
01/07/23,00:00,3.22
01/08/23,00:00,3.32
01/09/23,00:00,3.32
01/10/23,00:00,3.42
01/11/23,00:00,3.32
01/12/23,00:00,3.42
01/13/23,00:00,3.02
01/14/23,00:00,3.32
01/15/23,00:00,3.22
01/16/23,00:00,3.42
01/17/23,00:00,3.32
01/18/23,00:00,3.22
01/19/23,00:00,2.92
01/20/23,00:00,3.02
01/21/23,00:00,3.22
01/22/23,00:00,3.32
01/23/23,00:00,3.22
01/24/23,00:00,3.32
01/25/23,00:00,3.12
01/26/23,00:00,3.32
01/27/23,00:00,3.32
01/28/23,00:00,3.32
01/29/23,00:00,3.32
01/30/23,00:00,3.32
01/31/23,00:00,3.22
02/01/23,00:00,3.22
02/02/23,00:00,3.22
02/03/23,00:00,2.82
02/04/23,00:00,3.02
02/05/23,00:00,3.32
02/06/23,00:00,3.62
02/07/23,00:00,3.22
02/08/23,00:00,3.22
02/09/23,00:00,3.22
02/10/23,00:00,3.32
02/11/23,00:00,3.32
02/12/23,00:00,3.32
02/13/23,00:00,3.22
02/14/23,00:00,3.32
02/15/23,00:00,3.32
02/16/23,00:00,3.42
02/17/23,00:00,3.32
02/18/23,00:00,3.42
02/19/23,00:00,2.82
02/20/23,00:00,3.22
02/21/23,00:00,3.32
02/22/23,00:00,3.32
02/23/23,00:00,3.32
02/24/23,00:00,3.52
02/25/23,00:00,3.32
02/26/23,00:00,3.02
02/27/23,00:00,2.92
02/28/23,00:00,2.92
03/01/23,00:00,3.22
03/02/23,00:00,3.32
03/03/23,00:00,3.22
03/04/23,00:00,3.42
03/05/23,00:00,3.22
03/06/23,00:00,3.22
03/07/23,00:00,3.42
03/08/23,00:00,3.22
03/09/23,00:00,3.32
03/10/23,00:00,3.32
03/11/23,00:00,3.32
03/12/23,00:00,3.52
03/13/23,00:00,3.32
03/14/23,00:00,3.42
03/15/23,00:00,3.22
03/16/23,00:00,3.32
03/17/23,00:00,3.32
03/18/23,00:00,3.32
03/19/23,00:00,3.32
03/20/23,00:00,3.42
03/21/23,00:00,3.42
03/22/23,00:00,3.02
03/23/23,00:00,3.22
03/24/23,00:00,3.32
03/25/23,00:00,3.32
03/26/23,00:00,3.32
03/27/23,00:00,3.42
03/28/23,00:00,3.32
03/29/23,00:00,3.22
03/30/23,00:00,3.22
03/31/23,00:00,3.32
04/01/23,00:00,3.42
04/02/23,00:00,3.32
04/03/23,00:00,3.42
04/04/23,00:00,3.42
04/05/23,00:00,3.22
04/06/23,00:00,3.32
04/07/23,00:00,3.32
04/08/23,00:00,3.32
04/09/23,00:00,3.32
04/10/23,00:00,3.32
04/11/23,00:00,3.22
04/12/23,00:00,3.12
04/13/23,00:00,3.32
04/14/23,00:00,3.22
04/15/23,00:00,3.22
04/16/23,00:00,3.02
04/17/23,00:00,3.02
04/18/23,00:00,2.82
04/19/23,00:00,2.92
04/20/23,00:00,3.12
04/21/23,00:00,3.02
04/22/23,00:00,2.82
04/23/23,00:00,3.22
04/24/23,00:00,3.22
04/25/23,00:00,3.32
04/26/23,00:00,3.32
04/27/23,00:00,3.32
04/28/23,00:00,3.22
04/29/23,00:00,3.22
04/30/23,00:00,3.22
05/01/23,00:00,3.32
05/02/23,00:00,3.32
05/03/23,00:00,3.22
05/04/23,00:00,3.12
05/05/23,00:00,3.02
05/06/23,00:00,3.12
05/07/23,00:00,2.82
05/08/23,00:00,2.92
05/09/23,00:00,3.02
05/10/23,00:00,2.82
05/11/23,00:00,2.92
05/12/23,00:00,2.92
05/13/23,00:00,2.92
05/14/23,00:00,3.02
05/15/23,00:00,2.92
05/16/23,00:00,2.92
05/17/23,00:00,3.02
05/18/23,00:00,3.22
05/19/23,00:00,2.92
05/20/23,00:00,3.02
05/21/23,00:00,3.02
05/22/23,00:00,3.02
05/23/23,00:00,2.92
05/24/23,00:00,2.92
05/25/23,00:00,2.92
05/26/23,00:00,2.92
05/27/23,00:00,2.92
05/28/23,00:00,2.82
05/29/23,00:00,2.82
05/30/23,00:00,2.82
05/31/23,00:00,2.92
06/01/23,00:00,2.92
06/02/23,00:00,2.82
06/03/23,00:00,2.82
06/04/23,00:00,3.12
06/05/23,00:00,3.02
06/06/23,00:00,2.92
06/07/23,00:00,2.82
06/08/23,00:00,2.82
06/09/23,00:00,2.82
06/10/23,00:00,2.82
06/11/23,00:00,2.82
06/12/23,00:00,2.92
06/13/23,00:00,2.92
06/14/23,00:00,2.82
06/15/23,00:00,2.92
06/16/23,00:00,3.02
06/17/23,00:00,2.82
06/18/23,00:00,2.92
06/19/23,00:00,2.82
06/20/23,00:00,3.02
06/21/23,00:00,2.82
06/22/23,00:00,2.72
06/23/23,00:00,2.82
06/24/23,00:00,2.82
06/25/23,00:00,3.12
06/26/23,00:00,3.02
06/27/23,00:00,2.92
06/28/23,00:00,2.92
06/29/23,00:00,2.82
06/30/23,00:00,2.82
07/01/23,00:00,2.82
07/02/23,00:00,2.82
07/03/23,00:00,2.72
07/04/23,00:00,2.82
07/05/23,00:00,2.72
07/06/23,00:00,3.02
07/07/23,00:00,2.72
07/08/23,00:00,3.02
07/09/23,00:00,3.02
07/10/23,00:00,3.02
07/11/23,00:00,2.82
07/12/23,00:00,3.02
07/13/23,00:00,3.12
07/14/23,00:00,3.02
07/15/23,00:00,2.82
07/16/23,00:00,2.82
07/17/23,00:00,2.82
07/18/23,00:00,2.82
07/19/23,00:00,2.72
07/20/23,00:00,2.62
07/21/23,00:00,2.72
07/22/23,00:00,2.82
07/23/23,00:00,2.92
07/24/23,00:00,2.82
07/25/23,00:00,2.72
