date,hour,value
01/01/23,00:00,24.1
01/02/23,00:00,24.0
01/03/23,00:00,24.1
01/04/23,00:00,24.1
01/05/23,00:00,24.3
01/06/23,00:00,24.4
01/07/23,00:00,24.2
01/08/23,00:00,23.8
01/09/23,00:00,24.0
01/10/23,00:00,23.8
01/11/23,00:00,24.4
01/12/23,00:00,24.9
01/13/23,00:00,25.2
01/14/23,00:00,24.7
01/15/23,00:00,24.2
01/16/23,00:00,23.9
01/17/23,00:00,23.9
01/18/23,00:00,23.6
01/19/23,00:00,24.3
01/20/23,00:00,24.2
01/21/23,00:00,24.0
01/22/23,00:00,23.9
01/23/23,00:00,24.2
01/24/23,00:00,24.0
01/25/23,00:00,24.4
01/26/23,00:00,24.1
01/27/23,00:00,24.0
01/28/23,00:00,24.5
01/29/23,00:00,24.0
01/30/23,00:00,24.1
01/31/23,00:00,24.8
02/01/23,00:00,23.6
02/02/23,00:00,23.6
02/03/23,00:00,24.4
02/04/23,00:00,24.2
02/05/23,00:00,23.1
02/06/23,00:00,23.6
02/07/23,00:00,23.7
02/08/23,00:00,24.1
02/09/23,00:00,24.2
02/10/23,00:00,24.0
02/11/23,00:00,24.0
02/12/23,00:00,23.5
02/13/23,00:00,23.6
02/14/23,00:00,23.8
02/15/23,00:00,24.5
02/16/23,00:00,24.3
02/17/23,00:00,24.0
02/18/23,00:00,24.3
02/19/23,00:00,24.7
02/20/23,00:00,24.1
02/21/23,00:00,24.0
02/22/23,00:00,24.5
02/23/23,00:00,25.1
02/24/23,00:00,23.2
02/25/23,00:00,23.8
02/26/23,00:00,24.2
02/27/23,00:00,24.6
02/28/23,00:00,24.4
03/01/23,00:00,24.1
03/02/23,00:00,24.4
03/03/23,00:00,24.0
03/04/23,00:00,23.8
03/05/23,00:00,23.7
03/06/23,00:00,24.5
03/07/23,00:00,24.0
03/08/23,00:00,24.0
03/09/23,00:00,24.2
03/10/23,00:00,24.1
03/11/23,00:00,23.8
03/12/23,00:00,23.9
03/13/23,00:00,24.1
03/14/23,00:00,24.2
03/15/23,00:00,24.5
03/16/23,00:00,24.2
03/17/23,00:00,25.0
03/18/23,00:00,24.8
03/19/23,00:00,24.5
03/20/23,00:00,24.7
03/21/23,00:00,24.8
03/22/23,00:00,23.7
03/23/23,00:00,24.4
