date,hour,value
01/01/23,00:00,6.6
01/02/23,00:00,6.6
01/03/23,00:00,6.6
01/04/23,00:00,7.1
01/05/23,00:00,7.1
01/06/23,00:00,7.6
01/07/23,00:00,7.6
01/08/23,00:00,7.6
01/09/23,00:00,8.0
01/10/23,00:00,8.0
01/11/23,00:00,8.1
01/12/23,00:00,8.1
01/13/23,00:00,8.0
01/14/23,00:00,8.1
01/15/23,00:00,8.0
01/16/23,00:00,8.0
01/17/23,00:00,8.2
01/18/23,00:00,8.1
01/19/23,00:00,8.1
01/20/23,00:00,8.6
01/21/23,00:00,8.4
01/22/23,00:00,8.0
01/23/23,00:00,8.2
01/24/23,00:00,8.2
01/25/23,00:00,8.6
01/26/23,00:00,8.3
01/27/23,00:00,8.3
01/28/23,00:00,8.6
01/29/23,00:00,8.1
01/30/23,00:00,8.1
01/31/23,00:00,7.6
02/01/23,00:00,8.1
02/02/23,00:00,8.6
02/03/23,00:00,8.7
02/04/23,00:00,8.1
02/05/23,00:00,7.1
02/06/23,00:00,7.6
02/07/23,00:00,7.6
02/08/23,00:00,7.1
02/09/23,00:00,7.1
02/10/23,00:00,7.6
02/11/23,00:00,7.6
02/12/23,00:00,8.1
02/13/23,00:00,8.1
02/14/23,00:00,8.1
02/15/23,00:00,7.1
02/16/23,00:00,6.6
02/17/23,00:00,6.6
02/18/23,00:00,6.6
02/19/23,00:00,7.1
02/20/23,00:00,6.6
02/21/23,00:00,6.6
02/22/23,00:00,6.6
02/23/23,00:00,7.1
02/24/23,00:00,7.1
02/25/23,00:00,7.6
02/26/23,00:00,6.4
02/27/23,00:00,6.5
02/28/23,00:00,6.6
03/01/23,00:00,6.1
03/02/23,00:00,6.6
03/03/23,00:00,6.1
03/04/23,00:00,6.1
03/05/23,00:00,7.0
03/06/23,00:00,7.1
03/07/23,00:00,7.6
03/08/23,00:00,8.1
03/09/23,00:00,8.1
03/10/23,00:00,8.4
03/11/23,00:00,8.4
03/12/23,00:00,8.6
03/13/23,00:00,8.5
03/14/23,00:00,8.6
03/15/23,00:00,8.8
03/16/23,00:00,8.9
03/17/23,00:00,8.4
03/18/23,00:00,8.2
