date,hour,value
01/08/21,09:00,156
01/08/21,10:00,145
01/08/21,11:00,143
01/08/21,12:00,158
01/08/21,13:00,158
01/08/21,14:00,152
01/08/21,15:00,149
01/08/21,16:00,138
01/08/21,17:00,135
01/08/21,18:00,142
01/11/21,09:00,141
01/11/21,10:00,154
01/11/21,11:00,156
01/11/21,12:00,157
01/11/21,13:00,134
01/11/21,14:00,149
01/11/21,15:00,150
01/11/21,16:00,141
01/11/21,17:00,152
01/11/21,18:00,158
01/12/21,09:00,142
01/12/21,10:00,143
01/12/21,11:00,154
01/12/21,12:00,146
01/12/21,13:00,149
01/12/21,14:00,148
01/12/21,15:00,130
01/12/21,16:00,133
01/12/21,17:00,158
01/12/21,18:00,151
01/13/21,09:00,150
01/13/21,10:00,133
01/13/21,11:00,142
01/13/21,12:00,150
01/13/21,13:00,161
01/13/21,14:00,158
01/13/21,15:00,146
01/13/21,16:00,143
01/13/21,17:00,142
01/13/21,18:00,141
01/14/21,09:00,150
01/14/21,10:00,145
01/14/21,11:00,151
01/14/21,12:00,152
01/14/21,13:00,149
01/14/21,14:00,148
01/14/21,15:00,146
01/14/21,16:00,148
01/14/21,17:00,149
01/14/21,18:00,153
01/15/21,09:00,153
01/15/21,10:00,148
01/15/21,11:00,143
01/15/21,12:00,146
01/15/21,13:00,153
01/15/21,14:00,149
01/15/21,15:00,153
01/15/21,16:00,166
01/15/21,17:00,163
01/15/21,18:00,149
01/18/21,09:00,202
01/18/21,10:00,194
01/18/21,11:00,190
01/18/21,12:00,175
01/18/21,13:00,161
01/18/21,14:00,164
01/18/21,15:00,175
01/18/21,16:00,163
01/18/21,17:00,168
01/18/21,18:00,172
01/19/21,09:00,189
01/19/21,10:00,144
01/19/21,11:00,169
01/19/21,12:00,153
01/19/21,13:00,156
01/19/21,14:00,148
01/19/21,15:00,149
01/19/21,16:00,156
01/19/21,17:00,143
01/19/21,18:00,141
01/20/21,09:00,183
01/20/21,10:00,165
01/20/21,11:00,196
01/20/21,12:00,194
01/20/21,13:00,180
01/20/21,14:00,183
01/20/21,15:00,184
01/20/21,16:00,194
01/20/21,17:00,185
01/20/21,18:00,172
01/21/21,09:00,165
01/21/21,10:00,157
01/21/21,11:00,155
01/21/21,12:00,150
01/21/21,13:00,149
01/21/21,14:00,148
01/21/21,15:00,146
01/21/21,16:00,143
01/21/21,17:00,138
01/21/21,18:00,137
01/22/21,09:00,139
01/22/21,10:00,143
01/22/21,11:00,152
01/22/21,12:00,148
01/22/21,13:00,144
01/22/21,14:00,144
01/22/21,15:00,139
01/22/21,16:00,138
01/22/21,17:00,139
01/22/21,18:00,142
01/25/21,09:00,136
01/25/21,10:00,158
01/25/21,11:00,155
01/25/21,12:00,147
01/25/21,13:00,143
01/25/21,14:00,137
01/25/21,15:00,142
01/25/21,16:00,160
01/25/21,17:00,137
01/25/21,18:00,143
01/26/21,09:00,146
01/26/21,10:00,144
01/26/21,11:00,139
01/26/21,12:00,146
01/26/21,13:00,148
01/26/21,14:00,150
01/26/21,15:00,135
01/26/21,16:00,128
01/26/21,17:00,127
01/26/21,18:00,131
01/29/21,09:00,134
01/29/21,10:00,112
01/29/21,11:00,153
01/29/21,12:00,110
01/29/21,13:00,116
01/29/21,14:00,108
01/29/21,15:00,130
01/29/21,16:00,114
01/29/21,17:00,129
01/29/21,18:00,104
02/19/21,09:00,221
02/19/21,10:00,215
02/19/21,11:00,218
02/19/21,12:00,216
02/19/21,13:00,213
02/19/21,14:00,217
02/22/21,09:00,221
02/22/21,10:00,210
02/22/21,11:00,211
02/22/21,12:00,224
02/22/21,13:00,203
02/22/21,14:00,207
02/22/21,15:00,214
02/22/21,16:00,219
02/22/21,17:00,217
02/22/21,18:00,229
02/23/21,09:00,191
02/23/21,10:00,226
02/23/21,11:00,234
02/23/21,12:00,222
02/23/21,13:00,231
02/23/21,14:00,236
02/23/21,15:00,230
02/23/21,16:00,216
02/23/21,17:00,225
02/23/21,18:00,221
02/24/21,09:00,225
02/24/21,10:00,231
02/24/21,11:00,232
02/24/21,12:00,215
02/24/21,13:00,222
02/24/21,14:00,231
02/24/21,15:00,214
02/24/21,16:00,224
02/24/21,17:00,217
02/24/21,18:00,222
02/25/21,09:00,225
02/25/21,10:00,212
02/25/21,11:00,214
02/25/21,12:00,216
02/25/21,13:00,221
02/25/21,14:00,216
02/25/21,15:00,210
02/25/21,16:00,212
02/25/21,17:00,216
02/25/21,18:00,214
02/26/21,09:00,219
02/26/21,10:00,237
02/26/21,11:00,236
