date,hour,value
01/02/23,00:00,268
01/02/23,01:00,260
01/02/23,02:00,268
01/02/23,03:00,269
01/02/23,04:00,275
01/02/23,05:00,271
01/02/23,06:00,259
01/02/23,07:00,269
01/02/23,08:00,266
01/02/23,09:00,273
01/02/23,10:00,276
01/02/23,11:00,260
01/02/23,12:00,272
01/02/23,13:00,270
01/02/23,14:00,272
01/02/23,15:00,275
01/02/23,16:00,266
01/02/23,17:00,259
01/02/23,18:00,274
01/02/23,19:00,259
01/02/23,20:00,275
01/02/23,21:00,276
01/02/23,22:00,260
01/02/23,23:00,274
01/03/23,00:00,268
01/03/23,01:00,271
01/03/23,02:00,273
01/03/23,03:00,277
01/03/23,04:00,278
01/03/23,05:00,269
01/03/23,06:00,270
01/03/23,07:00,276
01/03/23,08:00,280
01/03/23,09:00,284
01/03/23,10:00,278
01/03/23,11:00,270
01/03/23,12:00,276
01/03/23,13:00,275
01/03/23,14:00,260
01/03/23,15:00,268
01/03/23,16:00,285
01/03/23,17:00,280
01/03/23,18:00,278
01/03/23,19:00,255
01/03/23,20:00,269
01/03/23,21:00,270
01/03/23,22:00,273
01/03/23,23:00,275
01/04/23,00:00,259
01/04/23,01:00,267
01/04/23,02:00,270
01/04/23,03:00,272
01/04/23,04:00,268
01/04/23,05:00,275
01/04/23,06:00,276
01/04/23,07:00,273
01/04/23,08:00,267
01/04/23,09:00,267
01/04/23,10:00,272
01/04/23,11:00,276
01/04/23,12:00,280
01/04/23,13:00,270
01/04/23,14:00,273
01/04/23,15:00,257
01/04/23,16:00,268
01/04/23,17:00,270
01/04/23,18:00,273
01/04/23,19:00,275
01/04/23,20:00,268
01/04/23,21:00,272
01/04/23,22:00,259
01/04/23,23:00,274
01/05/23,00:00,270
01/05/23,01:00,259
01/05/23,02:00,268
01/05/23,03:00,272
01/05/23,04:00,268
01/05/23,05:00,270
01/05/23,06:00,260
01/05/23,07:00,274
01/05/23,08:00,267
01/05/23,09:00,259
01/05/23,10:00,266
01/05/23,11:00,267
01/05/23,12:00,281
01/05/23,13:00,277
01/05/23,14:00,271
01/05/23,15:00,268
01/05/23,16:00,276
01/05/23,17:00,270
01/05/23,18:00,288
01/05/23,19:00,264
01/05/23,20:00,268
01/05/23,21:00,274
01/05/23,22:00,276
01/05/23,23:00,260
01/06/23,00:00,269
01/06/23,01:00,273
01/06/23,02:00,267
01/06/23,03:00,269
01/06/23,04:00,275
01/06/23,05:00,260
01/06/23,06:00,269
01/06/23,07:00,275
01/06/23,08:00,261
01/06/23,09:00,277
01/06/23,10:00,261
01/06/23,11:00,265
01/06/23,12:00,266
01/06/23,13:00,268
01/06/23,14:00,269
01/06/23,15:00,270
01/06/23,16:00,267
01/06/23,17:00,270
01/06/23,18:00,268
01/06/23,19:00,265
01/06/23,20:00,271
